city,province,log_pop,log_inscription_count,log_letter_mass,letter_mass,inscription_count,content_residual,scaling_residual,quadrant
Agedincum,Lugudunensis,10.737178978088382,0.0,3.4011973816621555,30,1,-0.5395478140244085,-6.193984324614531,"Q3: lo-scaling, lo-content"
Augusta Ambianorum,Belgica,10.555734610523901,0.0,4.430816798843313,84,1,0.49007160315674936,-6.0692436109052235,"Q2: lo-scaling, hi-content"
Camarina,Sicilia,10.184786798018687,0.0,3.332204510175204,28,1,-0.6085406855113602,-5.8142216694588305,"Q3: lo-scaling, lo-content"
Augusta Suessionum,Belgica,9.818147505369113,0.0,4.927253685157205,138,1,0.9865084894706411,-5.562161781059536,"Q2: lo-scaling, hi-content"
Augustonemetum,Aquitani(c)a,9.760655903428585,0.0,2.6390573296152584,14,1,-1.3016878660713056,-5.5226370300043435,"Q3: lo-scaling, lo-content"
Numluli,Africa proconsularis,9.588502797556337,0.0,3.6635616461296463,39,1,-0.2771835495569177,-5.404283941495566,"Q3: lo-scaling, lo-content"
Iatinum,Lugudunensis,9.48440514846878,0.0,3.970291913552122,53,1,0.02954671786555796,-5.3327181209802035,"Q2: lo-scaling, hi-content"
Mediolanum (Gallia Lugdunensis) (1),Lugudunensis,9.290444616217844,0.0,3.2188758248682006,25,1,-0.7218693708183634,-5.1993727019452445,"Q3: lo-scaling, lo-content"
Cibalae,Pannonia inferior,9.111955470054781,0.0,1.791759469228055,6,1,-2.148985726458509,-5.076663665668144,"Q3: lo-scaling, lo-content"
Cenabum,Lugudunensis,9.038483865029992,0.0,4.189654742026425,66,1,0.24890954633986118,-5.026152864086477,"Q2: lo-scaling, hi-content"
Augustomagus,Belgica,8.90598676523643,0.0,4.5217885770490405,92,1,0.5810433813624765,-4.9350627794808535,"Q2: lo-scaling, hi-content"
Leontini,Sicilia,8.662504922576291,,,0,1,,-4.767672084270161,
Andautonia,Pannonia superior,8.662504922576291,0.0,4.143134726391533,63,1,0.20238953070496857,-4.767672084270161,"Q2: lo-scaling, hi-content"
Augusta Tricastinorum,Gallia Narbonensis,8.628555659269699,0.0,2.772588722239781,16,1,-1.1681564734467829,-4.74433239403004,"Q3: lo-scaling, lo-content"
Vesontio,Germania superior,9.621522440413576,0.6931471805599453,4.02535169073515,56,2,-0.5882869284578822,-4.733837348844334,"Q3: lo-scaling, lo-content"
Faventia,Aemilia / Regio VIII,8.593969030218288,0.0,7.0326242610280065,1133,1,3.0918790653414425,-4.720554522880974,"Q2: lo-scaling, hi-content"
Aginnum,Aquitani(c)a,9.502338118495565,0.6931471805599453,4.02535169073515,56,2,-0.5882869284578822,-4.651899631082282,"Q3: lo-scaling, lo-content"
Caesarodunum,Lugudunensis,9.351579483668907,0.6931471805599453,4.990432586778736,147,2,0.37679396758570416,-4.548254971517772,"Q2: lo-scaling, hi-content"
