,letter_count_ctc,letter_count_ctc
,count,sum
urban_context_city,,
Aeclanum,301,13933
Aesernia,221,9140
Alba Fucentia,316,11619
Allifae,140,6483
Altinum,264,7194
Ameria,221,10957
Amiternum,270,10681
Ammaedara,451,31012
Ampelum,116,5451
Andematunum,296,9322
Anderitum,102,510
Antium,161,11346
Apulum (2),853,34225
Aquae Sulis,138,7770
Aquileia,2034,82714
Aquinum,135,6706
Argentoratum,111,2782
Aricia,395,21385
Ariminum,181,11774
Asculum,113,4199
Asisium,332,10018
Asseria,135,4759
Astigi,172,7274
Ateste,123,5611
Augusta Bagiennorum,103,3448
Augusta Emerita,557,20795
Augusta Raurica,133,2648
Augusta Taurinorum,153,9311
Augusta Vindelicum,202,7903
Augustodunum,190,2655
Aventicum,380,7151
Beneventum,272,21210
Bergomum,101,4928
Bononia,113,3725
Brigetio,442,29453
Brixia,137,9228
Brundisium,456,13138
Burdigala,333,10939
Burnum,147,5914
Caere,118,5948
Canusium,236,15489
Capena,137,8854
Capua,929,44978
Caralis,395,20271
Carnuntum (1),1639,51155
Carthago,442,25914
Carthago Nova,228,8333
Casinum,114,6131
Castrimoenium,152,11226
Catania,147,6240
Celeia,373,19922
Cemelenum,240,9936
Cirta,1020,32039
Clunia,291,5182
Clusium,332,11853
Colonia Agrippinensis,145,2069
Colonia Augusta Treverorum,447,11926
Colonia Ulpia Traiana,227,4945
Comum,255,12670
Concordia,258,11471
Corduba,510,25049
Corfinium,306,16247
Corstopitum,133,2731
Cumae,236,16382
Dibio,179,3304
Doclea,101,4746
Drobeta,111,6707
Durocortorum,241,4642
Eburacum,101,3246
Emona,167,5320
Emporiae,118,2781
Ferentinum,117,6039
Formiae,202,11559
Fulginiae,196,10582
Herculaneum,525,23992
Histonium,134,5839
Iguvium,109,3463
Interamna Nahars,139,7736
Iol,136,10832
Lambaesis,379,32908
Lanuvium,131,10596
Lauriacum,128,4792
Lepcis Magna,425,30641
Londinium,228,3795
Luceria,206,9974
Lugdunum,163,23861
Luguvalium,137,3385
Luna,218,9178
Malvesia,105,3633
Marruvium,207,7890
Mediolanum (Italia (XI Transpadana)),639,43961
Mevania,176,4891
Micia,181,6969
Minturnae,123,5624
Misenum,593,51322
Mogontiacum,2397,56806
Mursa,115,4086
Mutina,194,11135
Narbo Martius,175,12336
Narona,284,11447
Neapolis (Italia (I Latium and Campania)),403,18122
Nola,144,9043
Nomentum,160,8556
Novae (Moesia Inferior),251,11800
Noviomagus (Germania Inferior),158,3440
Nursia,176,5209
Oescus,127,7211
Ostia,2644,198262
Paestum,156,11154
Patavium,351,19647
Peltuinum,146,8209
Perusia,247,7507
Pisaurum,155,12173
Poetovio,378,13491
Pola,200,11328
Pompeii,4508,116936
Porolissum,967,4865
Potaissa,173,7267
Praeneste,346,26476
Puteoli,1780,114593
Raetinium,113,2124
Ratiaria,110,5821
Reate,120,6489
Rider,115,3392
Roma,65422,2722250
Rusellae,110,3786
Sabratha,158,6397
Saepinum,198,10266
Saguntum,372,11057
Salernum,204,12907
Salona,3465,132089
Sarmizegetusa,697,25727
Scarbantia,150,5613
Scupi,201,14539
Segobriga,593,7645
Segusio,152,6214
Simitthus,113,4797
Singidunum,110,5957
Sirmium,278,11451
Siscia,126,8097
Spoletium,160,6795
Sulmo,159,7515
Surrentum,143,6045
Tarentum,163,5038
Tarquinii,130,5090
Tarracina,259,13120
Tarraco,222,7118
Teanum Sidicinum,104,4615
Telesia,180,8468
Tergestum,346,13444
Theveste,287,15686
Thugga,307,20978
Tibur,266,23251
Ticinum,115,5416
Tomis,203,12475
Turris Libisonis,135,5113
Tusculum,238,9591
Valentia (Hispania Tarraconensis) (1),152,6268
Valeria,106,2083
Velitrae,151,7631
Venafrum,274,15668
Venusia,382,12940
Verona,372,18936
Viminacium (1),303,22210
Vindobona,128,5659
Vindonissa,224,6570
