bin_centre_year,log_p_gen_mean,log_p_gen_sd,log_p_gen_q05,log_p_gen_q95,sigma_prior_recommend
-47.5,-5.924882956559781,0.13109068457517223,-6.147727915388849,-5.7246924455764985,0.13109068457517223
-42.5,-5.382079592590586,0.07248225678206677,-5.503788824207502,-5.264673791725706,0.07248225678206677
-37.5,-6.013676991774292,0.10720473138805785,-6.196562226802649,-5.837628990494158,0.10720473138805785
-32.5,-6.027868685128597,0.10694939855140156,-6.218650661530821,-5.846101591710656,0.10694939855140156
-27.5,-4.618356064646563,0.05146465951065107,-4.70050500283977,-4.533899275299807,0.05146465951065107
-22.5,-4.403834072253573,0.04154641554591324,-4.470634131498513,-4.335674987181677,0.04154641554591324
-17.5,-4.599215950193544,0.04034496414733456,-4.66908841972965,-4.529989936326812,0.04034496414733456
-12.5,-4.489571706511581,0.038639185594856816,-4.554753675001085,-4.427919680716936,0.038639185594856816
-7.5,-4.22877139015249,0.02965452921728672,-4.275751189601109,-4.182213160227226,0.02965452921728672
-2.5,-4.261342366506437,0.03095506347985987,-4.313319357080702,-4.211349871190424,0.03095506347985987
2.5,-4.269688375820423,0.03276107964378623,-4.323756621009695,-4.214553289454167,0.03276107964378623
7.5,-4.161182149150439,0.037329439609235,-4.224072889506383,-4.10024337863562,0.037329439609235
12.5,-4.408806388196633,0.03674496880021742,-4.47201518326878,-4.349084450442293,0.03674496880021742
17.5,-4.528276588727804,0.042938748202644754,-4.599656111637989,-4.458761458262354,0.042938748202644754
22.5,-4.622276960849776,0.04675396798026886,-4.701100084725643,-4.545646505606811,0.04675396798026886
27.5,-4.623521604629711,0.043733393426012415,-4.6954219305320555,-4.552201863402628,0.043733393426012415
32.5,-4.657214889426577,0.04600581683545203,-4.732218811743315,-4.581466687329458,0.04600581683545203
37.5,-4.618631319748017,0.04558150708461892,-4.699566341714085,-4.5406439783578785,0.04558150708461892
42.5,-4.122109725319473,0.0366594865254486,-4.183048085676949,-4.061675182312702,0.0366594865254486
47.5,-3.934922522655461,0.03215673510320954,-3.9877139054309416,-3.882515674586364,0.03215673510320954
52.5,-3.9475260049276133,0.03135213315747371,-3.997608841288791,-3.895505241925096,0.03135213315747371
