bin_centre_year,log_p_gen_mean,log_p_gen_sd,log_p_gen_q05,log_p_gen_q95,sigma_prior_recommend
57.5,-3.998870296455919,0.03149778230116673,-4.053424296801106,-3.9496620629127497,0.03149778230116673
62.5,-3.9400850786018027,0.03138533745297586,-3.989723564218666,-3.887574148327121,0.03138533745297586
67.5,-3.8227110987588535,0.03234321712975195,-3.876504067198967,-3.7690552193740188,0.03234321712975195
72.5,-3.6647855176592476,0.0285461752208483,-3.713010303205811,-3.6190069663945867,0.0285461752208483
77.5,-3.2558339492034576,0.023466186984391443,-3.2935927969713883,-3.217752764269527,0.023466186984391443
82.5,-4.032505215719781,0.03703889337085651,-4.09406469502537,-3.9718207516502706,0.03703889337085651
87.5,-4.226289658088492,0.03658844952844441,-4.28668704768351,-4.1668605891818675,0.03658844952844441
92.5,-4.220359489812403,0.03713382202159073,-4.282770482382737,-4.159145086650979,0.03713382202159073
97.5,-4.389847075768936,0.04220057866416067,-4.4574390976740235,-4.318081455405663,0.04220057866416067
102.5,-4.632103662933565,0.046188389184869484,-4.708827527113692,-4.554664907237445,0.046188389184869484
107.5,-4.565469056666718,0.04452151141341662,-4.638197147588249,-4.492723535505519,0.04452151141341662
112.5,-4.691114314517652,0.04486669884961809,-4.76352636388457,-4.6218223326272385,0.04486669884961809
117.5,-4.573246748256884,0.04315285954938969,-4.6436732439677115,-4.500678261809716,0.04315285954938969
122.5,-4.388019216499293,0.037080422648003424,-4.450476109557551,-4.328154064142017,0.037080422648003424
127.5,-4.31912378813199,0.034462101217303816,-4.375033421195943,-4.262995561620465,0.034462101217303816
132.5,-4.424646853854627,0.03704940693601952,-4.484712200157332,-4.364270217895709,0.03704940693601952
137.5,-4.543671514412838,0.03539062930059659,-4.604786326178706,-4.4882309862143,0.03539062930059659
142.5,-4.687978978305251,0.04069856220839816,-4.756186074605242,-4.621860122711311,0.04069856220839816
147.5,-4.735056705967471,0.04113764244179426,-4.804709771580628,-4.667697683457237,0.04113764244179426
152.5,-4.921560622524297,0.04487920306153501,-4.995382090378223,-4.84793613232069,0.04487920306153501
157.5,-4.768233243680623,0.044949743620558015,-4.84390644213524,-4.696413108437874,0.044949743620558015
162.5,-4.931950271798074,0.05705142114020036,-5.026279205836127,-4.839660459954356,0.05705142114020036
167.5,-5.105510009675103,0.06754335544650998,-5.214155680530144,-4.992107273991457,0.06754335544650998
172.5,-5.735240216304337,0.0933748643083864,-5.888360537017366,-5.578767988417036,0.0933748643083864
177.5,-5.4814070533570325,0.07803229543424213,-5.605079415477028,-5.347595128769304,0.07803229543424213
182.5,-5.202696786688942,0.06214341959582769,-5.3073583819074,-5.098473312224996,0.06214341959582769
187.5,-5.339576718256196,0.06727950009145438,-5.448737552757335,-5.235379485019531,0.06727950009145438
192.5,-5.21225836711461,0.05647952571927155,-5.311534615262589,-5.117432154466814,0.05647952571927155
197.5,-4.478138927596329,0.046558687204286346,-4.55569252735843,-4.400010890284934,0.046558687204286346
202.5,-4.580831596885985,0.03699734259243471,-4.644819338626886,-4.522512211883113,0.03699734259243471
207.5,-4.245329640893516,0.04395093573808178,-4.318064302055291,-4.17453313025241,0.04395093573808178
212.5,-3.5357495234901744,0.024641018970682407,-3.5756851095040934,-3.494577712052989,0.024641018970682407
217.5,-3.8581200108998805,0.030537200435576114,-3.9068805956522525,-3.803724291769916,0.030537200435576114
222.5,-4.545893461584426,0.039878732795718665,-4.609617909377047,-4.481812753875102,0.039878732795718665
227.5,-4.629802515524062,0.049130863427023365,-4.7141942609805945,-4.552265194630815,0.049130863427023365
232.5,-4.562382336844953,0.05707495922795047,-4.6550764251451175,-4.469402347026128,0.05707495922795047
237.5,-5.077534881244183,0.06713835994801493,-5.187097740795158,-4.964594783866816,0.06713835994801493
242.5,-5.130558224512177,0.06691590454700727,-5.238187818369272,-5.027503382009953,0.06691590454700727
247.5,-5.23122469341855,0.0743067824843541,-5.353793398760701,-5.117441069973104,0.0743067824843541
252.5,-5.3716561768333655,0.06377549292406745,-5.481200905878475,-5.270372574276245,0.06377549292406745
257.5,-5.324833698855531,0.06466099945082984,-5.432136789652846,-5.220856042660926,0.06466099945082984
262.5,-6.433417972249732,0.10212825192313683,-6.599900202762945,-6.268970814855508,0.10212825192313683
267.5,-6.302677432475477,0.09176259357180332,-6.4560077716129305,-6.15569774428825,0.09176259357180332
272.5,-4.983139712174364,0.08476911150196877,-5.121195174634488,-4.850475050323419,0.08476911150196877
277.5,-4.909925367810939,0.09134615637794208,-5.0731458196449,-4.772090488107247,0.09134615637794208
282.5,-6.409173423200558,0.1168513432814965,-6.596089778336357,-6.205532113064509,0.1168513432814965
287.5,-6.371888645106855,0.1107994685140773,-6.556490852853285,-6.188123303884389,0.1107994685140773
292.5,-3.5077999624361964,0.01828528488548798,-3.5377953760555805,-3.4786694793134876,0.01828528488548798
297.5,-3.279378588143613,0.018177247991486338,-3.3095111272735864,-3.2498932082503136,0.018177247991486338
302.5,-3.2788739324247675,0.019187973698397167,-3.3106440553530287,-3.2472930242067646,0.019187973698397167
307.5,-3.2510344971275766,0.018336032443428303,-3.2800409767036096,-3.2217943881640774,0.018336032443428303
312.5,-3.28883248187395,0.01841066670290927,-3.321497331129675,-3.259604506652097,0.01841066670290927
317.5,-3.3084759742496095,0.018421365145935977,-3.339867129051879,-3.2790506141444236,0.018421365145935977
322.5,-3.3182731221141513,0.018145475355748633,-3.349080221508257,-3.289220881232391,0.018145475355748633
327.5,-6.365637447329892,0.10350307357625047,-6.548854368237466,-6.200383002960773,0.10350307357625047
332.5,-6.509315139155788,0.09342878815187539,-6.663432850162127,-6.3568303888018685,0.09342878815187539
337.5,-6.226657264264413,0.1281403948687321,-6.4483798565099155,-6.012652527738487,0.1281403948687321
342.5,-6.634831163361588,0.14325473352915827,-6.875550591355169,-6.405631342283485,0.14325473352915827
347.5,-6.63563394584077,0.185743110898214,-6.960963305931571,-6.3378961553838575,0.185743110898214
