bin_centre_year,p_gen_mean,p_gen_mean_bootstrap,p_gen_q05,p_gen_q95
-47.5,0.002695477250689439,0.002694931693893907,0.002138335343376377,0.0032643580792007898
-42.5,0.004604028733299908,0.004610316081960294,0.004071318020097439,0.005171079602365607
-37.5,0.0024600871679299743,0.0024590838824439156,0.0020364193647657287,0.002915748700201603
-32.5,0.0024298572014350814,0.002424383749871424,0.0019919311944445843,0.002891148116642918
-27.5,0.009857298186156424,0.00988208509616323,0.009090685120710668,0.010738721498950821
-22.5,0.012203632158508301,0.012240909605463897,0.011440059076834952,0.013093033472120062
-17.5,0.010048088250417782,0.010067908576740565,0.00938081700476498,0.010780784575443885
-12.5,0.01122223115444311,0.01123383816703431,0.01051709062082473,0.011939301431133836
-7.5,0.014567907834850308,0.014576683883941316,0.013901602057871372,0.015264686974671348
-2.5,0.014088607490195172,0.014110115785045813,0.013389032781557961,0.014826341224214197
2.5,0.013972712664392454,0.013993651811779877,0.01325001494898998,0.014778922193845337
7.5,0.015555665129953242,0.015599974807961615,0.01463890030775493,0.016568642666951808
12.5,0.012157879827927952,0.012177913895347895,0.011424270698382389,0.012918635477751938
17.5,0.01081511760096529,0.010809230563868176,0.010055293053541716,0.011576692630341182
22.5,0.009836817161902966,0.009841136816452746,0.009085277558736032,0.01061330893457233
27.5,0.009823225064756958,0.009827552945497661,0.009137011370741672,0.010543962466427095
32.5,0.00951847757950436,0.009502923490557737,0.008806908473560377,0.010239866702806329
37.5,0.00988160868729354,0.009876526014444388,0.009099222783675516,0.010666535331350207
42.5,0.0162164997388452,0.016221169207933712,0.015251947410580875,0.017220148052532924
47.5,0.019556055761916113,0.019557325370473486,0.01854205473245804,0.02059893971661575
52.5,0.01931653581055521,0.019311898078044433,0.018359487355479095,0.02033309876186944
57.5,0.018363249676428953,0.018345423603698112,0.017362817350763095,0.019261209757253806
62.5,0.019478756293280396,0.01945613460633762,0.018504828819010347,0.020495003648130297
67.5,0.021891943224634964,0.021879877977204903,0.020723145724077914,0.023073852722107064
72.5,0.025612309312098,0.025620082975063022,0.024403949314647764,0.026809285877320677
77.5,0.03857212205899808,0.03855927170587663,0.03712024414034314,0.04004494910194321
82.5,0.017716328018111724,0.017742004371639607,0.01667133178767272,0.01883910061239279
87.5,0.014586700296816513,0.014616263920214059,0.013750404369077984,0.015500847482247606
92.5,0.014672375486972316,0.014703492300045697,0.01380436440549573,0.01562090674485565
97.5,0.012370193553213052,0.012413687317617342,0.011592011758747035,0.013325424511775543
102.5,0.00972463516905941,0.009744635989015387,0.009015341688031682,0.010518024159761854
107.5,0.0103992479895391,0.010415311112208742,0.009675124779310344,0.01119012565641722
112.5,0.009191898692730358,0.009185696825540017,0.008535457152230606,0.009834857344749736
117.5,0.01034269733875839,0.010334014557663609,0.009622287627446458,0.011101464638013852
122.5,0.012446411445993044,0.012433847668242392,0.011673008035125335,0.013191876429692119
127.5,0.01333610995749808,0.013319437901118138,0.012587721538825347,0.01408006150725199
132.5,0.012012017881709535,0.011986669367171342,0.01128013347822777,0.012723937494813523
137.5,0.010657235493238342,0.01064094588536815,0.010003839349680922,0.011240510899384137
142.5,0.00923193887720519,0.009212876504772432,0.008598340747185147,0.009834486026589439
147.5,0.008800379572376902,0.008789376698871794,0.008191077971751273,0.009393872323476295
152.5,0.0072965026112185825,0.007295089002165179,0.006769134301638754,0.007844550995361627
157.5,0.008513632347973026,0.008503961948748875,0.007876225885891838,0.009127959457255036
162.5,0.007215328328201459,0.0072241786385351375,0.006563185457606574,0.00790973927460988
167.5,0.006069568385957091,0.006077075605827656,0.00543902381625102,0.00679133821571491
172.5,0.0032417164435577066,0.003244238101653789,0.0027715168706796502,0.003777216439192929
177.5,0.004190638027260921,0.004176144887278478,0.003679128707279057,0.00475958343280598
182.5,0.0055181427504899915,0.005512324030327409,0.004954998698137539,0.006106061504359849
187.5,0.004815247443044221,0.004808719913953169,0.004301732008904986,0.005324803444557092
192.5,0.0054649839195034565,0.00545803505374762,0.004934348586382353,0.005991388118081171
197.5,0.011398547721989599,0.011366835224577349,0.010507221254531853,0.012277206226380129
202.5,0.010262865374985499,0.010253380813490198,0.009611265979694049,0.01086170253652014
