shape_name,alpha_true,n,conv_rate,shape_rate,mean_abs_alpha_bias,band_cov95,n_reps,cell_pass
regnal_cluster,0.7,2000,1.0,0.7333333333333333,0.04468683766604618,0.9820833333333333,30,False
regnal_cluster,0.75,2000,1.0,0.5333333333333333,0.03713892301681895,0.9875,30,False
regnal_cluster,0.8,2000,1.0,0.06666666666666667,0.05403498719487551,0.9783333333333334,30,False
regnal_cluster,0.85,2000,1.0,0.0,0.05121559477206102,0.9716666666666668,30,False
regnal_cluster,0.9,2000,1.0,0.0,0.08041222334106939,0.9079166666666667,30,False
rise_and_fall,0.7,2000,1.0,0.9666666666666667,0.23306996703735663,0.67625,30,True
rise_and_fall,0.75,2000,0.9666666666666667,0.8,0.20493974626441686,0.7079166666666666,30,False
rise_and_fall,0.8,2000,1.0,0.6,0.14050657555620794,0.8229166666666666,30,False
rise_and_fall,0.85,2000,0.9333333333333333,0.4,0.12705332680661466,0.8720833333333334,30,False
rise_and_fall,0.9,2000,1.0,0.13333333333333333,0.11233583106666158,0.8958333333333334,30,False
smooth_growth,0.7,2000,0.9333333333333333,0.8,0.10718798288027817,0.9941666666666666,30,False
smooth_growth,0.75,2000,0.9333333333333333,0.6666666666666666,0.1304389274849896,0.9674999999999999,30,False
smooth_growth,0.8,2000,0.9333333333333333,0.6666666666666666,0.09927012166545414,0.985,30,False
smooth_growth,0.85,2000,1.0,0.6333333333333333,0.1180398905161672,0.9666666666666667,30,False
smooth_growth,0.9,2000,1.0,0.36666666666666664,0.07846971066814269,0.9912500000000001,30,False
