urban_context_city,inscription_count,letter_total_conservative,letter_total_interpretive,rank_by_inscription,rank_by_letter_cons,rank_by_letter_intr,delta_rank_cons,delta_rank_intr
Pompeii,4508,116946,171696,1,3,3,2,2
Salona,3465,132089,192891,2,2,2,0,0
Ostia,2644,197971,296884,3,1,1,-2,-2
Mogontiacum,2398,56840,105284,4,6,6,2,2
Aquileia,2034,82661,131480,5,5,5,0,0
Puteoli,1780,114283,154065,6,4,4,-2,-2
Carnuntum (1),1641,51185,101409,7,8,7,1,0
Cirta,1020,32039,57269,8,15,13,7,5
Porolissum,967,4865,15116,9,186,85,177,76
Capua,929,44967,67657,10,9,9,-1,-1
Apulum (2),853,34225,60121,11,12,11,1,0
Sarmizegetusa,697,25721,48409,12,21,17,9,5
Mediolanum (Italia (XI Transpadana)),639,43952,62191,13,11,10,-2,-3
Segobriga,593,7639,12719,14,106,102,92,88
Misenum,593,51299,74530,14,7,8,-7,-6
Augusta Emerita,557,20785,35810,16,31,27,15,11
Herculaneum,525,24003,35292,17,24,28,7,11
Corduba,510,25034,40671,18,22,23,4,5
Brundisium,456,13125,21524,19,48,49,29,30
Ammaedara,451,31012,49469,20,16,16,-4,-4
Colonia Augusta Treverorum,447,11926,16355,21,56,78,35,57
Brigetio,445,29608,49808,22,18,15,-4,-7
Carthago,442,25914,39200,23,20,24,-3,1
Lepcis Magna,425,30631,48276,24,17,18,-7,-6
Neapolis (Italia (I Latium and Campania)),403,17841,22847,25,37,45,12,20
Caralis,395,20216,29794,26,32,36,6,10
Aricia,395,21384,33064,26,28,31,2,5
Venusia,382,12941,20340,28,50,55,22,27
Aventicum,380,7151,11504,29,117,115,88,86
Lambaesis,379,32908,54429,30,13,14,-17,-16
Poetovio,378,13490,24103,31,46,40,15,9
Celeia,373,19922,33504,32,33,30,1,-2
Verona,372,18936,29919,33,35,35,2,2
Saguntum,372,11057,18491,33,71,61,38,28
Patavium,351,19647,30296,35,34,34,-1,-1
Tergestum,346,13444,21412,36,47,50,11,14
Praeneste,346,26470,40822,36,19,22,-17,-14
Burdigala,333,10937,18313,38,73,62,35,24
Asisium,332,9993,15564,39,83,80,44,41
Clusium,332,11853,16949,39,57,73,18,34
Alba Fucentia,317,11620,23203,41,60,43,19,2
Thugga,307,20978,37114,42,30,25,-12,-17
Corfinium,306,16247,22581,43,40,47,-3,4
Viminacium (1),303,22210,42539,44,27,21,-17,-23
Aeclanum,301,13933,22792,45,45,46,0,1
Andematunum,296,9322,13155,46,87,98,41,52
Clunia,291,5182,7461,47,174,192,127,145
Theveste,287,15686,26852,48,41,37,-7,-11
Narona,284,11447,18530,49,64,60,15,11
Philippi,278,16256,25182,50,39,38,-11,-12
Sirmium,278,11451,21534,50,63,48,13,-2
Venafrum,274,15668,23243,52,42,42,-10,-10
Beneventum,272,21210,31701,53,29,33,-24,-20
Amiternum,270,10681,17039,54,75,70,21,16
Tibur,266,23250,34272,55,26,29,-29,-26
Altinum,264,7194,12450,56,116,104,60,48
Tarracina,259,13120,20004,57,49,56,-8,-1
Concordia,258,11464,17787,58,62,66,4,8
Comum,255,12670,17748,59,52,67,-7,8
Novae (Moesia Inferior),251,11793,20415,60,58,53,-2,-7
Perusia,247,7507,12200,61,109,108,48,47
Durocortorum,241,4642,6942,62,197,204,135,142
Cemelenum,240,9936,15119,63,85,84,22,21
Tusculum,238,9591,15381,64,86,83,22,19
Cumae,236,16372,23716,65,38,41,-27,-24
Canusium,236,15476,22953,65,43,44,-22,-21
Londinium,228,3795,5045,67,222,261,155,194
Carthago Nova,228,8333,13239,67,99,96,32,29
Colonia Ulpia Traiana,227,4945,9116,69,182,154,113,85
Vindonissa,224,6570,11635,70,125,114,55,44
Tarraco,222,7118,11027,71,119,121,48,50
Ameria,221,10957,16412,72,72,76,0,4
Aesernia,221,9140,14112,72,94,91,22,19
Luna,218,9178,15042,74,93,86,19,12
Marruvium,207,7890,12224,75,103,107,28,32
Luceria,206,9974,15512,76,84,81,8,5
Salernum,204,12905,18099,77,51,65,-26,-12
Tomis,203,12425,20380,78,53,54,-25,-24
Augusta Vindelicum,202,7903,13182,79,102,97,23,18
Formiae,202,11559,16958,79,61,72,-18,-7
Scupi,201,14539,24380,81,44,39,-37,-42
Pola,200,11324,16905,82,66,74,-16,-8
Saepinum,198,10266,16994,83,81,71,-2,-12
Fulginiae,196,10582,15855,84,77,79,-7,-5
Mutina,194,11135,17237,85,70,69,-15,-16
Augustodunum,190,2655,4794,86,291,273,205,187
Ariminum,181,11775,18268,87,59,64,-28,-23
Micia,181,6969,13985,87,120,94,33,7
Telesia,180,8468,12341,89,98,106,9,17
Dibio,179,3304,5281,90,252,250,162,160
Mevania,176,4891,7604,91,184,187,93,96
Nursia,176,5209,8650,91,173,160,82,69
Narbo Martius,175,12335,18271,93,54,63,-39,-30
Patrae,174,4815,8046,94,189,175,95,81
Potaissa,173,7267,14091,95,114,92,19,-3
Astigi,172,7274,12862,96,113,100,17,4
Emona,167,5319,9186,97,168,153,71,56
Tarentum,163,5022,8241,98,181,172,83,74
Lugdunum,163,23856,31986,98,25,32,-73,-66
Antium,161,11344,18872,100,65,58,-35,-42
Spoletium,160,6795,11028,101,121,120,20,19
Nomentum,160,8556,12765,101,97,101,-4,0
Sulmo,159,7515,10135,103,108,131,5,28
Sabratha,158,6397,10364,104,130,128,26,24
Noviomagus (Germania Inferior),158,3440,7408,104,240,194,136,90
Paestum,156,11155,16400,106,69,77,-37,-29
Pisaurum,155,12173,17355,107,55,68,-52,-39
Augusta Taurinorum,153,9306,15037,108,89,87,-19,-21
Segusio,152,6214,11374,109,135,117,26,8
Castrimoenium,152,11226,18592,109,67,59,-42,-50
Valentia (Hispania Tarraconensis) (1),152,6268,9279,109,134,151,25,42
Velitrae,151,7631,11483,112,107,116,-5,4
Scarbantia,150,5613,10063,113,156,135,43,22
Catania,147,6195,9357,114,136,149,22,35
Burnum,147,5914,11649,114,147,113,33,-1
Peltuinum,146,8209,12047,116,100,110,-16,-6
Colonia Agrippinensis,145,2069,3770,117,348,316,231,199
Nola,144,9043,13312,118,95,95,-23,-23
Surrentum,143,6049,8571,119,142,162,23,43
Dyrrachium,141,6557,9775,120,126,139,6,19
Allifae,140,6483,11267,121,129,119,8,-2
Interamna Nahars,139,7736,11965,122,105,112,-17,-10
Aquae Sulis,138,7770,9691,123,104,140,-19,17
Brixia,137,9228,14800,124,92,89,-32,-35
Luguvalium,137,3385,5043,124,247,262,123,138
Capena,137,8854,12407,124,96,105,-28,-19
Iol,136,10832,15482,127,74,82,-53,-45
Aquinum,135,6706,11304,128,124,118,-4,-10
Turris Libisonis,135,5109,7818,128,176,184,48,56
Asseria,135,4759,7841,128,194,183,66,55
Histonium,134,5839,9403,131,148,147,17,16
Corstopitum,133,2731,5339,132,286,244,154,112
Augusta Raurica,133,2648,4999,132,293,267,161,135
Ephesus,132,24848,36543,134,23,26,-111,-108
Lanuvium,131,10596,14806,135,76,88,-59,-47
Tarquinii,130,5090,8298,136,178,169,42,33
Lauriacum,128,4792,10999,137,191,122,54,-15
Vindobona,128,5659,10838,137,152,124,15,-13
Oescus,127,7210,12127,139,115,109,-24,-30
Siscia,126,8097,12653,140,101,103,-39,-37
Ateste,123,5611,8909,141,157,156,16,15
Minturnae,123,5624,9465,141,154,145,13,4
Reate,120,6489,9535,143,127,144,-16,1
Caere,118,5948,10401,144,146,127,2,-17
Emporiae,118,2781,5079,144,281,258,137,114
Ferentinum,117,6039,9364,146,143,148,-3,2
Ampelum,116,5451,9561,147,162,143,15,-4
Mursa,115,4086,8526,148,211,163,63,15
Ticinum,115,5416,8491,148,164,165,16,17
Rider,115,3392,5146,148,246,254,98,106
Casinum,114,6131,10526,151,138,126,-13,-25
Bononia,113,3725,6082,152,227,224,75,72
Asculum,113,4199,6521,152,209,215,57,63
Simitthus,113,4797,7879,152,190,180,38,28
Raetinium,113,2124,3671,152,343,323,191,171
Drobeta,111,6707,10982,156,123,123,-33,-33
Argentoratum,111,2782,5293,156,280,249,124,93
Ratiaria,110,5821,10197,158,149,130,-9,-28
Singidunum,110,5957,9837,158,145,137,-13,-21
Rusellae,110,3786,6819,158,223,208,65,50
Iguvium,109,3463,5543,161,237,231,76,70
Valeria,106,2083,3509,162,346,333,184,171
Malvesia,105,3633,7346,163,232,196,69,33
Teanum Sidicinum,104,4615,7574,164,198,188,34,24
Augusta Bagiennorum,103,3448,5653,165,239,227,74,62
Anderitum,102,510,820,166,631,631,465,465
Doclea,101,4746,8288,167,195,170,28,3
Bergomum,101,4928,7544,167,183,190,16,23
Eburacum,101,3246,5615,167,254,228,87,61
Arretium,99,5043,7847,170,179,181,9,11
Teate Marrucinorum,99,6132,8662,170,137,159,-33,-11
Cales,98,6091,9670,172,140,141,-32,-31
Vienna,97,5300,7959,173,169,178,-4,5
Falerio,97,6764,10208,173,122,129,-51,-44
Municipium S,97,3601,7211,173,234,198,61,25
Veii,95,6305,9788,176,132,138,-44,-38
Opitergum,94,3532,5475,177,235,235,58,58
Tibiscum,94,4264,9851,177,207,136,30,-41
Ravenna,94,10132,14090,177,82,93,-95,-84
Aequum,94,4438,6991,177,201,202,24,25
Montana,93,9311,14218,181,88,90,-93,-91
Vercellae,93,3460,4985,181,238,269,57,88
Urbs Salvia,93,3426,6515,181,241,216,60,35
Aleria,92,3121,5436,184,265,240,81,56
Troesmis,91,10475,16897,185,79,75,-106,-110
Superaequum,91,3781,5771,185,224,226,39,41
Firmum,91,4658,7133,185,196,199,11,14
Sora,89,3222,5097,188,256,257,68,69
Carsulae,89,5109,8106,188,176,173,-12,-15
Histria,88,5502,9010,190,160,155,-30,-35
Fundi,88,3985,6430,190,214,221,24,31
Nuceria Alfaterna,88,3151,4553,190,262,285,72,95
Interamnia Praetuttiorum,88,4007,6594,190,213,211,23,21
Iulium Carnicum,87,3173,5030,194,260,264,66,70
Abellinum,87,5662,9411,194,151,146,-43,-48
Thessalonica,87,5251,7244,194,171,197,-23,3
Ocriculum,87,4304,6448,194,206,219,12,25
Trebula Suffenas,86,2905,4752,198,275,276,77,78
Augusta Auscorum,86,2241,3137,198,333,354,135,156
Fanum Fortunae,84,4189,6353,200,210,222,10,22
Dertona,83,3872,5896,201,218,225,17,24
Centumcellae,83,5473,8375,201,161,168,-40,-33
Volubilis,83,9280,21277,201,91,51,-110,-150
Parma,82,5709,8013,204,150,176,-54,-28
Athenae,81,5416,9239,205,164,152,-41,-53
Napoca,81,4079,7705,205,212,185,7,-20
Herdoniae,79,2600,4189,207,296,299,89,92
Olbia,78,2739,4569,208,284,283,76,75
Sarsina,78,5043,6907,208,179,205,-29,-3
Augusta Praetoria,77,2265,3444,210,328,335,118,125
Lucus Feroniae,77,5413,8846,210,166,157,-44,-53
Volcei,77,4851,6847,210,187,207,-23,-3
Tegianum,76,3824,5496,213,220,233,7,20
Urso,75,32620,43729,214,14,20,-200,-194
Interamna Lirenas,75,3745,5401,214,225,241,11,27
