bin_centre,spa_inscription,spa_letter_conservative,spa_letter_interpretive
-47.5000,380.3322,16770.1533,28416.9686
-42.5000,441.0188,35318.4501,49392.3144
-37.5000,427.2439,16389.8363,27619.1111
-32.5000,381.5071,15821.0677,27145.3733
-27.5000,677.3749,25595.1324,42747.4866
-22.5000,770.1242,28803.9903,48340.1422
-17.5000,775.0879,31170.6755,51990.1923
-12.5000,865.6742,36063.7285,58570.1978
-7.5000,1011.7011,48591.9038,81464.6218
-2.5000,1017.3916,52062.7771,86108.9907
2.5000,2176.4006,79937.5174,124410.8392
7.5000,2565.7417,96333.5063,147897.8243
12.5000,2565.8069,99310.1667,152059.5580
17.5000,2527.1333,102212.9432,158225.9793
22.5000,2479.1554,105544.0720,164380.6611
27.5000,2437.9269,94228.8047,144527.6469
32.5000,2375.6540,92471.1290,141343.8069
37.5000,2365.5803,99960.0395,150151.8464
42.5000,2546.8090,103684.7881,159550.2581
47.5000,2673.0124,112841.3265,170859.4424
52.5000,2422.8945,105106.8712,160784.6720
57.5000,2326.3841,107520.9501,162963.3129
62.5000,2313.9090,99832.9127,150624.3561
67.5000,2399.0037,113297.3713,171283.1912
72.5000,2763.1220,132552.1074,199286.5303
77.5000,3507.6944,140337.6975,220335.7901
82.5000,2280.9513,115981.9773,175874.1298
87.5000,2167.8315,117589.9220,174107.2078
92.5000,2147.4044,116782.3587,173858.2511
97.5000,2242.6144,113781.6678,175225.7905
102.5000,2338.2635,139783.6498,213510.0771
107.5000,2403.9797,152026.8304,232170.2002
112.5000,2373.2773,152922.6864,233272.1557
117.5000,2433.6133,139320.6640,217580.0877
122.5000,3852.4204,180991.9640,301947.4510
127.5000,2731.1275,140420.5930,218757.9041
132.5000,2468.9687,131722.9246,209786.9364
137.5000,2564.0462,151256.2535,245327.6419
142.5000,2354.1061,133893.0839,211052.2925
147.5000,2507.4024,150650.8050,236492.1102
152.5000,2397.6444,135023.9288,215704.8194
157.5000,2446.2014,147314.1496,243613.7341
162.5000,2651.0115,159296.0184,266731.3409
167.5000,2479.7301,143363.5233,230296.2768
172.5000,2496.5244,129875.6260,201465.0458
177.5000,2592.9198,145579.5303,224207.0208
182.5000,2633.1651,143302.2066,225454.1089
187.5000,2580.9979,133939.7248,207882.3050
192.5000,2638.8575,144097.6465,225861.9400
197.5000,2957.8116,181529.7014,298052.5456
202.5000,2410.6706,146979.0134,255216.8353
207.5000,2292.7211,160505.9416,265894.1263
212.5000,2956.8083,148222.7697,263173.3150
217.5000,2723.7180,137067.6418,233051.4246
222.5000,2164.0075,119049.7069,194809.4965
227.5000,2045.5745,114563.2703,181714.2283
232.5000,1794.6737,92063.6736,149058.7399
237.5000,1926.9953,108778.5722,185527.0767
242.5000,1768.7042,95497.9248,155375.1879
247.5000,1709.0911,88837.3592,143637.9015
252.5000,1585.1180,77185.6575,130106.2632
257.5000,1417.1148,68451.3924,104985.6951
262.5000,1228.5010,54582.5069,82673.0434
267.5000,1238.3034,51916.2972,80541.0525
272.5000,1251.8234,50354.7661,78159.9669
277.5000,1213.3734,46883.1123,71760.4165
282.5000,1224.1095,50809.9276,79857.4153
287.5000,1159.1972,49557.3097,74891.1782
292.5000,1404.7206,53650.5906,81043.1525
297.5000,1516.6349,59751.4835,91166.7636
302.5000,1697.1012,71953.3652,125863.6641
307.5000,1860.6219,61841.2823,93687.3048
312.5000,1753.0067,59474.1299,81522.8831
317.5000,1685.0212,49913.7137,67304.3353
322.5000,1695.0792,53336.1879,72251.1745
327.5000,1587.5741,49681.1467,68564.7463
332.5000,1547.4514,51943.7804,69276.1175
337.5000,1580.0464,54441.9569,74040.8468
342.5000,1554.0953,52305.0549,68328.1931
347.5000,1558.8336,52378.8556,68009.1221
