inscription,letter_cons,letter_intr
0.5598,0.5010,0.4989
0.5646,0.5138,0.4907
0.5742,0.5156,0.5222
0.5592,0.5261,0.5138
0.5635,0.5049,0.5195
0.5592,0.5374,0.4856
0.5684,0.5114,0.5265
0.5586,0.4874,0.5085
0.5507,0.4886,0.4986
0.5563,0.4225,0.5203
0.5730,0.5348,0.4783
0.5676,0.5127,0.4738
0.5581,0.4984,0.5096
0.5507,0.5070,0.4930
0.5508,0.5384,0.4881
0.5511,0.5131,0.5138
0.5624,0.5195,0.5277
0.5673,0.5263,0.4787
0.5566,0.5315,0.5294
0.5688,0.5081,0.4964
0.5476,0.5151,0.5138
0.5632,0.5263,0.5168
0.5542,0.5144,0.5323
0.5790,0.5219,0.4949
0.5634,0.4700,0.5263
0.5443,0.5153,0.5123
0.5574,0.4823,0.5277
0.5582,0.5110,0.4914
0.5662,0.5193,0.4845
0.5475,0.5243,0.5059
0.5565,0.5156,0.4851
0.5632,0.4997,0.4935
0.5535,0.4961,0.5062
0.5609,0.5123,0.4743
0.5569,0.5020,0.4991
0.5612,0.5170,0.4881
0.5536,0.5035,0.5025
0.5556,0.5022,0.5037
0.5551,0.5280,0.5453
0.5456,0.5275,0.4621
0.5516,0.5193,0.4981
0.5507,0.5087,0.5026
0.5583,0.5080,0.5077
0.5506,0.5355,0.4875
0.5540,0.5137,0.4953
0.5592,0.5381,0.4991
0.5656,0.5028,0.5159
0.5537,0.5037,0.4800
0.5603,0.5266,0.4889
0.5556,0.5142,0.5142
0.5633,0.5174,0.5120
0.5597,0.5118,0.4775
0.5550,0.5035,0.5208
0.5552,0.4921,0.5289
0.5484,0.4868,0.4922
0.5494,0.4892,0.5178
0.5576,0.5326,0.4727
0.5461,0.4598,0.5170
0.5511,0.5088,0.5060
0.5596,0.5223,0.5308
0.5673,0.5019,0.4732
0.5628,0.4915,0.5094
0.5560,0.4975,0.4928
0.5722,0.4974,0.5149
0.5542,0.5164,0.5057
0.5710,0.4829,0.5103
0.5699,0.4815,0.4874
0.5516,0.5028,0.4965
0.5547,0.5095,0.5224
0.5626,0.5137,0.5050
0.5500,0.4627,0.5109
0.5552,0.4613,0.5172
0.5658,0.4877,0.5051
0.5477,0.4853,0.5294
0.5614,0.4844,0.5247
0.5663,0.5054,0.4998
0.5653,0.5311,0.5265
0.5584,0.4989,0.4806
0.5626,0.4956,0.5167
0.5570,0.5147,0.4860
0.5626,0.5326,0.4901
0.5576,0.5309,0.4988
0.5572,0.5116,0.4735
0.5560,0.5318,0.5089
