spike_year,bin_lo,bin_hi,width_bucket,n_contributing,mass,total_mass,share_of_spike
50,48,52,width = 1,73,73.0,2538.368251483166,0.028758632620521536
50,48,52,1 < width <= 10,119,70.98134920634921,2538.368251483166,0.027963377325128012
50,48,52,10 < width <= 25,593,136.14515130227306,2538.368251483166,0.05363490944338891
50,48,52,25 < width <= 50,12157,930.5154389791765,2538.368251483166,0.3665801596893899
50,48,52,50 < width <= 100,18829,956.9731004869466,2538.368251483166,0.3770032578715827
50,48,52,100 < width <= 200,10363,264.8020883419239,2538.368251483166,0.10431980788729148
50,48,52,width > 200,6643,105.95112316649676,2538.368251483166,0.04173985516269738
150,148,152,width = 1,285,285.0,2539.619614042989,0.1122215305095591
150,148,152,1 < width <= 10,66,46.31190476190477,2539.619614042989,0.018235764326996112
150,148,152,10 < width <= 25,791,165.2770522696071,2539.619614042989,0.06507945180282003
150,148,152,25 < width <= 50,5280,358.53319633222736,2539.619614042989,0.14117594396802385
150,148,152,50 < width <= 100,21369,948.9444400547903,2539.619614042989,0.37365613133854436
150,148,152,100 < width <= 200,23681,607.2276691720949,2539.619614042989,0.23910181895524463
150,148,152,width > 200,7539,128.3253514523641,2539.619614042989,0.05052935909881183
250,248,252,width = 1,144,144.0,1665.2494077674455,0.086473533230711
250,248,252,1 < width <= 10,335,215.84801587301584,1665.2494077674455,0.12961903175957132
250,248,252,10 < width <= 25,75,16.160617450817682,1665.2494077674455,0.009704622848347853
250,248,252,25 < width <= 50,3012,181.50023051945578,1665.2494077674455,0.10899282093892962
250,248,252,50 < width <= 100,11463,515.4526582894864,1665.2494077674455,0.30953480955176543
250,248,252,100 < width <= 200,16379,464.1519407453336,1665.2494077674455,0.27872818244542086
250,248,252,width > 200,7582,128.1359448893362,1665.2494077674455,0.07694699922525393
