spike_year,full_n,full_observed,full_expected,full_oe,wide_only_n,wide_only_observed,wide_only_expected,wide_only_oe,oe_retained_fraction
50,180609,12008.0,524.4197281985075,22.89768930175456,154788,11925.0,475.7025165728064,25.068187752954373,1.094791156548425
150,180609,19451.0,469.9875797553526,41.38620005687177,154788,19324.0,400.2007370968072,48.28576813771733,1.166711804209238
250,180609,7170.0,374.7053542307383,19.13503481881077,154788,7024.0,278.9532353560965,25.179847765642666,1.315902897698912
