width_years,count,share
1,8279,0.0458393546279532
5,797,0.0044128476432514436
10,603,0.0033387040512931248
25,854,0.004728446533672187
50,20286,0.1123199840539508
100,47487,0.2629270966563128
200,28007,0.1550697916493641
