bin_centre_year,p_conv_empirical
-47.5,0.0023807119695823703
-42.5,0.0023622161507466134
-37.5,0.0024417898082449885
-32.5,0.002327689337756068
-27.5,0.002506340240389783
-22.5,0.002535966914205133
-17.5,0.002510130242208522
-12.5,0.002502941131060867
-7.5,0.0024784639416742305
-2.5,0.0019858934008200406
2.5,0.01332676058423272
7.5,0.01665218131329597
12.5,0.016700146942569
17.5,0.01671450495753137
22.5,0.016701270564268185
27.5,0.016477812095495092
32.5,0.016365905804579202
37.5,0.01668746086424602
42.5,0.016913051769708493
47.5,0.016980215775090506
52.5,0.013499496387751523
57.5,0.014393942533794848
62.5,0.014290889835169586
67.5,0.014311380540710909
72.5,0.013949414104725602
77.5,0.01430788190178105
82.5,0.014150672722521563
87.5,0.014163131718125345
92.5,0.013901365457254622
97.5,0.01391299313257992
102.5,0.013707069276780727
107.5,0.016064692675635935
112.5,0.016050701682232354
117.5,0.01605589543673646
122.5,0.016074252153931504
127.5,0.016019166750567693
132.5,0.016205166285956626
137.5,0.016464263299127077
142.5,0.016451228629503434
147.5,0.016465586174527827
152.5,0.016838468711290876
157.5,0.017822775916134476
162.5,0.01812327634468949
167.5,0.018219291252195173
172.5,0.01774952057471534
177.5,0.017992924764832465
182.5,0.017648844358512817
187.5,0.01765097035791352
192.5,0.01764292595965064
197.5,0.01765194216116556
202.5,0.010328353934659777
207.5,0.011489959653827845
212.5,0.011478596553582696
217.5,0.011483660135267621
222.5,0.011461419850643884
227.5,0.011475784592522815
232.5,0.011163568276751527
237.5,0.011250823070457798
242.5,0.011246239295445755
247.5,0.011249142102319793
252.5,0.00892087858411524
257.5,0.009210545814609625
262.5,0.009186443165789381
267.5,0.009187751473112892
272.5,0.008955986522529625
277.5,0.009198797887151292
282.5,0.009257478539833221
287.5,0.009259331975208193
292.5,0.009277430696454739
297.5,0.009282619751579096
302.5,0.010078634278819235
307.5,0.012461403038920377
312.5,0.012442966902207496
317.5,0.012443315126247268
322.5,0.012425342348378129
327.5,0.013780854310790456
332.5,0.014097378383489591
337.5,0.014119050043163094
342.5,0.014215104895396692
347.5,0.014239553888504806
