,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_0,5.49,1.94,2.3,8.5,1755,2727,1.00,0.046,0.033
beta_within,0.5871,0.0352,0.53,0.64,8395,7944,1.00,0.00038,0.00028
beta_between,-0.24,0.241,-0.62,0.15,1764,2627,1.00,0.0057,0.0041
sigma_prov,1.087,0.124,0.91,1.3,1660,2514,1.00,0.0031,0.0024
inv_dispersion,1.455,0.059,1.4,1.6,10643,8871,1.00,0.00057,0.00041
dispersion,0.6883,0.0279,0.64,0.73,10643,8871,1.00,0.00027,0.00019
alpha_prov_raw[0],-0.15,0.309,-0.65,0.35,2611,4533,1.00,0.006,0.0043
alpha_prov_raw[1],-0.43,0.361,-1,0.14,3230,5234,1.00,0.0064,0.0045
alpha_prov_raw[2],0.3,0.298,-0.16,0.79,4360,5867,1.00,0.0045,0.0034
alpha_prov_raw[3],-0.306,0.204,-0.63,0.017,2113,4050,1.00,0.0044,0.0033
alpha_prov_raw[4],0.7,0.67,-0.31,1.8,8254,7389,1.00,0.0074,0.0054
alpha_prov_raw[5],1.04,0.623,0.093,2.1,8619,7634,1.00,0.0068,0.0049
alpha_prov_raw[6],0.41,0.69,-0.63,1.6,10501,7983,1.00,0.0069,0.005
alpha_prov_raw[7],0.254,0.252,-0.14,0.67,2845,4789,1.00,0.0047,0.0034
alpha_prov_raw[8],0.28,0.336,-0.24,0.83,3388,5292,1.00,0.0057,0.0042
alpha_prov_raw[9],-0.89,0.397,-1.5,-0.24,5246,6198,1.00,0.0055,0.004
alpha_prov_raw[10],-1.38,0.292,-1.9,-0.93,2194,4105,1.00,0.0062,0.0045
alpha_prov_raw[11],-0.76,0.274,-1.2,-0.33,2049,3415,1.00,0.006,0.0043
alpha_prov_raw[12],0.05,0.343,-0.49,0.6,4001,6266,1.00,0.0054,0.0039
alpha_prov_raw[13],0.01,0.8,-1.2,1.3,6816,7482,1.00,0.0097,0.0069
alpha_prov_raw[14],0.89,0.482,0.16,1.7,6967,7156,1.00,0.0058,0.0043
alpha_prov_raw[15],0.35,0.276,-0.08,0.79,2954,4773,1.00,0.0051,0.0038
alpha_prov_raw[16],-0.22,0.29,-0.68,0.25,3199,5147,1.00,0.0051,0.0038
alpha_prov_raw[17],-1.84,0.61,-2.8,-0.85,6092,7381,1.00,0.0078,0.0056
alpha_prov_raw[18],-2.09,0.45,-2.8,-1.4,4044,6693,1.00,0.007,0.0051
alpha_prov_raw[19],0.43,0.7,-0.64,1.6,7773,7090,1.00,0.0081,0.0059
alpha_prov_raw[20],-0.97,0.5,-1.8,-0.16,5163,6276,1.00,0.007,0.0051
alpha_prov_raw[21],-1.31,0.659,-2.3,-0.22,9475,7992,1.00,0.0068,0.0049
alpha_prov_raw[22],1.89,0.38,1.3,2.5,3304,4557,1.00,0.0065,0.005
alpha_prov_raw[23],0.39,0.283,-0.059,0.85,2149,3759,1.00,0.0061,0.0044
alpha_prov_raw[24],0.245,0.229,-0.12,0.61,2652,4123,1.00,0.0044,0.0033
alpha_prov_raw[25],-0.76,0.47,-1.5,0.013,6184,6629,1.00,0.006,0.0044
