"variable","mean","sd","2.5%","50%","97.5%","rhat","ess_bulk","ess_tail"
"r_province[Picenum./.Regio.V,Intercept]",0.100112817790307,0.322975531021338,-0.51861048725,0.0918498575,0.75184860275,1.00013643356058,4949.49382789067,7034.2146711517
"r_province[Pontus.et.Bithynia,Intercept]",-1.59409542014493,0.432748880125705,-2.3998757025,-1.61274335,-0.71287731375,0.999964994992812,10044.179088259,7930.21667636758
"r_province[Raetia,Intercept]",-0.198175614671397,0.544046388673367,-1.1921216675,-0.21991882,0.94595915975,0.999958190316885,9580.70711734807,7782.48289970012
"r_province[Samnium./.Regio.IV,Intercept]",0.735671536795783,0.298584465389122,0.15749105625,0.727832985,1.3394245725,1.00002288988087,3321.23617867745,5925.87526758554
"r_province[Sardinia,Intercept]",0.921523428999549,0.455277641861112,0.078646337375,0.905580035,1.8611835225,1.00023930484006,6765.73242931989,7812.76606163488
"r_province[Sicilia,Intercept]",-0.712713150213493,0.289560866077984,-1.266987465,-0.71771024,-0.13466842375,1.00033057995502,5065.02602467377,7606.0903593448
"r_province[Syria,Intercept]",-0.615939432062378,0.385668122206953,-1.36470498,-0.61891081,0.1527328505,1.0008150999044,4087.70875876614,6568.73869903478
"r_province[Thracia,Intercept]",-1.00697720583004,0.369335498666907,-1.699128715,-1.0181989,-0.26076936975,1.000406138784,7938.46443101244,8057.44027485297
"r_province[Transpadana./.Regio.XI,Intercept]",1.28033156485258,0.373513005295664,0.571292306,1.2713818,2.03598227,1.00001864999764,7198.14313774552,8243.50123319048
"r_province[Umbria./.Regio.VI,Intercept]",0.442911750792628,0.270146518915447,-0.077565805675,0.437487725,0.9824390525,1.00030526054392,3696.83105029744,5633.078088612
"r_province[Venetia.et.Histria./.Regio.X,Intercept]",1.25147598179417,0.278887384412401,0.725484336,1.24526285,1.81057549,1.00049822084353,5301.45290605196,7525.20343746399
"lprior",-6.91336058458333,0.187865619193177,-7.353370555,-6.8876825,-6.616677115,1.00062930988704,2671.64718596903,5149.58810122126
"lp__",-4864.17727848333,7.73016676947932,-4880.2490975,-4863.7254,-4850.092275,1.00130793992767,2386.04879111615,4050.3580055564
"z_1[1,1]",-0.0747241570549778,0.313099602834273,-0.67560274775,-0.0786798085,0.549155834,1.00037629163343,3779.54363687299,6230.73922364904
"z_1[1,2]",-0.347653315097234,0.373995771425492,-1.0751126675,-0.354951395,0.4073978855,1.00011778267905,5489.54996912049,7119.01436285717
"z_1[1,3]",0.311065262546769,0.305824226678331,-0.25596552625,0.298838715,0.9384149245,1.0001966578132,6298.76002701415,7518.03328480016
"z_1[1,4]",-0.309966356836747,0.200883826998271,-0.7085649695,-0.30838408,0.0852452962249999,1.0003699512745,3333.52923848183,5887.25716325755
"z_1[1,5]",0.615636979564275,0.671543157688154,-0.619987539,0.58894898,2.0199804925,1.00000684277116,12749.3201711888,8484.69947752351
"z_1[1,6]",1.00815228815195,0.620343000512671,-0.122445669,0.980232775,2.2970355525,1.00069140313351,16150.2582680272,7647.79581497489
"z_1[1,7]",0.396258516471853,0.697466267322474,-0.8636003775,0.36341163,1.8838232575,1.00049399056352,18717.3580676059,7608.72433497146
"z_1[1,8]",0.198128539364969,0.251365831020159,-0.2808239435,0.193803015,0.700138758,1.00000149533544,3763.37228245007,6300.13706991713
"z_1[1,9]",0.35168747518476,0.338440273842338,-0.286957966,0.341801415,1.0470453025,1.00045238089295,4783.36789092282,6725.20356907489
"z_1[1,10]",-0.888469140763543,0.404408758666584,-1.6588550125,-0.893297975,-0.0706196265500001,1.00071403476582,9698.93425935443,7187.6443133642
"z_1[1,11]",-1.3292141824175,0.298127533038168,-1.9452453,-1.3190663,-0.76693726525,1.00038035066621,4004.4440675322,6311.48844085076
"z_1[1,12]",-0.853476871871342,0.281518985523177,-1.4110876275,-0.84988504,-0.31518751825,1.00026997216455,3201.83780066028,6263.53714769198
"z_1[1,13]",0.0935564245882688,0.338870905236527,-0.5548145175,0.0857730245,0.78661814075,1.00039972299054,6441.15358909669,7536.22271558923
"z_1[1,14]",0.112421741446739,0.787053779050983,-1.354100215,0.0899681585,1.7001175075,1.00045807531107,11488.4601011236,8002.67748842117
"z_1[1,15]",0.842268787607373,0.48028543551414,-0.019468212025,0.813988755,1.859477365,1.00004569844927,9144.0016245033,6960.64394197215
"z_1[1,16]",0.386651142188186,0.275713676535548,-0.138380822,0.37713409,0.952925662,1.00060897831127,4548.75728308531,7026.55939540902
"z_1[1,17]",-0.269791823581649,0.290138888435694,-0.81958966,-0.274990265,0.31050113475,1.00070683313016,5522.6468717981,6947.16898337285
"z_1[1,18]",-1.95798284902983,0.609372682598772,-3.131729565,-1.9663033,-0.7439887975,1.00001930805214,10360.183555942,7680.16815758975
"z_1[1,19]",-2.119360034265,0.44104611081259,-3.0000795775,-2.11739795,-1.26159402,1.00021847562385,7988.19307917545,7304.73161585454
"z_1[1,20]",0.372565373209822,0.722705183352426,-0.964735468,0.337115095,1.851104395,1.00077337497337,14812.3190664524,8503.52211802225
"z_1[1,21]",-0.909448677977093,0.499711801536158,-1.8557975025,-0.91679028,0.107354552,1.00089044816579,8898.94884293532,7402.400075993
"z_1[1,22]",-1.29621140678759,0.670094248219778,-2.53599494,-1.32065185,0.0903275395249998,1.00104749967957,17055.300091395,8582.34599723754
"z_1[1,23]",1.91079171117917,0.371826491863778,1.2302135275,1.8930863,2.688741465,1.00124981862012,4964.29481309774,7111.15493735713
"z_1[1,24]",0.274563822277232,0.293852503261022,-0.299452182,0.276256915,0.846587551,1.00035779410678,2770.7533830222,5552.39149185966
"z_1[1,25]",0.21133543808342,0.225890648954367,-0.22006235775,0.206910555,0.66992249725,1.00009727891638,3614.50986819128,5862.77593041809
"z_1[1,26]",-0.809725483404813,0.474829634916382,-1.702348345,-0.82385737,0.161494901499999,1.0001761428373,10396.6775881064,7658.04163452131
"z_1[1,27]",-0.531156230613183,0.263521674864489,-1.043114115,-0.52929105,-0.007413540515,1.00012747547274,5104.45374373556,6555.6771917926
"z_1[1,28]",1.00349079774152,0.488212982668684,0.1315698425,0.975731515,2.0496297725,1.00012201593431,9860.6837217512,7560.48983833205
"z_1[1,29]",1.29558252628583,0.327573513752416,0.70083259325,1.27978665,1.9802910225,1.00062117715557,5254.60272448119,6915.46309568815
"z_1[1,30]",0.0990141814976088,0.24847607432878,-0.385698467,0.10000594,0.5896049585,1.00093369938425,3050.99986247148,5911.16180258391
"z_1[1,31]",1.41803917466333,0.245034144572039,0.95799373925,1.41096675,1.9191993325,1.00126867549964,2755.06111021795,5466.82992270137
"z_1[1,32]",-0.0988913771193015,0.31296589839225,-0.69844743275,-0.10881555,0.53610370175,1.00015863118212,6239.76836449593,6169.51092620044
"z_1[1,33]",-0.159486798156594,0.355281644298565,-0.85078728875,-0.16588947,0.5438786275,1.00083285232527,4231.37361453215,6957.65445675434
"z_1[1,34]",-0.300762264698416,0.313401085241445,-0.89223735375,-0.30736322,0.33122626625,1.00007378889763,6145.19601382136,8006.89846687391
"z_1[1,35]",-2.29083230419,0.432968187738115,-3.1692132825,-2.28003475,-1.455618645,1.00094442230779,7000.11211065543,7311.66736287488
"z_1[1,36]",-0.079266507767265,0.275942147116778,-0.61430572125,-0.0827238155,0.4685622805,1.00051203214812,5082.73845052883,7527.00953238259
"z_1[1,37]",-1.06638068094792,0.313905381544655,-1.6800726975,-1.0647732,-0.45998027525,1.00018263587113,5158.79812119658,6929.72912473839
"z_1[1,38]",-0.465425132032371,0.485214287634999,-1.3691766175,-0.485553175,0.530576735,1.00046724866287,10684.9731541367,8037.83036539156
"z_1[1,39]",0.781191476424671,0.360851936787719,0.11343849925,0.765851935,1.538326405,1.00011426143867,6051.60043312541,7121.55104356505
"z_1[1,40]",0.874727184323925,0.373100403054787,0.20363146975,0.85595036,1.666060015,1.00015659935169,7686.63558106246,7740.04826460129
"z_1[1,41]",0.688144428539523,0.38397487009868,-0.017506381175,0.67287127,1.483331315,1.00010605800913,6397.6545993619,7242.92030684492
"z_1[1,42]",0.567928254672915,0.325183880517815,-0.048017470125,0.55410139,1.2340024325,1.00034013447717,6358.87784191514,7481.95608000552
"z_1[1,43]",-0.438407868627298,0.504484782805069,-1.402328595,-0.44291334,0.569600352,1.00046963199727,4652.2372957646,7205.20426157301
"z_1[1,44]",0.780093097924617,0.429771773990623,-0.00577488128999999,0.751322,1.6786826775,1.00117025725421,9238.38873115132,7958.27788926553
"z_1[1,45]",1.47993209986583,0.338442116961435,0.85976833675,1.4626319,2.192459515,1.00057629506732,5138.82293248335,7858.24942742226
"z_1[1,46]",0.0932538956505654,0.301760733786085,-0.4877883265,0.084205417,0.703513669,1.00019382602684,5069.87895078332,6777.06392160665
"z_1[1,47]",-1.48236452201237,0.418809138652185,-2.2927677275,-1.4885092,-0.6700540455,1.00003113539597,9140.38811208873,8319.79607645858
"z_1[1,48]",-0.185357031994616,0.506657426252687,-1.1137395975,-0.20158046,0.88433696175,0.999983452245501,9954.97042864202,7418.92296357024
"z_1[1,49]",0.685663397683002,0.284952895614178,0.14564546325,0.679173695,1.263491165,1.00025740790999,3141.8883267051,5789.24340158386
"z_1[1,50]",0.856193136884159,0.42608742775115,0.0698201416,0.83829371,1.7477103225,0.999968049812344,6177.70453573127,6759.68156124436
"z_1[1,51]",-0.664244000033039,0.278348029412966,-1.20828413,-0.66317531,-0.12785420925,1.00007931202534,5390.3840112429,7335.56199377574
"z_1[1,52]",-0.573529336741375,0.362044761135592,-1.2884013125,-0.5783953,0.1409262495,1.00073774386124,4095.9376929945,6937.85568545533
"z_1[1,53]",-0.93765487790215,0.355015353869831,-1.63718219,-0.943366505,-0.23646560925,1.00011786296985,7647.95541859283,7906.03098192503
"z_1[1,54]",1.19192105533804,0.362632594711907,0.515630561,1.17699695,1.9490317125,1.00033951060828,5992.21230104437,8101.11719717705
"z_1[1,55]",0.41289634304429,0.254121823439175,-0.07306098585,0.4067614,0.92264143025,1.00029444988567,3557.37222966893,5633.078088612
"z_1[1,56]",1.166616377435,0.284383767372907,0.6454953335,1.15424745,1.7546811875,1.00108808961733,4173.01528501664,7573.6091320788
