"variable","mean","sd","2.5%","50%","97.5%","rhat","ess_bulk","ess_tail"
"b_Intercept",6.566359011168,2.10081299763641,2.33326608,6.5746216,10.699563125,1.00092007401795,2539.97154427894,4711.96736984966
"b_log_pop_within",0.586605198704167,0.0353116696898442,0.51765038025,0.586850575,0.6572366025,1.0003383953204,19027.2732221176,8633.59931856004
"b_log_pop_prov_mean",-0.37391177629617,0.261954018345588,-0.8834855275,-0.375431465,0.14814538325,1.00104774691104,2562.59186648654,4570.1634102055
"sd_province__Intercept",1.08516059955333,0.124195849131818,0.8667051485,1.07551475,1.35223047,1.0012816041473,2852.02601829208,4755.0369905161
"shape",0.687498337456667,0.027597881726839,0.6344232415,0.68702006,0.743265712,1.00071276132479,20261.9417472312,8842.09330062755
"Intercept",3.59052339306667,0.151381546897525,3.2947566225,3.5916728,3.8896558775,1.0005956158326,1853.47412537258,4139.7968328776
"r_province[Achaia,Intercept]",-0.0810523608018148,0.336185499870483,-0.73212451,-0.085120809,0.58846555975,1.00049294275138,3793.78791387592,6194.26326387496
"r_province[Aegyptus,Intercept]",-0.374387616305511,0.400697517097844,-1.1453452275,-0.38611131,0.434173031,1.00030070332226,5407.06098913672,7245.86732402036
"r_province[Aemilia./.Regio.VIII,Intercept]",0.333472122648462,0.325484192587713,-0.27872088325,0.32428828,1.0023744225,1.00016649382836,6377.4285328491,7393.2907695743
"r_province[Africa.proconsularis,Intercept]",-0.33209764975269,0.212014165901715,-0.74184399375,-0.33449114,0.0953361324999999,1.00044484921407,3180.50007123819,5866.82369231027
"r_province[Alpes.Cottiae,Intercept]",0.667280033776489,0.730363166909528,-0.672516539,0.636427165,2.2039690725,0.999894721923554,12738.819021318,8876.53261101098
"r_province[Alpes.Maritimae,Intercept]",1.09193629881684,0.679294819398771,-0.1321235945,1.05238045,2.5134447375,1.00045124065423,15093.1940815887,8048.78175496706
"r_province[Alpes.Poeninae,Intercept]",0.429914480982516,0.754607418833846,-0.922287364,0.390872835,2.040629715,1.0005784295344,18831.2526504328,7844.14975210951
"r_province[Apulia.et.Calabria./.Regio.II,Intercept]",0.213005483783883,0.270552988566131,-0.29941277375,0.2087515,0.75422202075,0.999949178045818,3769.30674768171,5799.83701770006
"r_province[Aquitani(c)a,Intercept]",0.376631660155162,0.360546692323552,-0.307544806,0.36852575,1.1044078075,1.00035986867487,4897.79535680824,7070.24373736443
"r_province[Arabia,Intercept]",-0.955428828267684,0.426847095245516,-1.74248558,-0.96763209,-0.0790780406500007,1.00034284239795,9679.8311671489,7206.03464409347
"r_province[Asia,Intercept]",-1.42565088287417,0.284475924621965,-1.98206616,-1.42332735,-0.873650448500001,1.00073269296722,4169.28293174996,7437.83241041648
"r_province[Baetica,Intercept]",-0.914627332443933,0.286267012120271,-1.46836942,-0.915059855,-0.3512262525,1.00005687852053,2965.98266258449,5956.05959394129
"r_province[Belgica,Intercept]",0.100289980827233,0.363092932621315,-0.58566900025,0.0919781055,0.83358042925,1.00055009074238,6478.10678313212,7831.76644151292
"r_province[Belgica.|.Germania.inferior,Intercept]",0.123441687347329,0.854757292695021,-1.4872803525,0.0973472165,1.8689727075,1.00064438034795,11383.2882122854,8135.13826877067
"r_province[Belgica.|.Germania.superior,Intercept]",0.908433263894582,0.518338181547796,-0.0214310447,0.874954035,2.00743007,0.999992726187588,9745.56789094234,6860.03905896265
"r_province[Britannia,Intercept]",0.4146315502158,0.29207155668248,-0.14941421325,0.40981625,1.005947465,1.00051555500256,4788.40725489639,7214.73889515749
"r_province[Bruttium.et.Lucania./.Regio.III,Intercept]",-0.28937667533885,0.309718603237478,-0.8744936185,-0.2977292,0.335844046,1.00058048974,5205.495738093,6991.08680365806
"r_province[Cappadocia,Intercept]",-2.1132259079095,0.659897621385071,-3.37014134,-2.1231232,-0.77174489975,0.999949505584224,9287.93189234924,7884.95138855825
"r_province[Cilicia,Intercept]",-2.2792793575125,0.443725453919293,-3.1121822425,-2.29829965,-1.3664962725,1.00026242474508,9156.24081714011,8047.70288711819
"r_province[Corsica,Intercept]",0.405208294638252,0.783015777547376,-1.021849525,0.36527136,2.02199743,1.00054001002087,14028.1417562644,8187.25030184759
"r_province[Creta.et.Cyrenaica,Intercept]",-0.979730328246487,0.533760632268754,-1.97666295,-0.988522435,0.1155936755,1.00061966706155,8715.60267202001,7426.47698627644
"r_province[Cyprus,Intercept]",-1.4042288941451,0.729492898729418,-2.7453002925,-1.4275163,0.0953618444749991,1.00090941121403,13683.9548201451,8412.12337250691
"r_province[Dacia,Intercept]",2.05135624041,0.351794662382452,1.39212819,2.0394717,2.772270105,1.00049577442997,7488.58797356336,8116.59373572351
"r_province[Dalmatia,Intercept]",0.294935417646342,0.316609691112147,-0.32901802975,0.2983589,0.91188303225,1.00031038504831,2751.75150694277,5533.28846323123
"r_province[Etruria./.Regio.VII,Intercept]",0.226491452161192,0.241356943479646,-0.2365030055,0.224265055,0.7129140265,1.00009465342897,3632.56759928481,5778.02032596632
"r_province[Galatia,Intercept]",-0.871396052140789,0.505264192923155,-1.80610981,-0.891284885,0.170471531499999,1.00001824443313,10202.67784636,7803.11214282079
"r_province[Gallia.Narbonensis,Intercept]",-0.569601053502413,0.276001782405238,-1.08942908,-0.5708464,-0.00753838459750011,1.0001154803726,5018.59540892843,7404.37021107778
"r_province[Germania.inferior,Intercept]",1.08023947370981,0.521217188212742,0.14286634825,1.05175305,2.168844075,1.00018725464907,10769.2297096101,7911.46978441486
"r_province[Germania.superior,Intercept]",1.39115710054417,0.327728027981017,0.7768513295,1.38082065,2.0538816825,1.00064961489046,6929.96824826655,7189.25603785945
"r_province[Hispania.citerior,Intercept]",0.106516523499118,0.267588381457336,-0.4193688825,0.108212695,0.6402138115,1.00102748146374,3006.39298390998,5985.72624885146
"r_province[Latium.et.Campania./.Regio.I,Intercept]",1.51982929149,0.205398614500258,1.1213819225,1.5195007,1.9231109475,1.00069750175172,3173.0957191163,6738.6455735989
"r_province[Liguria./.Regio.IX,Intercept]",-0.105749383474519,0.335506407554337,-0.735272267,-0.11641947,0.57472244525,1.0001402064844,6074.02058602359,6748.39729534682
"r_province[Lugudunensis,Intercept]",-0.171958947054149,0.381208673648854,-0.906678802,-0.17902629,0.5959054755,1.00074214912726,4192.41834096333,6579.49634406825
"r_province[Lusitania,Intercept]",-0.322594304762255,0.334408726864084,-0.94103344,-0.333576545,0.35996146875,1.00010627972414,5781.81006820178,8445.31532726479
"r_province[Lycia.et.Pamphylia,Intercept]",-2.46275665313583,0.423206294890565,-3.270849355,-2.4727975,-1.6036743275,1.00119394018542,8063.99390011995,8540.51679027312
"r_province[Macedonia,Intercept]",-0.085149365042685,0.296605878452758,-0.661638211,-0.0886093445,0.5051570355,1.00054651439253,5046.73930142724,7461.78291831311
"r_province[Mauretania.Caesariensis,Intercept]",-1.14448753871675,0.317575403947887,-1.7419149725,-1.14893125,-0.50402729175,0.999988002485108,5041.25373628349,7015.45833333597
"r_province[Mauretania.Tingitana,Intercept]",-0.500762081070247,0.517509043807027,-1.4554512775,-0.524317945,0.563696579499999,1.00036605212185,10601.8607319774,8253.28029844973
"r_province[Moesia.inferior,Intercept]",0.838871814883081,0.380846336435316,0.1255072195,0.826304955,1.6268362675,0.999989686912155,6480.03326301135,7462.07264658737
"r_province[Moesia.superior,Intercept]",0.940320074018142,0.393757444632975,0.21629568875,0.92223343,1.7573149125,1.00020397643877,8900.43079360102,7510.13504042397
"r_province[Noricum,Intercept]",0.740259391907059,0.40989356649683,-0.0183165357,0.724840115,1.58441342,1.00035102454755,6938.38986815749,7931.18574232812
"r_province[Numidia,Intercept]",0.609436632323669,0.343682580918118,-0.0507640367,0.600701225,1.311393625,1.00029271810998,7091.23453942977,7650.30344404585
"r_province[Palaestina,Intercept]",-0.472593150134621,0.544549693445907,-1.5211825825,-0.47821896,0.6117266475,1.00071687657294,4650.43230264471,7134.68206466814
"r_province[Pannonia.inferior,Intercept]",0.838078261839592,0.454397852565181,-0.00571462238499999,0.817049675,1.779689215,1.00118115514188,10607.3008511054,8546.65770684431
"r_province[Pannonia.superior,Intercept]",1.58872376657667,0.332059132271069,0.9695201105,1.5756688,2.276247205,1.00006365632606,7904.00542705075,8009.95539181018
