level,n,c_20pc_25y,a_50pc_50y,b_double_25y
empire,50000,0.678,1.000,0.683
province,100,0.009,0.003,0.091
province,250,0.022,0.017,0.166
province,500,0.018,0.071,0.267
province,1000,0.024,0.466,0.455
province,2500,0.065,1.000,0.725
province,5000,0.128,1.000,0.618
province,10000,0.288,1.000,0.636
province,25000,0.640,1.000,0.646
urban-area,25,0.018,0.009,0.053
urban-area,50,0.016,0.014,0.084
urban-area,100,0.011,0.006,0.098
urban-area,250,0.018,0.015,0.156
urban-area,500,0.025,0.069,0.257
urban-area,1000,0.028,0.480,0.484
urban-area,2500,0.075,1.000,0.726
