bin,count,share
0,8279,0.04527680705265979
1-25,17883,0.09779987202835064
26-50,35581,0.19458800238442903
51-100,67194,0.36747551311709403
101-200,45159,0.24696887663861133
201-500,8493,0.04644714606815311
>500,264,0.0014437827107020393
