year,not_before_obs,not_before_adj_mean,not_before_ratio,not_after_obs,not_after_adj_mean,not_after_ratio
-14,20,243.5,0.08213552361396304,14,20.5,0.6829268292682927
27,19,75.0,0.25333333333333335,17,12.0,1.4166666666666667
96,113,67.0,1.6865671641791045,559,261.0,2.1417624521072796
97,118,299.5,0.39398998330550916,500,321.0,1.557632398753894
192,33,304.5,0.10837438423645321,221,62.0,3.564516129032258
193,465,54.0,8.61111111111111,77,139.0,0.5539568345323741
235,121,79.5,1.5220125786163523,716,52.5,13.638095238095238
