Primary Key,Structure
Hanson2016_28,Temple of Serapis (B)
Hanson2016_28,Temple of Serapis (C)
Hanson2016_28,Temple of the Dioscuri
Hanson2016_28,Temple of the Dioscuri
Hanson2016_28,Theatre
Hanson2016_28,Theatre-sanctuary (Sanctuary of the Dea Syria)
Hanson2016_28,Urban grid
Hanson2016_29,Bouleuterion
Hanson2016_29,Dikasterion
Hanson2016_29,Gymnasium
Hanson2016_29,Hippodrome
Hanson2016_29,Prytaneum
Hanson2016_29,Sanctuary of Apollo
Hanson2016_29,Sanctuary of Athena
Hanson2016_29,Stadium
Hanson2016_29,Stoa
Hanson2016_29,Stoa
Hanson2016_29,Temple (Tholos)
Hanson2016_29,Theatre
Hanson2016_30,Acropolis
Hanson2016_30,Agora
Hanson2016_30,Aqueduct
Hanson2016_30,Harbour
Hanson2016_30,Hippodrome
Hanson2016_30,Stadium
Hanson2016_30,Stoa
Hanson2016_30,Temple
Hanson2016_30,Temple of Artemis Lolkia
Hanson2016_30,Theatre
Hanson2016_30,Urban grid
Hanson2016_30,Walls
Hanson2016_30,Walls
Hanson2016_31,Acropolis
Hanson2016_31,Bouleuterion
Hanson2016_31,Prytaneum
Hanson2016_31,Sanctuary of Zeus
Hanson2016_31,Stadium
Hanson2016_31,Temple of Aphrodite
Hanson2016_31,Temple of Dione
Hanson2016_31,Temple of Hercules
Hanson2016_31,Temple of Themis
Hanson2016_31,Theatre
Hanson2016_31,Walls
Hanson2016_32,Temple
Hanson2016_32,Temple
Hanson2016_32,Walls
Hanson2016_33,Agora
Hanson2016_33,Temple of Asclepius
Hanson2016_33,Temple of Athena Cranaea
Hanson2016_33,Theatre
Hanson2016_33,Walls
Hanson2016_34,Acropolis
Hanson2016_34,Arch
Hanson2016_34,Arch
Hanson2016_34,Bouleuterion
Hanson2016_34,Nymphaeum
Hanson2016_34,Sanctuary of Demeter
Hanson2016_34,Stadium
Hanson2016_34,Temple of Artemis of the Portals and Father Poseidon
Hanson2016_34,Temple of Faustina?
Hanson2016_34,Temple of Pluto
Hanson2016_34,Temple of Sabina?
Hanson2016_34,Theatre (Athenian)
Hanson2016_34,Theatre (Eleusinian)
Hanson2016_34,Theatre (Rectilinear)
Hanson2016_34,Walls
Hanson2016_34,Walls
Hanson2016_34,Walls
Hanson2016_34,Walls
Hanson2016_35,Acropolis
Hanson2016_35,Agora
Hanson2016_35,Baths
Hanson2016_35,Bouleuterion
Hanson2016_35,Gymnasium
Hanson2016_35,Gymnasium
Hanson2016_35,Gymnasium
Hanson2016_35,Palaestra
Hanson2016_35,Prytaneum
Hanson2016_35,Sanctuary of Aphrodite Pandemos
Hanson2016_35,Sanctuary of Artemis Philomeirax
