province,province_language,urban_context_pop_est,log_urban_context_pop_est,inscription_count,letter_count,mean_date_range,median_date_range,date_range_std,date_range_se,cv_date_range,avg_variance_date_range,delta_t
Africa proconsularis,Latin,1000.0,6.907755278982137,1,633,3.0,3.0,,,,0.0,0.0
Baetica,Latin,1000.0,6.907755278982137,14,470,83.14285714285714,99.0,43.113191168681226,11.522485014549511,51.85435363930731,2465.3333333333335,49.652123150307816
Thracia,Greek,3252.0,8.087025470667701,5,351,56.4,1.0,81.08514043892383,36.26237719731016,143.767979501638,2670.0833333333335,51.67284909247151
Latium et Campania / Regio I,,3590.0,8.185907481482324,41,2797,67.48780487804878,50.0,55.148038020957515,8.612676558508813,81.71556049364865,3300.0833333333335,57.446351784367764
Latium et Campania / Regio I,,3086.0,8.034631032923107,87,5662,83.74712643678161,69.0,77.97229955221644,8.359507972005861,93.10444772224581,21845.333333333332,147.8016689125442
Africa proconsularis,Latin,1000.0,6.907755278982137,1,77,199.0,199.0,,,,0.0,0.0
Raetia,Latin,1000.0,6.907755278982137,17,725,137.47058823529412,99.0,114.87717225751317,27.861806775882446,83.5649092159916,7450.083333333333,86.31386524384905
Dalmatia,Latin,1000.0,6.907755278982137,29,1367,181.75862068965517,149.0,77.08513622353524,14.314350439453488,42.41071808921499,5208.333333333333,72.16878364870321
Africa proconsularis,Latin,4837.0,8.484049972822984,2,303,0.5,0.5,0.7071067811865476,0.5,141.4213562373095,0.08333333333333333,0.28867513459481287
Hispania citerior,Latin,1000.0,6.907755278982137,3,230,13.666666666666666,2.0,21.962088546705512,12.679817734406825,160.69820887833302,126.75,11.258330249197702
Venetia et Histria / Regio X,Latin,1000.0,6.907755278982137,17,788,85.0,99.0,38.070657992737665,9.233490831813095,44.78900940322078,1875.0,43.30127018922193
Latium et Campania / Regio I,,1843.0,7.519149957669823,2,551,41.5,41.5,53.033008588991066,37.5,127.79038214214715,468.75,21.650635094610966
Apulia et Calabria / Regio II,Latin,1000.0,6.907755278982137,8,399,54.75,49.0,22.365470835962423,7.907388046269495,40.85017504285374,468.75,21.650635094610966
Africa proconsularis,Latin,1000.0,6.907755278982137,1,313,13.0,13.0,,,,0.0,0.0
Asia,Greek,1000.0,6.907755278982137,4,2545,12.25,5.0,18.445866745696716,9.222933372848358,150.57850404650378,126.75,11.258330249197702
Sicilia,Latin,5399.0,8.593969030218288,16,2128,116.1875,100.0,105.87175811644325,26.46793952911081,91.12147013787477,20916.75,144.62624243200125
Achaia,Greek,1000.0,6.907755278982137,1,1712,0.0,0.0,,,,0.0,0.0
Dalmatia,Latin,1000.0,6.907755278982137,2,13,299.0,299.0,0.0,0.0,0.0,0.0,0.0
Mauretania Caesariensis,Latin,1000.0,6.907755278982137,1,20,18.0,18.0,,,,0.0,0.0
Arabia,Greek,1000.0,6.907755278982137,4,483,0.5,0.5,0.5773502691896257,0.28867513459481287,115.47005383792515,0.08333333333333333,0.28867513459481287
Venetia et Histria / Regio X,Latin,1000.0,6.907755278982137,5,186,85.0,99.0,19.493588689617926,8.717797887081346,22.933633752491676,133.33333333333334,11.547005383792516
Apulia et Calabria / Regio II,Latin,1000.0,6.907755278982137,33,1711,73.21212121212122,79.0,49.163475756753094,8.558262618370357,67.1520985088101,3300.0833333333335,57.446351784367764
Apulia et Calabria / Regio II,Latin,2290.0,7.736307096548285,301,13933,100.65448504983388,99.0,55.50441623406144,3.1992213657580395,55.14351020382379,7450.083333333333,86.31386524384905
Cilicia,Greek,1000.0,6.907755278982137,2,169,52.5,52.5,65.76093065034893,46.5,125.25891552447415,720.75,26.846787517317598
Achaia,Greek,8209.0,9.012986392348266,1,25,99.0,99.0,,,,0.0,0.0
Palaestina,Greek,45062.0,10.715794598265331,36,999,115.36111111111111,59.0,129.90065495881905,21.650109159803176,112.60350538207284,9075.0,95.26279441628824
Lusitania,Latin,1000.0,6.907755278982137,2,66,0.5,0.5,0.7071067811865476,0.5,141.4213562373095,0.08333333333333333,0.28867513459481287
Dalmatia,Latin,1700.0,7.438383530044307,74,2438,185.1216216216216,149.0,150.96383969667852,17.54918990043933,81.54846439560706,29900.083333333332,172.9164056222929
Thracia,Greek,1000.0,6.907755278982137,1,216,1.0,1.0,,,,0.0,0.0
Samnium / Regio IV,Latin,1000.0,6.907755278982137,57,3160,65.73684210526316,49.0,37.66986590090919,4.989495627205536,57.30403940090268,3300.0833333333335,57.446351784367764
Dalmatia,Latin,1288.0,7.160845906664299,98,4452,175.77551020408163,149.0,142.85747569917044,14.430784258582262,81.27268442191283,29900.083333333332,172.9164056222929
Samnium / Regio IV,Latin,1559.0,7.351799869057777,221,9140,114.64253393665159,99.0,61.17318040467331,4.114953418045206,53.359933965238405,3300.0833333333335,57.446351784367764
Umbria / Regio VI,Latin,1000.0,6.907755278982137,8,329,41.5,35.0,35.60497557525192,12.588259836621013,85.79512186807692,784.0833333333334,28.00148805569685
Hispania citerior,Latin,1000.0,6.907755278982137,36,2289,101.72222222222223,99.0,62.90564867260042,10.484274778766737,61.840615844172994,7400.333333333333,86.02519010925424
Asia,Greek,1000.0,6.907755278982137,1,30,0.0,0.0,,,,0.0,0.0
Africa proconsularis,Latin,1000.0,6.907755278982137,16,1237,45.5625,4.0,73.31208972604723,18.32802243151181,160.90444933014481,5166.75,71.88010851410841
Lugudunensis,Latin,46036.0,10.737178978088382,1,30,19.0,19.0,,,,0.0,0.0
Aquitani(c)a,Latin,13391.0,9.502338118495565,2,56,49.5,49.5,70.0035713374682,49.49999999999999,141.42135623730948,816.75,28.578838324886476
Sicilia,Latin,53332.0,10.88429180523535,17,768,68.6470588235294,99.0,52.397448860214794,12.708248009621487,76.32876012199242,3300.0833333333335,57.446351784367764
Noricum,Latin,1000.0,6.907755278982137,42,2566,108.0952380952381,99.0,83.40579892216348,12.86979417995446,77.15954966367546,7450.083333333333,86.31386524384905
Sicilia,Latin,1000.0,6.907755278982137,2,4,199.0,199.0,0.0,0.0,0.0,0.0,0.0
Asia,Greek,11979.0,9.39091039573133,2,306,22.0,22.0,26.870057685088806,19.0,122.13662584131275,120.33333333333333,10.969655114602888
Samnium / Regio IV,Latin,4471.0,8.405367376233981,317,11639,79.19242902208202,99.0,38.83058227369366,2.1809427820684433,49.033200210169255,4294.083333333333,65.52925555302252
Gallia Narbonensis,Latin,1288.0,7.160845906664299,5,209,99.2,99.0,70.35765772110382,31.464901080410215,70.92505818659659,3300.0833333333335,57.446351784367764
