threshold_label,threshold_slug,n_inscriptions,total_spa_mass,n_minus_mass
== 0,eq0,8279,8262.0,17.0
<= 1,le1,11050,11029.5,20.5
<= 10,le10,18034,17989.03207070707,44.9679292929286
<= 25,le25,25977,25869.816416298178,107.1835837018225
<= 50,le50,61166,59874.33245879735,1291.6675412026525
<= 75,le75,72000,70502.03212426466,1497.9678757353395
<= 100,le100,127836,120319.34934116065,7516.650658839353
<= 200,le200,172301,152003.48949123127,20297.510508768726
all,all,180609,159485.24589721288,21123.75410278712
