,== 0,<= 1,<= 10,<= 25,<= 50,<= 75,<= 100,<= 200,all
== 0,1.0,0.9734195543933954,0.7929015099220005,0.7991502089196162,0.5461788580236093,0.5270598468820935,0.45676413825210793,0.4856223873714788,0.4836097748609728
<= 1,0.9734195543933956,0.9999999999999998,0.8921172444947182,0.8919340145011642,0.6187144599365365,0.5981570496443592,0.5090813760027368,0.5317024139985991,0.5288852618863652
<= 10,0.7929015099220004,0.8921172444947183,1.0,0.9769526447172211,0.663900815880192,0.6467744464094043,0.5256938383877635,0.5399601699667816,0.5385814296734375
<= 25,0.7991502089196162,0.891934014501164,0.9769526447172211,0.9999999999999999,0.7312396262247225,0.7234664266001222,0.6186001286791766,0.6282516607586129,0.6275023899055373
<= 50,0.5461788580236093,0.6187144599365364,0.663900815880192,0.7312396262247225,1.0,0.9814443735674458,0.9095226510713503,0.807124961494732,0.7917553826306214
<= 75,0.5270598468820935,0.5981570496443592,0.6467744464094044,0.7234664266001222,0.9814443735674458,0.9999999999999999,0.9366045946936106,0.8382968663735443,0.8246920021846449
<= 100,0.4567641382521078,0.5090813760027368,0.5256938383877634,0.6186001286791766,0.9095226510713503,0.9366045946936107,1.0,0.9637037404439406,0.9556978724665139
<= 200,0.4856223873714787,0.5317024139985991,0.5399601699667816,0.6282516607586129,0.807124961494732,0.8382968663735443,0.9637037404439406,1.0,0.9986777876248935
all,0.4836097748609728,0.5288852618863652,0.5385814296734375,0.6275023899055373,0.7917553826306214,0.824692002184645,0.9556978724665139,0.9986777876248936,1.0
