threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 100,le100,75.0,80.0,77.5,3048.3452304464763
<= 100,le100,80.0,85.0,82.5,1817.2488225250231
<= 100,le100,85.0,90.0,87.5,1700.68679205555
<= 100,le100,90.0,95.0,92.5,1679.326031939925
<= 100,le100,95.0,100.0,97.5,1779.2955447110792
<= 100,le100,100.0,105.0,102.5,1718.4641263157166
<= 100,le100,105.0,110.0,107.5,1729.1124237507224
<= 100,le100,110.0,115.0,112.5,1688.8625570698564
<= 100,le100,115.0,120.0,117.5,1751.623213713272
<= 100,le100,120.0,125.0,122.5,3166.8378271998654
<= 100,le100,125.0,130.0,127.5,2039.8203396892854
<= 100,le100,130.0,135.0,132.5,1774.1617164746133
<= 100,le100,135.0,140.0,137.5,1867.5587394914567
<= 100,le100,140.0,145.0,142.5,1656.1679207510658
<= 100,le100,145.0,150.0,147.5,1809.2961997607576
<= 100,le100,150.0,155.0,152.5,1628.1143923269487
<= 100,le100,155.0,160.0,157.5,1659.0825428957355
<= 100,le100,160.0,165.0,162.5,1861.761921206089
<= 100,le100,165.0,170.0,167.5,1689.027646225895
<= 100,le100,170.0,175.0,172.5,1673.936655663672
<= 100,le100,175.0,180.0,177.5,1761.3644234274334
<= 100,le100,180.0,185.0,182.5,1799.8290243875954
<= 100,le100,185.0,190.0,187.5,1747.3895363855722
<= 100,le100,190.0,195.0,192.5,1803.9796221511942
<= 100,le100,195.0,200.0,197.5,2120.436635347043
<= 100,le100,200.0,205.0,202.5,1728.5083788948436
<= 100,le100,205.0,210.0,207.5,1649.5080864851225
<= 100,le100,210.0,215.0,212.5,2313.784603001805
<= 100,le100,215.0,220.0,217.5,2080.8249260944194
<= 100,le100,220.0,225.0,222.5,1522.2410014631223
<= 100,le100,225.0,230.0,227.5,1404.2350003249433
<= 100,le100,230.0,235.0,232.5,1172.5192866511757
<= 100,le100,235.0,240.0,237.5,1310.0035567156388
<= 100,le100,240.0,245.0,242.5,1151.761072117644
<= 100,le100,245.0,250.0,247.5,1092.1719862070356
<= 100,le100,250.0,255.0,252.5,1018.9821018089531
<= 100,le100,255.0,260.0,257.5,863.8065809643917
<= 100,le100,260.0,265.0,262.5,678.8828624032676
<= 100,le100,265.0,270.0,267.5,689.5780509379456
<= 100,le100,270.0,275.0,272.5,722.7330160266184
<= 100,le100,275.0,280.0,277.5,701.6126506635796
<= 100,le100,280.0,285.0,282.5,715.6228556293238
<= 100,le100,285.0,290.0,287.5,650.7936203980884
<= 100,le100,290.0,295.0,292.5,896.0181680481745
<= 100,le100,295.0,300.0,297.5,1007.750445718008
<= 100,le100,300.0,305.0,302.5,1210.0970737857165
<= 100,le100,305.0,310.0,307.5,1379.6567471855892
<= 100,le100,310.0,315.0,312.5,1272.342598291434
<= 100,le100,315.0,320.0,317.5,1204.3733426789267
<= 100,le100,320.0,325.0,322.5,1214.4793013590909
<= 100,le100,325.0,330.0,327.5,1107.1677874260452
<= 100,le100,330.0,335.0,332.5,1068.9222761547048
<= 100,le100,335.0,340.0,337.5,1102.218170174107
<= 100,le100,340.0,345.0,342.5,1076.2646522459554
<= 100,le100,345.0,350.0,347.5,1081.0269435687624
<= 200,le200,-50.0,-45.0,-47.5,379.51417151498555
<= 200,le200,-45.0,-40.0,-42.5,440.20079938092744
<= 200,le200,-40.0,-35.0,-37.5,426.39649675810824
<= 200,le200,-35.0,-30.0,-32.5,380.6510787796909
<= 200,le200,-30.0,-25.0,-27.5,675.8244572103508
<= 200,le200,-25.0,-20.0,-22.5,768.37696684602
<= 200,le200,-20.0,-15.0,-17.5,773.2669436908582
<= 200,le200,-15.0,-10.0,-12.5,863.8444882570525
<= 200,le200,-10.0,-5.0,-7.5,1009.8644105549856
<= 200,le200,-5.0,0.0,-2.5,1015.5268720504764
<= 200,le200,0.0,5.0,2.5,2101.4848977428746
<= 200,le200,5.0,10.0,7.5,2472.5327848741767
<= 200,le200,10.0,15.0,12.5,2472.5408686825804
<= 200,le200,15.0,20.0,17.5,2433.69903711852
<= 200,le200,20.0,25.0,22.5,2385.6674707659813
<= 200,le200,25.0,30.0,27.5,2344.4175822729476
<= 200,le200,30.0,35.0,32.5,2281.5747819362446
<= 200,le200,35.0,40.0,37.5,2271.3607245133508
<= 200,le200,40.0,45.0,42.5,2450.7059786237623
<= 200,le200,45.0,50.0,47.5,2574.420709688193
<= 200,le200,50.0,55.0,52.5,2317.320162024418
<= 200,le200,55.0,60.0,57.5,2219.0492821653584
<= 200,le200,60.0,65.0,62.5,2206.541337887344
<= 200,le200,65.0,70.0,67.5,2291.5766315694227
<= 200,le200,70.0,75.0,72.5,2647.41098699366
<= 200,le200,75.0,80.0,77.5,3389.6268738098433
<= 200,le200,80.0,85.0,82.5,2161.0472086697287
<= 200,le200,85.0,90.0,87.5,2045.2958987433167
<= 200,le200,90.0,95.0,92.5,2024.7833127230813
<= 200,le200,95.0,100.0,97.5,2119.9051704412473
<= 200,le200,100.0,105.0,102.5,2213.2731791627216
<= 200,le200,105.0,110.0,107.5,2278.388584233021
<= 200,le200,110.0,115.0,112.5,2247.621525421634
<= 200,le200,115.0,120.0,117.5,2307.9041552700087
<= 200,le200,120.0,125.0,122.5,3726.0802371654754
<= 200,le200,125.0,130.0,127.5,2604.4024714114194
<= 200,le200,130.0,135.0,132.5,2342.1590057809017
<= 200,le200,135.0,140.0,137.5,2437.0226893114495
<= 200,le200,140.0,145.0,142.5,2226.7550260320863
<= 200,le200,145.0,150.0,147.5,2380.046998650207
<= 200,le200,150.0,155.0,152.5,2269.5729346395983
<= 200,le200,155.0,160.0,157.5,2317.9509051821437
<= 200,le200,160.0,165.0,162.5,2522.648310599308
<= 200,le200,165.0,170.0,167.5,2351.33680643989
<= 200,le200,170.0,175.0,172.5,2367.87835761105
<= 200,le200,175.0,180.0,177.5,2464.198040377429
<= 200,le200,180.0,185.0,182.5,2503.932283654817
<= 200,le200,185.0,190.0,187.5,2451.746753415837
<= 200,le200,190.0,195.0,192.5,2509.5541241040146
<= 200,le200,195.0,200.0,197.5,2828.4938671626633
<= 200,le200,200.0,205.0,202.5,2281.3348114221335
<= 200,le200,205.0,210.0,207.5,2163.368896638331
<= 200,le200,210.0,215.0,212.5,2827.469555438958
<= 200,le200,215.0,220.0,217.5,2594.3884854001976
<= 200,le200,220.0,225.0,222.5,2034.7463212269038
<= 200,le200,225.0,230.0,227.5,1916.3447892335912
<= 200,le200,230.0,235.0,232.5,1665.7960133130825
<= 200,le200,235.0,240.0,237.5,1798.2252556427325
<= 200,le200,240.0,245.0,242.5,1639.9042791369066
<= 200,le200,245.0,250.0,247.5,1580.2729928573144
<= 200,le200,250.0,255.0,252.5,1458.3954535316734
<= 200,le200,255.0,260.0,257.5,1290.999424187558
<= 200,le200,260.0,265.0,262.5,1102.5564081032346
<= 200,le200,265.0,270.0,267.5,1112.3941403347353
<= 200,le200,270.0,275.0,272.5,1126.067853122939
<= 200,le200,275.0,280.0,277.5,1087.6555716272946
<= 200,le200,280.0,285.0,282.5,1098.3953099229502
<= 200,le200,285.0,290.0,287.5,1033.5464285512655
<= 200,le200,290.0,295.0,292.5,1279.0508128083704
<= 200,le200,295.0,300.0,297.5,1390.950457525865
<= 200,le200,300.0,305.0,302.5,1649.8334964451637
<= 200,le200,305.0,310.0,307.5,1832.9810828239713
<= 200,le200,310.0,315.0,312.5,1725.3651168745334
<= 200,le200,315.0,320.0,317.5,1657.3876416669195
<= 200,le200,320.0,325.0,322.5,1667.4456791739053
<= 200,le200,325.0,330.0,327.5,1559.94310120792
<= 200,le200,330.0,335.0,332.5,1520.4220289238528
<= 200,le200,335.0,340.0,337.5,1553.2765395673498
<= 200,le200,340.0,345.0,342.5,1527.4085224791254
<= 200,le200,345.0,350.0,347.5,1532.168380127313
all,all,-50.0,-45.0,-47.5,380.33220465267794
all,all,-45.0,-40.0,-42.5,441.0188325186198
all,all,-40.0,-35.0,-37.5,427.2438554089971
all,all,-35.0,-30.0,-32.5,381.5070581202349
all,all,-30.0,-25.0,-27.5,677.3748560460007
all,all,-25.0,-20.0,-22.5,770.1241880182743
all,all,-20.0,-15.0,-17.5,775.0878861194963
all,all,-15.0,-10.0,-12.5,865.674202615515
all,all,-10.0,-5.0,-7.5,1011.7011275607904
all,all,-5.0,0.0,-2.5,1017.3915996456503
all,all,0.0,5.0,2.5,2176.400631028624
all,all,5.0,10.0,7.5,2565.741682060995
all,all,10.0,15.0,12.5,2565.80693771518
all,all,15.0,20.0,17.5,2527.1333332024738
all,all,20.0,25.0,22.5,2479.1553536611245
all,all,25.0,30.0,27.5,2437.9268614814546
all,all,30.0,35.0,32.5,2375.6540119948827
all,all,35.0,40.0,37.5,2365.5802531426657
all,all,40.0,45.0,42.5,2546.80901482383
all,all,45.0,50.0,47.5,2673.0124484321486
all,all,50.0,55.0,52.5,2422.8945074859867
all,all,55.0,60.0,57.5,2326.384145769709
all,all,60.0,65.0,62.5,2313.909039307672
all,all,65.0,70.0,67.5,2399.003699839939
all,all,70.0,75.0,72.5,2763.122012749009
all,all,75.0,80.0,77.5,3507.694358101313
all,all,80.0,85.0,82.5,2280.951260896746
all,all,85.0,90.0,87.5,2167.8315301159937
all,all,90.0,95.0,92.5,2147.4043521189874
all,all,95.0,100.0,97.5,2242.6144278985316
all,all,100.0,105.0,102.5,2338.2635400741265
all,all,105.0,110.0,107.5,2403.9797497051336
all,all,110.0,115.0,112.5,2373.277263220237
all,all,115.0,120.0,117.5,2433.613290306059
all,all,120.0,125.0,122.5,3852.4204188833482
all,all,125.0,130.0,127.5,2731.1274595040823
all,all,130.0,135.0,132.5,2468.968671253797
all,all,135.0,140.0,137.5,2564.046184401233
all,all,140.0,145.0,142.5,2354.1061287712955
all,all,145.0,150.0,147.5,2507.402356708565
all,all,150.0,155.0,152.5,2397.644398888953
all,all,155.0,160.0,157.5,2446.201395979249
all,all,160.0,165.0,162.5,2651.0114596861645
all,all,165.0,170.0,167.5,2479.7301022307656
all,all,170.0,175.0,172.5,2496.524361618398
all,all,175.0,180.0,177.5,2592.9198020940557
all,all,180.0,185.0,182.5,2633.1650820972786
all,all,185.0,190.0,187.5,2580.9978943268466
all,all,190.0,195.0,192.5,2638.8575346255857
all,all,195.0,200.0,197.5,2957.8116089669866
all,all,200.0,205.0,202.5,2410.6705824225273
all,all,205.0,210.0,207.5,2292.7210925410773
all,all,210.0,215.0,212.5,2956.8082878830774
all,all,215.0,220.0,217.5,2723.718001254454
all,all,220.0,225.0,222.5,2164.007466741823
all,all,225.0,230.0,227.5,2045.5745206070962
all,all,230.0,235.0,232.5,1794.6737215853686
all,all,235.0,240.0,237.5,1926.9952892304334
all,all,240.0,245.0,242.5,1768.7042374767334
all,all,245.0,250.0,247.5,1709.0911122180414
all,all,250.0,255.0,252.5,1585.1179819386912
all,all,255.0,260.0,257.5,1417.114800758251
all,all,260.0,265.0,262.5,1228.5009505577102
all,all,265.0,270.0,267.5,1238.3034369467237
all,all,270.0,275.0,272.5,1251.82341858568
all,all,275.0,280.0,277.5,1213.3734348908727
all,all,280.0,285.0,282.5,1224.1095368228916
all,all,285.0,290.0,287.5,1159.197163387715
all,all,290.0,295.0,292.5,1404.7205952638674
all,all,295.0,300.0,297.5,1516.6348541028729
all,all,300.0,305.0,302.5,1697.1012069895185
all,all,305.0,310.0,307.5,1860.6218796598346
all,all,310.0,315.0,312.5,1753.0067367777633
all,all,315.0,320.0,317.5,1685.021206321887
all,all,320.0,325.0,322.5,1695.0792438288724
all,all,325.0,330.0,327.5,1587.5740941726172
all,all,330.0,335.0,332.5,1547.4513582258917
all,all,335.0,340.0,337.5,1580.046430388983
all,all,340.0,345.0,342.5,1554.0952821480244
all,all,345.0,350.0,347.5,1558.8335976078886
