threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
== 0,eq0,240.0,245.0,242.5,146.0
== 0,eq0,245.0,250.0,247.5,97.0
== 0,eq0,250.0,255.0,252.5,148.0
== 0,eq0,255.0,260.0,257.5,57.0
== 0,eq0,260.0,265.0,262.5,37.0
== 0,eq0,265.0,270.0,267.5,39.0
== 0,eq0,270.0,275.0,272.5,42.0
== 0,eq0,275.0,280.0,277.5,42.0
== 0,eq0,280.0,285.0,282.5,55.0
== 0,eq0,285.0,290.0,287.5,32.0
== 0,eq0,290.0,295.0,292.5,22.0
== 0,eq0,295.0,300.0,297.5,35.0
== 0,eq0,300.0,305.0,302.5,36.0
== 0,eq0,305.0,310.0,307.5,37.0
== 0,eq0,310.0,315.0,312.5,34.0
== 0,eq0,315.0,320.0,317.5,28.0
== 0,eq0,320.0,325.0,322.5,41.0
== 0,eq0,325.0,330.0,327.5,29.0
== 0,eq0,330.0,335.0,332.5,34.0
== 0,eq0,335.0,340.0,337.5,53.0
== 0,eq0,340.0,345.0,342.5,62.0
== 0,eq0,345.0,350.0,347.5,80.0
<= 1,le1,-50.0,-45.0,-47.5,26.5
<= 1,le1,-45.0,-40.0,-42.5,80.5
<= 1,le1,-40.0,-35.0,-37.5,60.5
<= 1,le1,-35.0,-30.0,-32.5,17.5
<= 1,le1,-30.0,-25.0,-27.5,23.0
<= 1,le1,-25.0,-20.0,-22.5,19.5
<= 1,le1,-20.0,-15.0,-17.5,29.5
<= 1,le1,-15.0,-10.0,-12.5,64.5
<= 1,le1,-10.0,-5.0,-7.5,133.5
<= 1,le1,-5.0,0.0,-2.5,125.0
<= 1,le1,0.0,5.0,2.5,49.0
<= 1,le1,5.0,10.0,7.5,48.5
<= 1,le1,10.0,15.0,12.5,70.0
<= 1,le1,15.0,20.0,17.5,67.5
<= 1,le1,20.0,25.0,22.5,56.0
<= 1,le1,25.0,30.0,27.5,45.5
<= 1,le1,30.0,35.0,32.5,93.5
<= 1,le1,35.0,40.0,37.5,83.5
<= 1,le1,40.0,45.0,42.5,123.0
<= 1,le1,45.0,50.0,47.5,138.0
<= 1,le1,50.0,55.0,52.5,73.5
<= 1,le1,55.0,60.0,57.5,88.0
<= 1,le1,60.0,65.0,62.5,56.5
<= 1,le1,65.0,70.0,67.5,79.5
<= 1,le1,70.0,75.0,72.5,112.5
<= 1,le1,75.0,80.0,77.5,470.5
<= 1,le1,80.0,85.0,82.5,120.0
<= 1,le1,85.0,90.0,87.5,57.0
<= 1,le1,90.0,95.0,92.5,66.0
<= 1,le1,95.0,100.0,97.5,159.0
<= 1,le1,100.0,105.0,102.5,127.0
<= 1,le1,105.0,110.0,107.5,146.0
<= 1,le1,110.0,115.0,112.5,93.5
<= 1,le1,115.0,120.0,117.5,114.5
<= 1,le1,120.0,125.0,122.5,1467.5
<= 1,le1,125.0,130.0,127.5,257.0
<= 1,le1,130.0,135.0,132.5,145.0
<= 1,le1,135.0,140.0,137.5,252.5
<= 1,le1,140.0,145.0,142.5,155.5
<= 1,le1,145.0,150.0,147.5,320.0
<= 1,le1,150.0,155.0,152.5,127.0
<= 1,le1,155.0,160.0,157.5,132.5
<= 1,le1,160.0,165.0,162.5,308.5
<= 1,le1,165.0,170.0,167.5,161.0
<= 1,le1,170.0,175.0,172.5,76.0
<= 1,le1,175.0,180.0,177.5,103.0
<= 1,le1,180.0,185.0,182.5,114.5
<= 1,le1,185.0,190.0,187.5,97.5
<= 1,le1,190.0,195.0,192.5,154.0
<= 1,le1,195.0,200.0,197.5,332.5
<= 1,le1,200.0,205.0,202.5,263.0
<= 1,le1,205.0,210.0,207.5,159.0
