threshold_label,threshold_slug,spike_year,n_inscriptions,normalised_spike_mass,normalised_local_plateau,spike_to_plateau_ratio
== 0,eq0,77.5,8279,0.024328249818445898,0.007141128056160736,3.4067796610169494
== 0,eq0,122.5,8279,0.168240135560397,0.012164124909222949,13.830845771144277
<= 1,le1,77.5,11050,0.042658325400063465,0.006935944512443901,6.15032679738562
<= 1,le1,122.5,11050,0.13305226891518201,0.013667890656874744,9.734660033167497
<= 10,le10,77.5,18034,0.06421997928595938,0.0068456154387274565,9.38118418435397
<= 10,le10,122.5,18034,0.08367623891813877,0.01146594116072839,7.2978081559266545
<= 25,le25,77.5,25977,0.050976691966536876,0.010181184139776143,5.006951182365877
<= 25,le25,122.5,25977,0.06658225164740597,0.013434992304376302,4.955883125122262
<= 50,le50,77.5,61166,0.03149945198936801,0.014443356600991764,2.1808955396978202
<= 50,le50,122.5,61166,0.03474194287695307,0.012812022910962619,2.7116672455546498
<= 75,le75,77.5,72000,0.030288340016081352,0.014746264168629345,2.053967002741999
<= 75,le75,122.5,72000,0.03279752260773496,0.013019646416212116,2.5190793635451847
<= 100,le100,77.5,127836,0.025335453084964887,0.015334229033607653,1.6522156431495707
<= 100,le100,122.5,127836,0.026320270551168166,0.014558232567780698,1.8079303534014437
<= 200,le200,77.5,172301,0.02229966486397921,0.014538529779295081,1.5338321826555723
<= 200,le200,122.5,172301,0.024513123018668755,0.014887849367154659,1.6465187425088559
all,all,77.5,180609,0.021993848637020613,0.014547719317146168,1.5118416954263285
all,all,122.5,180609,0.024155340496927257,0.014977112729299986,1.6128168982578162
