category,count,share
__missing__,182806,0.9997429629265038
GR,36,0.0001968794605502781
"GR, GR",5,2.7344369520871958e-05
"GR, GR, GR",2,1.0937747808348784e-05
PA,2,1.0937747808348784e-05
HE,1,5.468873904174392e-06
IB,1,5.468873904174392e-06
