province,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Roma,65457,107.37271796752066,106.8937737751501,107.86484485998442,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,18512,75.30477528089888,74.55617302290406,76.0622069468453,,,79.0,79.0,79.0,,,0.0,0.0,0.0,0.0
Dalmatia,7088,171.38205417607224,168.7746578724605,173.93514037810382,,,150.0,150.0,150.0,,,0.0,0.0,0.0,0.0
Hispania citerior,6312,104.27550697084918,102.33791191381496,106.30990573510773,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
Germania superior,5874,86.10980592441267,84.01450459652708,88.13172880490296,,,57.0,50.0,60.0,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,5872,86.74625340599455,85.47491485013624,88.04182135558582,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
Dacia,4870,75.91724845995893,74.10430212725986,77.60987579569903,,,70.0,,,,,0.0,0.0,0.0,0.0
Britannia,4647,130.75704755756402,127.91661879872832,133.38925526648165,,,130.0,,,,,0.0,0.0,0.0,0.0
Pannonia superior,4460,129.57040358744393,126.61426076109527,132.64596677472178,,,100.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,4187,91.40721280152854,89.8511437565845,93.04360014583398,,,100.0,,,,,0.0,0.0,0.0,0.0
Africa proconsularis,3518,84.92353610005685,82.32080570554768,87.89690936841455,,,75.0,,,,,0.0,0.0,0.0,0.0
Germania inferior,3390,117.78230088495575,115.0571203880743,120.53298167627413,,,100.0,,,,,0.0,0.0,0.0,0.0
Pannonia inferior,3132,90.87452107279694,88.07274113889791,93.74064486882611,,,70.0,,,,,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,3132,82.83588761174968,81.04811025779782,84.6622103162899,,,81.0,,,,,0.0,0.0,0.0,0.0
Numidia,3014,77.60816191108162,75.80230814328536,79.31420130077667,,,100.0,,,,,0.0,0.0,0.0,0.0
Etruria / Regio VII,2801,87.35058907533023,84.88473430984126,89.86862879198512,,,84.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,2763,85.78248280854145,83.686840841817,88.09355588578858,,,100.0,,,,,0.0,0.0,0.0,0.0
Noricum,2761,133.29011227816008,129.4471170636925,137.1635603941532,,,100.0,,,,,0.0,0.0,0.0,0.0
Baetica,2593,72.70574623987659,70.93052099901716,74.69902152554117,,,60.0,,,,,0.0,0.0,0.0,0.0
