rank,group,count,pct_of_valid
1,Roma,65452,46.123
2,Pompeii,4511,3.179
3,Salona,3472,2.447
4,Mogontiacum,2971,2.094
5,Ostia,2647,1.865
6,Aquileia,2034,1.433
7,Puteoli,1780,1.254
8,Carnuntum (1),1648,1.161
9,Cirta,1020,0.719
10,Porolissum,967,0.681
11,Capua,929,0.655
12,Apulum (2),855,0.602
13,Sarmizegetusa,700,0.493
14,Mediolanum (Italia (XI Transpadana)),639,0.45
15,Aventicum,609,0.429
16,Segobriga,595,0.419
17,Misenum,593,0.418
18,Colonia Augusta Treverorum,587,0.414
19,Augusta Emerita,557,0.393
20,Herculaneum,528,0.372
