category,count,share
epitaph,102165,0.5587275024199767
__missing__,25318,0.13846094950588725
votive inscription,16903,0.09244037560225973
identification inscription,12202,0.06673119937873592
owner/artist inscription,10650,0.05824350707945727
honorific inscription,6657,0.03640629358008892
building/dedicatory inscription,3580,0.01957856857694432
mile-/leaguestone,2721,0.01488080589325852
boundary inscription,470,0.002570370734961964
military diploma,442,0.002417242265645081
acclamation,365,0.0019961389750236527
defixio,329,0.0017992595144733748
list,282,0.0015422224409771784
label,220,0.0012031522589183662
public legal inscription,158,0.0008640820768595538
elogium,135,0.0007382979770635429
letter,123,0.0006726714902134501
seat inscription,50,0.0002734436952087196
private legal inscription,37,0.00020234833445445248
prayer,20,0.00010937747808348783
