col_a,col_b,p_null_a,p_null_b,p_null_a_given_b,p_null_b_given_a,n_both_null
EDCS-ID,trismegistos_uri,0.012272153040967335,0.6875741716023254,0.015510041757804733,0.8689839572192514,1950
EDCS-ID,inscription,0.012272153040967335,0.012359655023434125,0.9929203539823008,1.0,2244
EDCS-ID,clean_text_interpretive_word_EDCS,0.012272153040967335,0.012359655023434125,0.9929203539823008,1.0,2244
EDCS-ID,province,0.012272153040967335,0.012272153040967335,1.0,1.0,2244
EDCS-ID,place,0.012272153040967335,0.012272153040967335,1.0,1.0,2244
EDCS-ID,inscr_type,0.012272153040967335,0.18913006622806297,0.06488737240840875,1.0,2244
EDCS-ID,status_notation,0.012272153040967335,0.39467769191645746,0.031094113734619223,1.0,2244
EDCS-ID,inscr_process,0.012272153040967335,0.9386829857863968,0.01307379938359716,1.0,2244
EDCS-ID,status,0.012272153040967335,0.13822031905410356,0.08878689562396139,1.0,2244
EDCS-ID,partner_link,0.012272153040967335,0.11631747906788513,0.10550566552259157,1.0,2244
EDCS-ID,letter_size,0.012272153040967335,0.8511481900761814,0.009490153243165099,0.6581996434937611,1477
EDCS-ID,depth_cm,0.012272153040967335,0.8398877787074863,0.007507683492212325,0.5138146167557932,1153
EDCS-ID,language_EDCS,0.012272153040967335,0.9997429629265038,0.01227530825027625,1.0,2244
EDCS-ID,raw_dating,0.012272153040967335,0.035203141321170556,0.348609600745689,1.0,2244
EDH-ID,trismegistos_uri,0.6630189277725823,0.6875741716023254,0.9642871346192086,1.0,121235
EDH-ID,pleiades_id,0.6630189277725823,0.6640033250753338,0.9985174813655644,1.0,121235
EDH-ID,transcription,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,clean_text_interpretive_sentence,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,diplomatic_text,0.6630189277725823,0.6640798893099922,0.9984023585799109,1.0,121235
EDH-ID,inscr_process,0.6630189277725823,0.9386829857863968,0.6639963645049842,0.9400668123891616,113969
EDH-ID,last_update,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,letter_size,0.6630189277725823,0.8511481900761814,0.7789700260224243,1.0,121235
EDH-ID,type_of_inscription,0.6630189277725823,0.718232678709127,0.9231255377633613,1.0,121235
EDH-ID,work_status,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,year_of_find,0.6630189277725823,0.85254822179565,0.7776908224336235,1.0,121235
EDH-ID,present_location,0.6630189277725823,0.7975422880674641,0.8313276144631188,1.0,121235
EDH-ID,text_edition,0.6630189277725823,0.6640033250753338,0.9985174813655644,1.0,121235
EDH-ID,support_objecttype,0.6630189277725823,0.7480489792346858,0.8863309036941726,1.0,121235
EDH-ID,support_material,0.6630189277725823,0.8459363532455032,0.783769281493645,1.0,121235
EDH-ID,support_decoration,0.6630189277725823,0.6640033250753338,0.9985174813655644,1.0,121235
EDH-ID,keywords_term,0.6630189277725823,0.716225601986295,0.9257124095171192,1.0,121235
EDH-ID,type_of_inscription_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,height_cm,0.6630189277725823,0.7890983467594188,0.8402234404563065,1.0,121235
EDH-ID,width_cm,0.6630189277725823,0.7913296473123219,0.8378542747949163,1.0,121235
EDH-ID,depth_cm,0.6630189277725823,0.8398877787074863,0.7894137104755952,1.0,121235
EDH-ID,material_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,type_of_monument_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,province_label_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,country_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,findspot_ancient_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,modern_region_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,findspot_modern_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,findspot_clean,0.6630189277725823,0.6639978562014296,0.9985257054375937,1.0,121235
EDH-ID,language_EDCS,0.6630189277725823,0.9997429629265038,0.6631893920330842,1.0,121235
trismegistos_uri,EDH-ID,0.6875741716023254,0.6630189277725823,1.0,0.9642871346192086,121235
