col1,col2,n,pearson,pearson_p,spearman,spearman_p
date_range,Latitude,182853,0.12952381955841646,0.0,0.12647622262938665,0.0
date_range,Longitude,182853,-0.04838278770315477,3.3857182723678755e-95,-0.039921674819978895,2.1743765565255603e-65
date_range,letter_count,182853,-0.09456529663541414,0.0,-0.25326598332323974,0.0
date_range,urban_context_pop_est,141909,0.0706763975780702,1.4659490638511653e-156,0.0828417816395034,1.600492807093105e-214
Latitude,Longitude,182853,-0.1485862735848977,0.0,-0.05339468171926302,1.51555166457581e-115
Latitude,letter_count,182853,-0.0384091870313157,1.162302511307236e-60,-0.09855534350085125,0.0
Latitude,urban_context_pop_est,141909,-0.18533430138779075,0.0,-0.13392760192367,0.0
Longitude,letter_count,182853,0.024843700893474964,2.278651885385801e-26,0.067694190070836,1.1766594486475678e-184
Longitude,urban_context_pop_est,141909,0.002948853432776475,0.2666330785092886,-0.22762056827422997,0.0
letter_count,urban_context_pop_est,141909,-0.021204506469574683,1.3632784107444668e-15,-0.08611607865935313,1.0413789528885045e-231
