category,count,share
__missing__,121414,0.6639978562014296
NULL,28853,0.15779341875714373
Limestone,9521,0.05206914844164438
Sandstone,6428,0.03515392145603299
Marble,4722,0.025824022575511477
Rock,3908,0.02137235921751352
Clay,3901,0.0213340771001843
Metal,2320,0.012687787457684589
Other,448,0.0024500555090701272
Wood,432,0.002362553526603337
Tuff,206,0.0011265880242599246
Granit,150,0.0008203310856261587
Travertine,96,0.0005250118948007416
Glass,83,0.0004539165340464745
Plaster,74,0.00040469666890890495
Slate,73,0.00039922779500473055
Bone,46,0.00025156819959202203
Basalt,39,0.00021328608226280126
Leather,36,0.0001968794605502781
Steatit,27,0.00014765959541270858
