group,count,pct_of_valid,date_range_min,date_range_max,date_range_mean,date_range_median,lat_null_rate,lon_null_rate,not_before_null_rate,not_after_null_rate
Roma,65457,36.2424,0.0,599.0,106.37271796752066,99.0,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,18512,10.2498,0.0,512.0,74.30477528089888,78.0,0.0,0.0,0.0,0.0
Dalmatia,7088,3.9245,0.0,599.0,170.38205417607224,149.0,0.0,0.0,0.0,0.0
Hispania citerior,6312,3.4948,0.0,1908.0,103.27550697084918,99.0,0.0,0.0,0.0,0.0
Germania superior,5874,3.2523,0.0,499.0,85.10980592441267,56.0,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,5872,3.2512,0.0,427.0,85.74625340599455,99.0,0.0,0.0,0.0,0.0
Dacia,4870,2.6964,0.0,499.0,74.91724845995893,69.0,0.0,0.0,0.0,0.0
Britannia,4647,2.573,0.0,399.0,129.75704755756402,129.0,0.0,0.0,0.0,0.0
Pannonia superior,4460,2.4694,0.0,599.0,128.57040358744393,99.0,0.0,0.0,0.0,0.0
Samnium / Regio IV,4187,2.3183,0.0,300.0,90.40721280152854,99.0,0.0,0.0,0.0,0.0
Africa proconsularis,3518,1.9479,0.0,2059.0,83.92353610005685,74.0,0.0,0.0,0.0,0.0
Germania inferior,3390,1.877,0.0,599.0,116.78230088495575,99.0,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,3132,1.7341,0.0,801.0,81.83588761174968,80.0,0.0,0.0,0.0,0.0
Pannonia inferior,3132,1.7341,0.0,599.0,89.87452107279694,69.0,0.0,0.0,0.0,0.0
Numidia,3014,1.6688,0.0,499.0,76.60816191108162,99.0,0.0,0.0,0.0,0.0
Etruria / Regio VII,2801,1.5509,0.0,399.0,86.35058907533023,83.0,0.0,0.0,0.0,0.0
Umbria / Regio VI,2763,1.5298,0.0,569.0,84.78248280854145,99.0,0.0,0.0,0.0,0.0
Noricum,2761,1.5287,0.0,599.0,132.29011227816008,99.0,0.0,0.0,0.0,0.0
Baetica,2593,1.4357,0.0,401.0,71.70574623987659,59.0,0.0,0.0,0.0,0.0
Transpadana / Regio XI,2434,1.3477,0.0,499.0,118.52095316351685,99.0,0.0,0.0,0.0,0.0
Moesia inferior,1952,1.0808,0.0,599.0,85.27407786885246,69.0,0.0,0.0,0.0,0.0
Lusitania,1685,0.933,0.0,449.0,84.58516320474777,99.0,0.0,0.0,0.0,0.0
Moesia superior,1380,0.7641,0.0,599.0,114.17246376811595,99.0,0.0,0.0,0.0,0.0
Sardinia,1340,0.7419,0.0,627.0,90.25597014925373,79.0,0.0,0.0,0.0,0.0
Belgica,1246,0.6899,0.0,399.0,138.9895666131621,124.0,0.0,0.0,0.0,0.0
Gallia Narbonensis,1192,0.66,0.0,669.0,63.986577181208055,49.0,0.0,0.0,0.0,0.0
Aemilia / Regio VIII,1172,0.6489,0.0,299.0,84.53754266211604,99.0,0.0,0.0,0.0,0.0
Picenum / Regio V,1081,0.5985,0.0,503.0,86.72802960222016,80.0,0.0,0.0,0.0,0.0
Raetia,1034,0.5725,0.0,599.0,114.54932301740813,99.0,0.0,0.0,0.0,0.0
Macedonia,996,0.5515,0.0,400.0,159.46987951807228,149.0,0.0,0.0,0.0,0.0
Aquitani(c)a,919,0.5088,0.0,499.0,132.80413492927096,99.0,0.0,0.0,0.0,0.0
Bruttium et Lucania / Regio III,909,0.5033,0.0,369.0,86.54235423542355,99.0,0.0,0.0,0.0,0.0
Liguria / Regio IX,852,0.4717,0.0,299.0,91.53403755868544,99.0,0.0,0.0,0.0,0.0
Lugudunensis,746,0.413,0.0,299.0,95.0911528150134,99.0,0.0,0.0,0.0,0.0
Mauretania Caesariensis,723,0.4003,0.0,299.0,39.27524204702628,2.0,0.0,0.0,0.0,0.0
Asia,713,0.3948,0.0,800.0,37.330995792426364,10.0,0.0,0.0,0.0,0.0
Belgica | Germania superior,703,0.3892,0.0,400.0,181.45092460881935,199.0,0.0,0.0,0.0,0.0
Sicilia,672,0.3721,0.0,571.0,104.18303571428571,99.0,0.0,0.0,0.0,0.0
Syria,575,0.3184,0.0,299.0,31.855652173913043,21.0,0.0,0.0,0.0,0.0
Achaia,564,0.3123,0.0,401.0,95.66666666666667,59.0,0.0,0.0,0.0,0.0
Alpes Cottiae,468,0.2591,0.0,431.0,228.40811965811966,199.0,0.0,0.0,0.0,0.0
Alpes Maritimae,400,0.2215,0.0,399.0,156.75,99.0,0.0,0.0,0.0,0.0
Galatia,348,0.1927,0.0,299.0,27.60632183908046,2.0,0.0,0.0,0.0,0.0
Thracia,278,0.1539,0.0,599.0,70.90287769784173,20.0,0.0,0.0,0.0,0.0
Aegyptus,277,0.1534,0.0,670.0,36.74007220216607,4.0,0.0,0.0,0.0,0.0
Alpes Poeninae,210,0.1163,0.0,499.0,200.3,220.0,0.0,0.0,0.0,0.0
Arabia,176,0.0974,0.0,252.0,19.380681818181817,1.0,0.0,0.0,0.0,0.0
Palaestina,170,0.0941,0.0,330.0,50.82941176470588,12.0,0.0,0.0,0.0,0.0
Pontus et Bithynia,169,0.0936,0.0,299.0,40.75739644970414,5.0,0.0,0.0,0.0,0.0
Mauretania Tingitana,165,0.0914,0.0,199.0,17.09090909090909,3.0,0.0,0.0,0.0,0.0
Cappadocia,140,0.0775,0.0,299.0,21.464285714285715,2.0,0.0,0.0,0.0,0.0
Corsica,140,0.0775,0.0,499.0,165.95,149.0,0.0,0.0,0.0,0.0
