year,not_before_count,not_after_count,mid_count,expected_aoristic,z_mid,mc_ratio,mc_ratio_ci_lo,mc_ratio_ci_hi,mc_raw_p,mc_wy_p,mc_holm_p
94,15,18,30,436.6149342060286,-19.459605523101065,0.06871043028922984,0.04591289507225156,0.0940627314150333,9.999000099990002e-05,0.0,0.0006999300069993001
95,16,22,84,436.4127480588424,-16.869526619570234,0.19247833701840927,0.15305373668670655,0.23229123800992965,9.999000099990002e-05,0.0,0.0006999300069993001
96,113,559,49,457.0251013865926,-19.086085039890282,0.10721511761900235,0.08072909694164991,0.13773759230971336,9.999000099990002e-05,0.0,0.0006999300069993001
97,118,500,86,469.8873418674534,-17.70952525946186,0.18302259358214212,0.15007992051541805,0.21936901547014712,9.999000099990002e-05,0.0,0.0006999300069993001
98,486,83,75,479.75240862933185,-18.479101884563917,0.15633063774349237,0.12265708744525909,0.18708645775914187,9.999000099990002e-05,0.0,0.0006999300069993001
99,26,35,110,448.3633944357349,-15.979688123278944,0.2453367098320659,0.20440416000783443,0.28957415744662285,9.999000099990002e-05,0.0,0.0006999300069993001
100,73,15362,8845,448.6878938380688,396.38425726469364,19.713034653866,19.133353662490844,20.291663551330565,9.999000099990002e-05,0.0,0.0006999300069993001
