year,not_before_count,not_after_count,mid_count,expected_aoristic,z_mid,mc_ratio,mc_ratio_ci_lo,mc_ratio_ci_hi,mc_raw_p,mc_wy_p,mc_holm_p
96,113,559,49,457.0251013865926,-19.086085039890282,0.10721511761900235,0.0793440941721201,0.13651602976024152,9.999000099990002e-05,1.0,0.009699030096990302
97,118,500,86,469.8873418674534,-17.70952525946186,0.18302259358214212,0.14863529615104198,0.2158968038856983,9.999000099990002e-05,1.0,0.009699030096990302
98,486,83,75,479.75240862933185,-18.479101884563917,0.15633063774349237,0.12339071854948998,0.18957426473498343,9.999000099990002e-05,1.0,0.009699030096990302
99,26,35,110,448.3633944357349,-15.979688123278944,0.2453367098320659,0.20393006429076194,0.289443639665842,9.999000099990002e-05,1.0,0.009699030096990302
100,73,15362,8845,448.6878938380688,396.38425726469364,19.713034653866,19.17139573097229,20.272323751449584,9.999000099990002e-05,1.0,0.009699030096990302
101,24407,169,94,497.3107963081702,-18.085307779809067,0.18901660832183242,0.1528231281787157,0.22559217512607574,9.999000099990002e-05,1.0,0.009699030096990302
102,102,63,46,483.25129706747543,-19.89044924820034,0.09518857016865308,0.06924590058624744,0.12190848309546709,9.999000099990002e-05,1.0,0.009699030096990302
103,57,22,56,474.99706287741265,-19.22496317199037,0.11789546583881191,0.08759914357215166,0.14721994660794732,9.999000099990002e-05,1.0,0.009699030096990302
104,50,40,39,470.34887049273175,-19.889259421869536,0.08291717583831779,0.05974392555654049,0.10890105012804269,9.999000099990002e-05,1.0,0.009699030096990302
105,52,61,110,479.4696104060179,-16.873228179990722,0.22942017098195505,0.19049481451511383,0.26886812001466753,9.999000099990002e-05,1.0,0.009699030096990302
106,122,22,43,467.03822143900703,-19.621345830295674,0.09206955239661385,0.06655756719410419,0.11975429151207208,9.999000099990002e-05,1.0,0.009699030096990302
107,883,50,262,500.3620881152897,-10.656018926172976,0.523620806258271,0.46575864478945733,0.5828296050429344,9.999000099990002e-05,1.0,0.009699030096990302
108,88,17,72,488.61025105893935,-18.84727922847828,0.14735671190679725,0.1150520546361804,0.17874679081141948,9.999000099990002e-05,1.0,0.009699030096990302
109,44,60,136,501.5082035546606,-16.32142629154124,0.2711820046731838,0.2285350251942873,0.315509133785963,9.999000099990002e-05,1.0,0.009699030096990302
110,57,75,883,478.22857414105545,18.509389128540754,1.8463974085738248,1.7252154707908631,1.967300686240196,9.999000099990002e-05,1.0,0.009699030096990302
111,39,29,49,474.81961703537127,-19.54165484705104,0.10319708420208297,0.07648231033235789,0.13089652098715301,9.999000099990002e-05,1.0,0.009699030096990302
112,47,34,80,488.4527960053024,-18.481217295393222,0.16378245892798934,0.12999258413910866,0.19992115944623945,9.999000099990002e-05,1.0,0.009699030096990302
113,21,18,114,473.7488242112113,-16.528190532187452,0.24063384260596163,0.19707403779029847,0.2853339590132236,9.999000099990002e-05,1.0,0.009699030096990302
114,76,103,80,490.82709529692687,-18.543632606618583,0.16299018690401318,0.1294810723513365,0.19779610633850092,9.999000099990002e-05,1.0,0.009699030096990302
115,57,85,686,488.956512531969,8.911010757974537,1.402987755388876,1.3042211294174195,1.507304960489273,9.999000099990002e-05,1.0,0.009699030096990302
116,46,59,59,486.5568360379299,-19.383270888943425,0.1212602426479948,0.09158483631908894,0.15050988830626008,9.999000099990002e-05,1.0,0.009699030096990302
117,1044,813,32,511.99175189144717,-21.213009784354984,0.06250100686540877,0.042438380885869265,0.08408981245011089,9.999000099990002e-05,1.0,0.009699030096990302
118,56,30,108,486.7723643044843,-17.167826984699804,0.2218696210379852,0.1835753232240677,0.26231941059231756,9.999000099990002e-05,1.0,0.009699030096990302
119,63,34,47,492.7274465857496,-20.080105959281088,0.0953874202171536,0.06971302721649408,0.12267749365419149,9.999000099990002e-05,1.0,0.009699030096990302
120,111,230,192,498.11498222894244,-13.715757043759691,0.38545317215885994,0.3326198309659958,0.4384651683270931,9.999000099990002e-05,1.0,0.009699030096990302
121,250,56,83,523.0457316978748,-19.241015153754432,0.15868593312208315,0.12678890861570835,0.1892545539885759,9.999000099990002e-05,1.0,0.009699030096990302
122,903,57,49,531.0850076382351,-20.919032987539236,0.09226394888815588,0.07009108401834965,0.11689084898680448,9.999000099990002e-05,1.0,0.009699030096990302
123,1333,1328,1346,1810.3466173038894,-10.913433807649152,0.7435040268722511,0.7311613276600838,0.7550252452492714,9.999000099990002e-05,1.0,0.009699030096990302
124,45,35,93,523.8877590874854,-18.825435468155273,0.1775189406257337,0.1429167278110981,0.21174129322171212,9.999000099990002e-05,1.0,0.009699030096990302
125,99,158,4241,523.9093098191754,162.39591452053384,8.094912460066341,7.838937890529633,8.341742444038392,9.999000099990002e-05,1.0,0.009699030096990302
