province,urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Alpes Maritimae,Cemelenum,240,168.39166666666668,152.60668265549282,184.7281700961626,,,150.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Tusculum,237,80.94092827004219,71.84388185654008,89.8451056325567,,,61.0,,,,,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,Canusium,236,89.21610169491525,84.18268752983442,95.1328370613068,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Cumae,236,67.98728813559322,62.360169491525426,73.84665270332084,,,60.0,,,,,0.0,0.0,0.0,0.0
,Aventicum,229,186.6069868995633,174.486148673933,198.97653386841844,,,180.0,,,,,0.0,0.0,0.0,0.0
Aemilia / Regio VIII,,229,87.0524017467249,79.6056210889845,94.37663840078756,,,100.0,,,,,0.0,0.0,0.0,0.0
Hispania citerior,Carthago Nova,228,51.64473684210526,47.31837850053005,56.99122807017544,,,45.0,,,,,0.0,0.0,0.0,0.0
Britannia,Londinium,228,43.01754385964912,40.03097069784714,48.47157502540064,,,40.0,,,,,0.0,0.0,0.0,0.0
Germania inferior,Colonia Ulpia Traiana,227,122.37885462555066,111.19568612245482,135.60940356550347,,,88.0,,,,,0.0,0.0,0.0,0.0
Germania superior,Vindonissa,224,74.0,66.4459391401029,83.53141802530138,,,70.0,,,,,0.0,0.0,0.0,0.0
Hispania citerior,Tarraco,222,106.92342342342343,99.63201613567824,114.56190338897933,,,100.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Ameria,221,95.02262443438914,86.73303243139578,103.89495770667077,,,100.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Aesernia,221,115.64253393665159,107.1395838081225,123.3875444685553,,,100.0,,,,,0.0,0.0,0.0,0.0
