category,count,share
Roma,65452,0.3579487347760223
__missing__,40944,0.22391757313251628
Pompeii,4511,0.02467009018173068
Salona,3472,0.018987930195293486
Mogontiacum,2971,0.016248024369302116
Ostia,2647,0.014476109224349614
Aquileia,2034,0.011123689521090711
Puteoli,1780,0.009734595549430416
Carnuntum (1),1648,0.009012704194079397
Cirta,1020,0.005578251382257879
Porolissum,967,0.005288401065336636
Capua,929,0.00508058385697801
Apulum (2),855,0.004675887188069105
Sarmizegetusa,700,0.003828211732922074
Mediolanum (Italia (XI Transpadana)),639,0.003494610424767436
Aventicum,609,0.0033305442076422046
Segobriga,595,0.0032539799729837627
Misenum,593,0.003243042225175414
Colonia Augusta Treverorum,587,0.003210228981750368
Augusta Emerita,557,0.003046162764625136
