column,n,mean,median,sd,iqr,min,max,skew,kurtosis,shapiro_p_subsample
date_range,182853,102.28689712501298,100.0,76.75096890289248,100.0,1.0,2060.0,1.323349009449432,6.646066150297617,7.373271351770124e-50
Latitude,182853,43.00443359867872,41.8933203,3.7014868044340283,2.9043780000000012,22.7989451,56.016586,0.5213675815266845,1.9424105763843134,1.584209316284312e-51
Longitude,182853,11.91345126758084,12.4829321,6.469616627048967,3.1963402,-9.446217,44.5026,-0.2345951202841442,2.639717729737291,1.2124691737513437e-55
letter_count,182853,43.409230365375464,24.0,168.15300062936842,42.0,0.0,35537.0,104.40874491480797,17400.039914759785,3.4803927476006855e-89
urban_context_pop_est,141909,432208.98056501,35016.0,454601.0071995247,917531.0,1000.0,923313.0,0.15306746286711378,-1.973857462647156,7.888506707011404e-73
