year,observed,expected_aoristic,ratio,ratio_ci_lo,ratio_ci_hi,raw_p,wy_p,holm_p
50,12091.0,529.562183246575,22.832068418998457,22.36295018196106,23.284716510772704,4.999750012499375e-05,0.0,0.000199990000499975
150,19861.0,478.6315281537756,41.49538597386134,40.4893364906311,42.47825412750244,4.999750012499375e-05,0.0,0.000199990000499975
250,7206.0,382.90117451437584,18.819477399460038,17.99152765274048,19.61374931335449,4.999750012499375e-05,0.0,0.000199990000499975
350,12685.0,319.51888628847684,39.700313641389506,38.517503070831296,40.86312141418457,4.999750012499375e-05,0.0,0.000199990000499975
