bin_lo,bin_hi,bin_centre,mass_uniform,mass_trapezoidal,difference
-50.0,-45.0,-47.5,380.33220465267794,276.2817817595276,-104.05042289315037
-45.0,-40.0,-42.5,441.0188325186198,452.24991624695997,11.231083728340195
-40.0,-35.0,-37.5,427.2438554089971,472.75660796018155,45.51275255118446
-35.0,-30.0,-32.5,381.5070581202349,391.72433472068167,10.21727660044678
-30.0,-25.0,-27.5,677.3748560460007,502.25574998693736,-175.1191060590633
-25.0,-20.0,-22.5,770.1241880182743,740.2529577128993,-29.87123030537498
-20.0,-15.0,-17.5,775.0878861194963,860.9941712360978,85.90628511660157
-15.0,-10.0,-12.5,865.674202615515,973.3718597768302,107.69765716131519
-10.0,-5.0,-7.5,1011.7011275607904,1097.8293414076043,86.12821384681388
-5.0,0.0,-2.5,1017.3915996456503,951.5906023584788,-65.80099728717153
0.0,5.0,2.5,2176.400631028624,1140.049693715609,-1036.350937313015
5.0,10.0,7.5,2565.741682060995,2221.397213520672,-344.3444685403233
10.0,15.0,12.5,2565.80693771518,2815.6886392131755,249.88170149799544
15.0,20.0,17.5,2527.1333332024738,2863.8934280581834,336.76009485570967
20.0,25.0,22.5,2479.1553536611245,2824.1038566117513,344.9485029506268
25.0,30.0,27.5,2437.9268614814546,2620.0847601903974,182.15789870894287
30.0,35.0,32.5,2375.6540119948827,2528.8528828397457,153.198870844863
35.0,40.0,37.5,2365.5802531426657,2625.4488109470303,259.8685578043646
40.0,45.0,42.5,2546.80901482383,2639.9479413812205,93.13892655739073
45.0,50.0,47.5,2673.0124484321486,2413.0061982388056,-260.006250193343
50.0,55.0,52.5,2422.8945074859867,2213.940272170925,-208.95423531506185
55.0,60.0,57.5,2326.384145769709,2485.555695322908,159.17154955319893
60.0,65.0,62.5,2313.909039307672,2606.6800122143522,292.7709729066801
65.0,70.0,67.5,2399.003699839939,2380.956951804251,-18.046748035688324
70.0,75.0,72.5,2763.122012749009,2552.625310954545,-210.49670179446412
75.0,80.0,77.5,3507.694358101313,3479.7520281116576,-27.942329989655263
80.0,85.0,82.5,2280.951260896746,2563.867216324449,282.915955427703
85.0,90.0,87.5,2167.8315301159937,2431.4750918373,263.64356172130647
90.0,95.0,92.5,2147.4043521189874,2245.4912724054566,98.0869202864692
95.0,100.0,97.5,2242.6144278985316,1708.938383960534,-533.6760439379975
100.0,105.0,102.5,2338.2635400741265,1514.8746151538285,-823.388924920298
105.0,110.0,107.5,2403.9797497051336,2229.6064095072697,-174.37334019786385
110.0,115.0,112.5,2373.277263220237,2616.697941735939,243.4206785157021
115.0,120.0,117.5,2433.613290306059,2581.9563378648645,148.34304755880567
120.0,125.0,122.5,3852.4204188833482,4025.7514513941555,173.3310325108073
125.0,130.0,127.5,2731.1274595040823,2823.7543009033066,92.6268413992243
130.0,135.0,132.5,2468.968671253797,2579.2734678972765,110.30479664347968
135.0,140.0,137.5,2564.046184401233,2606.3147982798614,42.26861387862846
140.0,145.0,142.5,2354.1061287712955,2503.3531498041584,149.2470210328629
145.0,150.0,147.5,2507.402356708565,2469.8790999096545,-37.52325679891055
150.0,155.0,152.5,2397.644398888953,2199.4251355176702,-198.21926337128298
155.0,160.0,157.5,2446.201395979249,2480.810564827032,34.60916884778317
160.0,165.0,162.5,2651.0114596861645,2792.3793532313584,141.36789354519397
165.0,170.0,167.5,2479.7301022307656,2624.2863775863634,144.5562753555978
170.0,175.0,172.5,2496.524361618398,2478.467188501881,-18.05717311651688
175.0,180.0,177.5,2592.9198020940557,2738.4143791340607,145.49457704000497
180.0,185.0,182.5,2633.1650820972786,2898.3980977889105,265.23301569163186
185.0,190.0,187.5,2580.9978943268466,2889.33849192173,308.34059759488355
190.0,195.0,192.5,2638.8575346255857,2680.2627359897006,41.40520136411487
195.0,200.0,197.5,2957.8116089669866,2265.8556360428815,-691.955972924105
200.0,205.0,202.5,2410.6705824225273,1971.3919014869061,-439.2786809356212
205.0,210.0,207.5,2292.7210925410773,2305.4876864586854,12.766593917608134
210.0,215.0,212.5,2956.8082878830774,3121.447545999823,164.63925811674562
215.0,220.0,217.5,2723.718001254454,2950.109603402978,226.39160214852382
220.0,225.0,222.5,2164.007466741823,2264.3072316005455,100.29976485872248
225.0,230.0,227.5,2045.5745206070962,2053.6773288685,8.102808261403652
230.0,235.0,232.5,1794.6737215853686,1849.716646477436,55.042924892067276
235.0,240.0,237.5,1926.9952892304334,2024.8482260226288,97.85293679219535
240.0,245.0,242.5,1768.7042374767334,1850.7529702045108,82.0487327277774
245.0,250.0,247.5,1709.0911122180414,1568.3239144825604,-140.76719773548098
250.0,255.0,252.5,1585.1179819386912,1494.7431314783103,-90.37485046038091
255.0,260.0,257.5,1417.114800758251,1489.5329158447207,72.4181150864697
260.0,265.0,262.5,1228.5009505577102,1330.9563658442823,102.45541528657213
265.0,270.0,267.5,1238.3034369467237,1274.2214625800048,35.918025633281104
270.0,275.0,272.5,1251.82341858568,1297.5056721102515,45.68225352457148
275.0,280.0,277.5,1213.3734348908727,1295.3414117850327,81.96797689416007
280.0,285.0,282.5,1224.1095368228916,1327.347915085279,103.23837826238741
285.0,290.0,287.5,1159.197163387715,1267.8871478312744,108.68998444355952
290.0,295.0,292.5,1404.7205952638674,1196.6063256227494,-208.11426964111797
295.0,300.0,297.5,1516.6348541028729,987.1342925178458,-529.5005615850271
300.0,305.0,302.5,1697.1012069895185,901.3640489376708,-795.7371580518477
305.0,310.0,307.5,1860.6218796598346,1623.1770603893378,-237.44481927049674
310.0,315.0,312.5,1753.0067367777633,1964.6592570863932,211.65252030862985
315.0,320.0,317.5,1685.021206321887,1894.3130014180085,209.29179509612163
