bin_lo,bin_hi,bin_centre,mass
-50.0,-45.0,-47.5,380.33220465267794
-45.0,-40.0,-42.5,441.0188325186198
-40.0,-35.0,-37.5,427.2438554089971
-35.0,-30.0,-32.5,381.5070581202349
-30.0,-25.0,-27.5,677.3748560460007
-25.0,-20.0,-22.5,770.1241880182743
-20.0,-15.0,-17.5,775.0878861194963
-15.0,-10.0,-12.5,865.674202615515
-10.0,-5.0,-7.5,1011.7011275607904
-5.0,0.0,-2.5,1017.3915996456503
0.0,5.0,2.5,2176.400631028624
5.0,10.0,7.5,2565.741682060995
10.0,15.0,12.5,2565.80693771518
15.0,20.0,17.5,2527.1333332024738
20.0,25.0,22.5,2479.1553536611245
25.0,30.0,27.5,2437.9268614814546
30.0,35.0,32.5,2375.6540119948827
35.0,40.0,37.5,2365.5802531426657
40.0,45.0,42.5,2546.80901482383
45.0,50.0,47.5,2673.0124484321486
50.0,55.0,52.5,2422.8945074859867
55.0,60.0,57.5,2326.384145769709
60.0,65.0,62.5,2313.909039307672
65.0,70.0,67.5,2399.003699839939
70.0,75.0,72.5,2763.122012749009
75.0,80.0,77.5,3507.694358101313
80.0,85.0,82.5,2280.951260896746
85.0,90.0,87.5,2167.8315301159937
90.0,95.0,92.5,2147.4043521189874
95.0,100.0,97.5,2242.6144278985316
100.0,105.0,102.5,2338.2635400741265
105.0,110.0,107.5,2403.9797497051336
110.0,115.0,112.5,2373.277263220237
115.0,120.0,117.5,2433.613290306059
120.0,125.0,122.5,3852.4204188833482
125.0,130.0,127.5,2731.1274595040823
130.0,135.0,132.5,2468.968671253797
135.0,140.0,137.5,2564.046184401233
140.0,145.0,142.5,2354.1061287712955
145.0,150.0,147.5,2507.402356708565
150.0,155.0,152.5,2397.644398888953
155.0,160.0,157.5,2446.201395979249
160.0,165.0,162.5,2651.0114596861645
165.0,170.0,167.5,2479.7301022307656
170.0,175.0,172.5,2496.524361618398
175.0,180.0,177.5,2592.9198020940557
180.0,185.0,182.5,2633.1650820972786
185.0,190.0,187.5,2580.9978943268466
190.0,195.0,192.5,2638.8575346255857
195.0,200.0,197.5,2957.8116089669866
200.0,205.0,202.5,2410.6705824225273
205.0,210.0,207.5,2292.7210925410773
210.0,215.0,212.5,2956.8082878830774
215.0,220.0,217.5,2723.718001254454
220.0,225.0,222.5,2164.007466741823
225.0,230.0,227.5,2045.5745206070962
230.0,235.0,232.5,1794.6737215853686
235.0,240.0,237.5,1926.9952892304334
240.0,245.0,242.5,1768.7042374767334
245.0,250.0,247.5,1709.0911122180414
250.0,255.0,252.5,1585.1179819386912
255.0,260.0,257.5,1417.114800758251
260.0,265.0,262.5,1228.5009505577102
265.0,270.0,267.5,1238.3034369467237
270.0,275.0,272.5,1251.82341858568
275.0,280.0,277.5,1213.3734348908727
280.0,285.0,282.5,1224.1095368228916
285.0,290.0,287.5,1159.197163387715
290.0,295.0,292.5,1404.7205952638674
295.0,300.0,297.5,1516.6348541028729
300.0,305.0,302.5,1697.1012069895185
305.0,310.0,307.5,1860.6218796598346
310.0,315.0,312.5,1753.0067367777633
315.0,320.0,317.5,1685.021206321887
320.0,325.0,322.5,1695.0792438288724
325.0,330.0,327.5,1587.5740941726172
330.0,335.0,332.5,1547.4513582258917
335.0,340.0,337.5,1580.046430388983
340.0,345.0,342.5,1554.0952821480244
345.0,350.0,347.5,1558.8335976078886
