width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
100 < width <= 200,180.0,185.0,182.5,705.363295718628,44953
100 < width <= 200,185.0,190.0,187.5,705.6172534816712,44953
100 < width <= 200,190.0,195.0,192.5,706.8345384042266,44953
100 < width <= 200,195.0,200.0,197.5,709.3172682670261,44953
100 < width <= 200,200.0,205.0,202.5,553.8342153951286,44953
100 < width <= 200,205.0,210.0,207.5,514.7499289158312,44953
100 < width <= 200,210.0,215.0,212.5,514.5245662492812,44953
100 < width <= 200,215.0,220.0,217.5,514.2546582664207,44953
100 < width <= 200,220.0,225.0,222.5,513.0479038729387,44953
100 < width <= 200,225.0,230.0,227.5,512.652373017805,44953
100 < width <= 200,230.0,235.0,232.5,493.77970681066796,44953
100 < width <= 200,235.0,240.0,237.5,488.7147780857558,44953
100 < width <= 200,240.0,245.0,242.5,488.6362861779246,44953
100 < width <= 200,245.0,250.0,247.5,488.59408580894103,44953
100 < width <= 200,250.0,255.0,252.5,439.68910168577634,44953
100 < width <= 200,255.0,260.0,257.5,427.4142608873205,44953
100 < width <= 200,260.0,265.0,262.5,423.8553594037254,44953
100 < width <= 200,265.0,270.0,267.5,422.9880021104491,44953
100 < width <= 200,270.0,275.0,272.5,403.46714584958386,44953
100 < width <= 200,275.0,280.0,277.5,386.12572476648336,44953
100 < width <= 200,280.0,285.0,282.5,382.78595116570165,44953
100 < width <= 200,285.0,290.0,287.5,382.77620601535136,44953
100 < width <= 200,290.0,295.0,292.5,383.05604262237006,44953
100 < width <= 200,295.0,300.0,297.5,383.2234096700314,44953
100 < width <= 200,300.0,305.0,302.5,439.7852379887413,44953
100 < width <= 200,305.0,310.0,307.5,453.3733480023054,44953
100 < width <= 200,310.0,315.0,312.5,453.0715309470225,44953
100 < width <= 200,315.0,320.0,317.5,453.07326160067197,44953
100 < width <= 200,320.0,325.0,322.5,453.0402658006281,44953
100 < width <= 200,325.0,330.0,327.5,452.84920176768844,44953
100 < width <= 200,330.0,335.0,332.5,451.5736407549616,44953
100 < width <= 200,335.0,340.0,337.5,451.13225737905674,44953
100 < width <= 200,340.0,345.0,342.5,451.2177582189834,44953
100 < width <= 200,345.0,350.0,347.5,451.21532454436414,44953
width > 200,-50.0,-45.0,-47.5,4.5245007993839055,8478
width > 200,-45.0,-40.0,-42.5,4.5245007993839055,8478
width > 200,-40.0,-35.0,-37.5,4.553826312580386,8478
width > 200,-35.0,-30.0,-32.5,4.562447002235558,8478
width > 200,-30.0,-25.0,-27.5,5.281742119231965,8478
width > 200,-25.0,-20.0,-22.5,5.4785644558363895,8478
width > 200,-20.0,-15.0,-17.5,5.552285712220185,8478
width > 200,-15.0,-10.0,-12.5,5.561057642044747,8478
width > 200,-10.0,-5.0,-7.5,5.568060289387034,8478
width > 200,-5.0,0.0,-2.5,5.596070878756186,8478
width > 200,0.0,5.0,2.5,78.70677806186903,8478
width > 200,5.0,10.0,7.5,97.01486733607143,8478
width > 200,10.0,15.0,12.5,97.07203918185351,8478
width > 200,15.0,20.0,17.5,97.24026623320702,8478
width > 200,20.0,25.0,22.5,97.29385304439676,8478
width > 200,25.0,30.0,27.5,97.3152493577608,8478
width > 200,30.0,35.0,32.5,97.88520020789208,8478
width > 200,35.0,40.0,37.5,98.0254987785685,8478
width > 200,40.0,45.0,42.5,99.90900634932125,8478
width > 200,45.0,50.0,47.5,102.39770889320951,8478
width > 200,50.0,55.0,52.5,109.46489272524997,8478
width > 200,55.0,60.0,57.5,111.21546061927633,8478
width > 200,60.0,65.0,62.5,111.24829843525379,8478
width > 200,65.0,70.0,67.5,111.30766528544214,8478
width > 200,70.0,75.0,72.5,119.59162277027448,8478
width > 200,75.0,80.0,77.5,121.94808130639441,8478
width > 200,80.0,85.0,82.5,123.78464924194267,8478
width > 200,85.0,90.0,87.5,126.41622838760205,8478
width > 200,90.0,95.0,92.5,126.50163641083137,8478
width > 200,95.0,100.0,97.5,126.58985447220974,8478
width > 200,100.0,105.0,102.5,126.34359474225091,8478
width > 200,105.0,110.0,107.5,126.26280726315755,8478
width > 200,110.0,115.0,112.5,126.3273795896476,8478
width > 200,115.0,120.0,117.5,126.3957022002293,8478
width > 200,120.0,125.0,122.5,127.03669913080857,8478
width > 200,125.0,130.0,127.5,127.42150550559792,8478
width > 200,130.0,135.0,132.5,127.50618288583024,8478
width > 200,135.0,140.0,137.5,127.72001250271896,8478
width > 200,140.0,145.0,142.5,128.04762015214413,8478
width > 200,145.0,150.0,147.5,128.05187547129307,8478
width > 200,150.0,155.0,152.5,128.593852309057,8478
width > 200,155.0,160.0,157.5,128.72312761302535,8478
width > 200,160.0,165.0,162.5,128.840761027155,8478
width > 200,165.0,170.0,167.5,128.8908082286861,8478
width > 200,170.0,175.0,172.5,129.12361594764636,8478
width > 200,175.0,180.0,177.5,129.19439853254698,8478
width > 200,180.0,185.0,182.5,129.70543525838198,8478
width > 200,185.0,190.0,187.5,129.72377772692985,8478
width > 200,190.0,195.0,192.5,129.77604733749143,8478
width > 200,195.0,200.0,197.5,129.79037862024376,8478
width > 200,200.0,205.0,202.5,129.76363169691115,8478
width > 200,205.0,210.0,207.5,129.7502058529949,8478
width > 200,210.0,215.0,212.5,129.73674239436767,8478
width > 200,215.0,220.0,217.5,129.72752580450592,8478
width > 200,220.0,225.0,222.5,129.65915546516783,8478
width > 200,225.0,230.0,227.5,129.6277413237537,8478
width > 200,230.0,235.0,232.5,129.2757182225348,8478
width > 200,235.0,240.0,237.5,129.16804353794956,8478
width > 200,240.0,245.0,242.5,129.19796829007583,8478
width > 200,245.0,250.0,247.5,129.21612931097593,8478
width > 200,250.0,255.0,252.5,127.02103586970442,8478
width > 200,255.0,260.0,257.5,126.38900841148917,8478
width > 200,260.0,265.0,262.5,126.21817429527157,8478
width > 200,265.0,270.0,267.5,126.18292845278432,8478
width > 200,270.0,275.0,272.5,126.0291973035371,8478
width > 200,275.0,280.0,277.5,125.99149510437387,8478
width > 200,280.0,285.0,282.5,125.98785874073751,8478
width > 200,285.0,290.0,287.5,125.92436667724544,8478
width > 200,290.0,295.0,292.5,125.94341429629307,8478
width > 200,295.0,300.0,297.5,125.95802841780375,8478
width > 200,300.0,305.0,302.5,47.40701402694181,8478
width > 200,305.0,310.0,307.5,27.740299323425287,8478
width > 200,310.0,315.0,312.5,27.74112239079222,8478
width > 200,315.0,320.0,317.5,27.723116893773252,8478
width > 200,320.0,325.0,322.5,27.708191520638923,8478
width > 200,325.0,330.0,327.5,27.705619830369073,8478
width > 200,330.0,335.0,332.5,27.103956167710578,8478
width > 200,335.0,340.0,337.5,26.844517687304677,8478
width > 200,340.0,345.0,342.5,26.761386534570995,8478
width > 200,345.0,350.0,347.5,26.739844346247224,8478
