width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
width = 1,235.0,240.0,237.5,244.0,8279
width = 1,240.0,245.0,242.5,146.0,8279
width = 1,245.0,250.0,247.5,97.0,8279
width = 1,250.0,255.0,252.5,148.0,8279
width = 1,255.0,260.0,257.5,57.0,8279
width = 1,260.0,265.0,262.5,37.0,8279
width = 1,265.0,270.0,267.5,39.0,8279
width = 1,270.0,275.0,272.5,42.0,8279
width = 1,275.0,280.0,277.5,42.0,8279
width = 1,280.0,285.0,282.5,55.0,8279
width = 1,285.0,290.0,287.5,32.0,8279
width = 1,290.0,295.0,292.5,22.0,8279
width = 1,295.0,300.0,297.5,35.0,8279
width = 1,300.0,305.0,302.5,36.0,8279
width = 1,305.0,310.0,307.5,37.0,8279
width = 1,310.0,315.0,312.5,34.0,8279
width = 1,315.0,320.0,317.5,28.0,8279
width = 1,320.0,325.0,322.5,41.0,8279
width = 1,325.0,330.0,327.5,29.0,8279
width = 1,330.0,335.0,332.5,34.0,8279
width = 1,335.0,340.0,337.5,53.0,8279
width = 1,340.0,345.0,342.5,62.0,8279
width = 1,345.0,350.0,347.5,80.0,8279
1 < width <= 10,-50.0,-45.0,-47.5,20.275,9231
1 < width <= 10,-45.0,-40.0,-42.5,69.40119047619046,9231
1 < width <= 10,-40.0,-35.0,-37.5,60.12579365079365,9231
1 < width <= 10,-35.0,-30.0,-32.5,12.05079365079365,9231
1 < width <= 10,-30.0,-25.0,-27.5,61.848412698412695,9231
1 < width <= 10,-25.0,-20.0,-22.5,69.40833333333333,9231
1 < width <= 10,-20.0,-15.0,-17.5,27.271825396825395,9231
1 < width <= 10,-15.0,-10.0,-12.5,58.46865079365079,9231
1 < width <= 10,-10.0,-5.0,-7.5,120.16468253968253,9231
1 < width <= 10,-5.0,0.0,-2.5,81.02380952380952,9231
1 < width <= 10,0.0,5.0,2.5,53.1734126984127,9231
1 < width <= 10,5.0,10.0,7.5,46.96190476190476,9231
1 < width <= 10,10.0,15.0,12.5,45.448809523809516,9231
1 < width <= 10,15.0,20.0,17.5,75.22460317460317,9231
1 < width <= 10,20.0,25.0,22.5,39.52142857142857,9231
1 < width <= 10,25.0,30.0,27.5,42.4765873015873,9231
1 < width <= 10,30.0,35.0,32.5,79.57103174603174,9231
1 < width <= 10,35.0,40.0,37.5,87.76984126984127,9231
1 < width <= 10,40.0,45.0,42.5,93.35396825396825,9231
1 < width <= 10,45.0,50.0,47.5,70.28809523809524,9231
1 < width <= 10,50.0,55.0,52.5,71.23571428571428,9231
1 < width <= 10,55.0,60.0,57.5,31.30277777777778,9231
1 < width <= 10,60.0,65.0,62.5,49.61547619047619,9231
1 < width <= 10,65.0,70.0,67.5,85.46309523809524,9231
1 < width <= 10,70.0,75.0,72.5,281.125,9231
1 < width <= 10,75.0,80.0,77.5,914.9825396825397,9231
1 < width <= 10,80.0,85.0,82.5,67.30277777777778,9231
1 < width <= 10,85.0,90.0,87.5,41.56507936507936,9231
1 < width <= 10,90.0,95.0,92.5,71.23809523809524,9231
1 < width <= 10,95.0,100.0,97.5,130.51031746031745,9231
1 < width <= 10,100.0,105.0,102.5,103.20634920634922,9231
1 < width <= 10,105.0,110.0,107.5,100.16269841269842,9231
1 < width <= 10,110.0,115.0,112.5,61.13650793650793,9231
1 < width <= 10,115.0,120.0,117.5,77.71507936507936,9231
1 < width <= 10,120.0,125.0,122.5,112.8,9231
1 < width <= 10,125.0,130.0,127.5,125.00079365079364,9231
1 < width <= 10,130.0,135.0,132.5,79.80595238095239,9231
1 < width <= 10,135.0,140.0,137.5,98.10119047619048,9231
1 < width <= 10,140.0,145.0,142.5,110.95238095238095,9231
1 < width <= 10,145.0,150.0,147.5,56.21785714285714,9231
1 < width <= 10,150.0,155.0,152.5,42.051587301587304,9231
1 < width <= 10,155.0,160.0,157.5,76.60714285714285,9231
1 < width <= 10,160.0,165.0,162.5,180.37698412698413,9231
1 < width <= 10,165.0,170.0,167.5,163.3031746031746,9231
1 < width <= 10,170.0,175.0,172.5,58.448412698412696,9231
1 < width <= 10,175.0,180.0,177.5,90.96785714285714,9231
1 < width <= 10,180.0,185.0,182.5,86.50317460317461,9231
1 < width <= 10,185.0,190.0,187.5,55.00555555555556,9231
1 < width <= 10,190.0,195.0,192.5,74.32976190476191,9231
1 < width <= 10,195.0,200.0,197.5,193.04801587301586,9231
1 < width <= 10,200.0,205.0,202.5,129.04166666666669,9231
1 < width <= 10,205.0,210.0,207.5,221.31904761904764,9231
1 < width <= 10,210.0,215.0,212.5,816.2162698412699,9231
1 < width <= 10,215.0,220.0,217.5,661.5595238095239,9231
1 < width <= 10,220.0,225.0,222.5,105.09404761904764,9231
1 < width <= 10,225.0,230.0,227.5,39.067460317460316,9231
1 < width <= 10,230.0,235.0,232.5,45.887301587301586,9231
1 < width <= 10,235.0,240.0,237.5,239.01666666666665,9231
1 < width <= 10,240.0,245.0,242.5,212.80793650793646,9231
1 < width <= 10,245.0,250.0,247.5,198.60833333333335,9231
1 < width <= 10,250.0,255.0,252.5,234.5265873015873,9231
1 < width <= 10,255.0,260.0,257.5,202.9488095238095,9231
1 < width <= 10,260.0,265.0,262.5,46.903571428571425,9231
1 < width <= 10,265.0,270.0,267.5,60.4,9231
1 < width <= 10,270.0,275.0,272.5,140.7361111111111,9231
1 < width <= 10,275.0,280.0,277.5,111.0873015873016,9231
1 < width <= 10,280.0,285.0,282.5,105.06388888888888,9231
1 < width <= 10,285.0,290.0,287.5,35.762301587301586,9231
1 < width <= 10,290.0,295.0,292.5,30.189285714285713,9231
1 < width <= 10,295.0,300.0,297.5,17.275,9231
1 < width <= 10,300.0,305.0,302.5,19.70277777777778,9231
1 < width <= 10,305.0,310.0,307.5,220.2111111111111,9231
1 < width <= 10,310.0,315.0,312.5,121.12460317460317,9231
1 < width <= 10,315.0,320.0,317.5,50.763492063492066,9231
1 < width <= 10,320.0,325.0,322.5,44.804761904761904,9231
1 < width <= 10,325.0,330.0,327.5,49.82261904761904,9231
1 < width <= 10,330.0,335.0,332.5,40.034523809523805,9231
1 < width <= 10,335.0,340.0,337.5,64.77222222222223,9231
1 < width <= 10,340.0,345.0,342.5,27.640476190476186,9231
1 < width <= 10,345.0,350.0,347.5,11.916666666666666,9231
10 < width <= 25,-50.0,-45.0,-47.5,42.559201855225886,8311
10 < width <= 25,-45.0,-40.0,-42.5,47.86637606478264,8311
10 < width <= 25,-40.0,-35.0,-37.5,54.56129168837474,8311
10 < width <= 25,-35.0,-30.0,-32.5,54.23969979987109,8311
10 < width <= 25,-30.0,-25.0,-27.5,57.50729849991022,8311
10 < width <= 25,-25.0,-20.0,-22.5,55.80269322890807,8311
10 < width <= 25,-20.0,-15.0,-17.5,52.4161172762566,8311
10 < width <= 25,-15.0,-10.0,-12.5,70.5720231471315,8311
10 < width <= 25,-10.0,-5.0,-7.5,116.81035161231284,8311
10 < width <= 25,-5.0,0.0,-2.5,129.92382569719356,8311
10 < width <= 25,0.0,5.0,2.5,119.03326352126358,8311
