nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
301,500,15926,200,multi_century,0.25,0.08817943734808342,15926,0.08817943734808342
101,200,13303,100,century,1.0,0.07365635156609028,29229,0.16183578891417372
301,400,10847,100,century,0.5,0.06005791516480353,40076,0.22189370407897724
1,100,10807,100,century,1.0,0.05983644225924511,50883,0.28173014633822235
1,50,6572,50,half_century,1.0,0.03638799838324779,57455,0.31811814472147015
201,300,6559,100,century,1.0,0.036316019688941305,64014,0.3544341644104114
101,300,5919,200,multi_century,1.0,0.03277245320000664,69933,0.3872066176104181
1,300,4856,300,multi_century,1.0,0.02688681073479173,74789,0.4140934283452098
1,200,4611,200,multi_century,1.0,0.025530289188246433,79400,0.43962371753345625
151,300,3534,150,multi_century,1.0,0.019567131206086077,82934,0.4591908487395423
1,79,3202,79,other,1.0,0.01772890608995122,86136,0.47691975482949356
151,250,2782,100,other,1.0,0.01540344058158785,88918,0.4923231954110814
71,130,2220,60,other,1.0,0.012291746258492102,91138,0.5046149416695735
51,100,2200,50,half_century,1.0,0.012181009805712894,93338,0.5167959514752863
171,230,2096,60,other,1.0,0.011605180251261012,95434,0.5284011317265475
51,200,2064,150,multi_century,1.0,0.011428001926814278,97498,0.5398291336533617
301,350,1953,50,half_century,1.0,0.010813414613889674,99451,0.5506425482672513
151,200,1953,50,half_century,1.0,0.010813414613889674,101404,0.5614559628811411
101,150,1938,50,half_century,1.0,0.010730362274305268,103342,0.5721863251554463
291,325,1895,35,other,1.0,0.01049227890082997,105237,0.5826786040562763
51,150,1726,100,other,1.0,0.00955655587484566,106963,0.592235159931122
326,375,1636,50,other,0.5,0.009058241837339224,108599,0.6012934017684611
1,150,1324,150,multi_century,1.0,0.007330753173983578,109923,0.6086241549424447
201,250,1309,50,half_century,1.0,0.0072477008343991714,111232,0.6158718557768439
123,123,1304,1,year_precise,1.0,0.00722001672120437,112536,0.6230918724980483
-30,30,1293,61,bc_ad_boundary,1.0,0.007159111672175806,113829,0.6302509841702241
101,250,1249,150,multi_century,1.0,0.006915491476061547,115078,0.6371664756462856
251,300,1241,50,half_century,1.0,0.006871196894949864,116319,0.6440376725412355
201,400,1229,200,multi_century,0.75,0.00680475502328234,117548,0.6508424275645178
-50,-1,1116,50,other,1.0,0.0061790940650798135,118664,0.6570215216295976
31,70,1041,40,other,1.0,0.0057638323671577825,119705,0.6627853539967554
171,300,1018,130,other,1.0,0.005636485446461693,120723,0.6684218394432171
71,200,997,130,other,1.0,0.005520212171043525,121720,0.6739420516142607
43,70,950,28,other,1.0,0.005259981507012386,122670,0.679202033121273
131,170,865,40,other,1.0,0.004789351582700751,123535,0.6839913847039738
1,30,785,30,other,1.0,0.0043464057715839185,124320,0.6883377904755577
71,100,777,30,other,1.0,0.004302111190472236,125097,0.69263990166603
71,150,757,80,other,1.0,0.004191374737693028,125854,0.696831276403723
212,217,728,6,reign:Caracallan,1.0,0.004030806881163176,126582,0.7008620832848861
-100,-1,691,100,other,0.5,0.003825944443521641,127273,0.7046880277284078
-27,14,689,42,reign:Augustan,1.0,0.00381487079824372,127962,0.7085028985266515
151,230,680,80,other,1.0,0.003765039394493076,128642,0.7122679379211446
171,250,645,80,other,1.0,0.003571250602129462,129287,0.715839188523274
1,70,624,70,other,1.0,0.0034549773267112936,129911,0.7192941658499853
171,200,590,30,other,1.0,0.0032667253569866397,130501,0.722560891206972
301,600,583,300,multi_century,0.1667,0.003227967598513917,131084,0.7257888588054859
117,138,552,22,reign:Hadrianic,1.0,0.0030563260967061442,131636,0.7288451849021921
101,230,539,130,other,1.0,0.0029843474023996588,132175,0.7318295323045917
-50,50,533,101,bc_ad_boundary,1.0,0.0029511264665658967,132708,0.7347806587711576
101,130,464,30,other,1.0,0.0025690857044776286,133172,0.7373497444756352
131,200,464,70,other,1.0,0.0025690857044776286,133636,0.7399188301801128
122,300,455,179,other,1.0,0.002519254300726985,134091,0.7424380844808398
71,300,447,230,other,1.0,0.0024749597196153015,134538,0.7449130442004551
51,300,420,250,multi_century,1.0,0.0023254655083633706,134958,0.7472385097088184
138,161,405,24,reign:Antonine-Pius,1.0,0.0022424131687789643,135363,0.7494809228775975
201,230,373,30,other,1.0,0.0020652348443322313,135736,0.7515461577219297
201,270,373,70,other,1.0,0.0020652348443322313,136109,0.753611392566262
-30,-1,368,30,other,1.0,0.0020375507311374296,136477,0.7556489432973994
-30,117,355,148,bc_ad_boundary,1.0,0.001965572036830944,136832,0.7576145153342303
222,235,352,14,other,1.0,0.001948961568914063,137184,0.7595634769031444
151,270,347,120,other,1.0,0.001921277455719261,137531,0.7614847543588636
107,275,320,169,other,1.0,0.00177178324446733,137851,0.7632565376033309
-13,97,315,111,bc_ad_boundary,1.0,0.001744099131272528,138166,0.7650006367346035
-70,-31,309,40,other,0.5,0.0017108781954387655,138475,0.7667115149300422
-30,50,297,81,bc_ad_boundary,1.0,0.0016444363237712407,138772,0.7683559512538135
31,100,297,70,other,1.0,0.0016444363237712407,139069,0.7700003875775847
122,138,291,17,other,1.0,0.0016112153879374782,139360,0.7716116029655222
69,86,271,18,other,1.0,0.00150047893515827,139631,0.7731120819006805
51,130,265,80,other,1.0,0.0014672579993245077,139896,0.7745793399000049
231,270,261,40,other,1.0,0.001445110708768666,140157,0.7760244506087737
69,96,245,28,reign:Flavian,1.0,0.0013565215465452995,140402,0.777380972155319
1,600,232,600,multi_century,0.5833,0.0012845428522388143,140634,0.7786655150075578
14,50,226,37,other,1.0,0.0012513219164050518,140860,0.7799168369239629
78,79,219,2,other,1.0,0.0012125641579323288,141079,0.7811294010818951
1,130,217,130,other,1.0,0.0012014905126544082,141296,0.7823308915945496
211,222,216,12,other,1.0,0.0011959536900154478,141512,0.783526845284565
-20,30,215,51,bc_ad_boundary,1.0,0.0011904168673764874,141727,0.7847172621519415
293,305,205,13,other,1.0,0.0011350486409868832,141932,0.7858523107929284
14,37,203,24,reign:Tiberian,1.0,0.0011239749957089624,142135,0.7869762857886373
171,270,200,100,other,1.0,0.0011073645277920813,142335,0.7880836503164295
251,350,200,100,other,1.0,0.0011073645277920813,142535,0.7891910148442215
1,355,199,355,other,0.9859,0.001101827705153121,142734,0.7902928425493746
149,149,194,1,year_precise,1.0,0.0010741435919583188,142928,0.7913669861413329
51,250,193,200,multi_century,1.0,0.0010686067693193584,143121,0.7924355929106522
51,79,188,29,other,1.0,0.0010409226561245563,143309,0.7934765155667769
77,79,187,3,other,1.0,0.0010353858334855959,143496,0.7945119014002624
107,250,184,144,other,1.0,0.0010187753655687148,143680,0.7955306767658311
51,90,180,40,other,1.0,0.0009966280750128731,143860,0.796527304840844
98,117,180,20,reign:Trajanic,1.0,0.0009966280750128731,144040,0.7975239329158569
-27,68,173,96,bc_ad_boundary,1.0,0.0009578703165401503,144213,0.798481803232397
213,214,169,2,other,1.0,0.0009357230259843086,144382,0.7994175262583814
-30,14,169,45,bc_ad_boundary,1.0,0.0009357230259843086,144551,0.8003532492843657
76,78,166,3,other,1.0,0.0009191125580674275,144717,0.8012723618424331
43,300,163,258,other,1.0,0.0009025020901505462,144880,0.8021748639325836
238,244,163,7,other,1.0,0.0009025020901505462,145043,0.8030773660227342
1,25,159,25,other,1.0,0.0008803547995947045,145202,0.8039577208223289
-50,30,158,81,bc_ad_boundary,1.0,0.0008748179769557441,145360,0.8048325387992846
131,230,158,100,other,1.0,0.0008748179769557441,145518,0.8057073567762404
271,330,156,60,other,1.0,0.0008637443316778234,145674,0.8065711011079182
41,54,156,14,reign:Claudian,1.0,0.0008637443316778234,145830,0.807434845439596
211,217,155,7,reign:Caracallan,1.0,0.000858207509038863,145985,0.8082930529486348
276,300,151,25,other,1.0,0.0008360602184830213,146136,0.8091291131671179
107,270,151,164,other,1.0,0.0008360602184830213,146287,0.8099651733856009
-25,25,143,51,bc_ad_boundary,1.0,0.000791765637371338,146430,0.8107569390229723
253,259,141,7,other,1.0,0.0007806919920934173,146571,0.8115376310150657
-20,50,139,71,bc_ad_boundary,1.0,0.0007696183468154965,146710,0.8123072493618811
193,235,139,43,reign:Severan-dynasty,1.0,0.0007696183468154965,146849,0.8130768677086967
-100,100,137,201,bc_ad_boundary,0.7512,0.0007585447015375756,146986,0.8138354124102343
138,200,136,63,other,1.0,0.0007530078788986152,147122,0.8145884202891329
131,250,134,120,other,1.0,0.0007419342336206944,147256,0.8153303545227536
117,200,130,84,other,1.0,0.0007197869430648528,147386,0.8160501414658184
161,180,128,20,reign:Aurelian-Marcus,1.0,0.000708713297786932,147514,0.8167588547636053
1,250,124,250,multi_century,1.0,0.0006865660072310904,147638,0.8174454207708365
117,161,124,45,other,1.0,0.0006865660072310904,147762,0.8181319867780675
205,208,123,4,other,1.0,0.00068102918459213,147885,0.8188130159626597
128,128,122,1,year_precise,1.0,0.0006754923619531696,148007,0.8194885083246128
54,68,121,15,reign:Neronian,1.0,0.0006699555393142091,148128,0.8201584638639271
131,300,120,170,other,1.0,0.0006644187166752487,148248,0.8208228825806023
69,97,118,29,reign:Flavian,1.0,0.0006533450713973279,148366,0.8214762276519996
-27,37,117,65,bc_ad_boundary,1.0,0.0006478082487583676,148483,0.822124035900758
-30,100,116,131,bc_ad_boundary,1.0,0.0006422714261194072,148599,0.8227663073268774
213,217,115,5,reign:Caracallan,1.0,0.0006367346034804467,148714,0.8234030419303578
198,209,115,12,other,1.0,0.0006367346034804467,148829,0.8240397765338383
1,400,109,400,multi_century,0.875,0.0006035136676466843,148938,0.824643290201485
161,161,108,1,year_precise,1.0,0.0005979768450077239,149046,0.8252412670464927
107,200,107,94,other,1.0,0.0005924400223687635,149153,0.8258337070688615
101,170,105,70,other,1.0,0.0005813663770908426,149258,0.8264150734459523
79,79,103,1,year_precise,1.0,0.0005702927318129218,149361,0.8269853661777652
76,79,102,4,other,1.0,0.0005647559091739614,149463,0.8275501220869392
41,100,101,60,other,1.0,0.0005592190865350011,149564,0.8281093411734742
-30,-21,100,10,other,1.0,0.0005536822638960407,149664,0.8286630234373702
161,200,99,40,other,1.0,0.0005481454412570802,149763,0.8292111688786273
-25,50,99,76,bc_ad_boundary,1.0,0.0005481454412570802,149862,0.8297593143198844
301,450,98,150,multi_century,0.3333,0.0005426086186181198,149960,0.8303019229385025
213,213,98,1,year_precise,1.0,0.0005426086186181198,150058,0.8308445315571207
198,211,98,14,other,1.0,0.0005426086186181198,150156,0.8313871401757388
251,400,95,150,multi_century,0.6667,0.0005259981507012386,150251,0.83191313832644
193,211,95,19,reign:Septimius-Severus,1.0,0.0005259981507012386,150346,0.8324391364771412
201,350,94,150,multi_century,1.0,0.0005204613280622781,150440,0.8329595978052035
85,300,94,216,other,1.0,0.0005204613280622781,150534,0.8334800591332658
101,270,94,170,other,1.0,0.0005204613280622781,150628,0.8340005204613281
271,300,93,30,other,1.0,0.0005149245054233178,150721,0.8345154449667513
41,68,93,28,other,1.0,0.0005149245054233178,150814,0.8350303694721747
101,400,93,300,multi_century,0.8333,0.0005149245054233178,150907,0.835545293977598
14,100,92,87,other,1.0,0.0005093876827843574,150999,0.8360546816603823
71,75,92,5,other,1.0,0.0005093876827843574,151091,0.8365640693431667
-12,-2,92,11,other,1.0,0.0005093876827843574,151183,0.837073457025951
271,280,91,10,other,1.0,0.000503850860145397,151274,0.8375773078860965
71,250,91,180,other,1.0,0.000503850860145397,151365,0.8380811587462419
-41,-40,90,2,other,1.0,0.0004983140375064366,151455,0.8385794727837483
-200,-1,90,200,other,0.25,0.0004983140375064366,151545,0.8390777868212548
135,135,88,1,year_precise,1.0,0.00048724039222851573,151633,0.8395650272134833
14,68,88,55,other,1.0,0.00048724039222851573,151721,0.8400522676057118
-100,-31,86,70,other,0.2857,0.00047616674695059494,151807,0.8405284343526623
244,249,86,6,other,1.0,0.00047616674695059494,151893,0.841004601099613
180,192,85,13,reign:Commodan,1.0,0.0004706299243116345,151978,0.8414752310239246
-50,100,85,151,bc_ad_boundary,1.0,0.0004706299243116345,152063,0.8419458609482362
-7,9,85,17,bc_ad_boundary,1.0,0.0004706299243116345,152148,0.8424164908725479
81,96,85,16,reign:Domitianic,1.0,0.0004706299243116345,152233,0.8428871207968596
51,70,83,20,other,1.0,0.00045955627903371374,152316,0.8433466770758933
54,96,83,43,other,1.0,0.00045955627903371374,152399,0.843806233354927
41,80,83,40,other,1.0,0.00045955627903371374,152482,0.8442657896339607
326,425,83,100,other,0.25,0.00045955627903371374,152565,0.8447253459129944
69,79,82,11,reign:Vespasianic,1.0,0.0004540194563947533,152647,0.8451793653693891
305,306,78,2,other,1.0,0.0004318721658389117,152725,0.845611237535228
131,270,77,140,other,1.0,0.0004263353431999513,152802,0.846037572878428
201,201,76,1,year_precise,1.0,0.00042079852056099086,152878,0.8464583713989889
-27,50,75,78,bc_ad_boundary,1.0,0.00041526169792203044,152953,0.846873633096911
238,238,75,1,year_precise,1.0,0.00041526169792203044,153028,0.847288894794833
161,169,74,9,other,1.0,0.00040972487528307007,153102,0.8476986196701161
69,117,73,49,other,1.0,0.00040418805264410965,153175,0.8481028077227603
-90,-1,72,90,other,0.5556,0.00039865123000514923,153247,0.8485014589527654
98,138,70,41,other,1.0,0.00038757758472722845,153317,0.8488890365374926
-25,-1,68,25,other,1.0,0.0003765039394493076,153385,0.8492655404769419
-30,20,67,51,bc_ad_boundary,1.0,0.0003709671168103472,153452,0.8496365075937522
301,330,67,30,other,1.0,0.0003709671168103472,153519,0.8500074747105626
117,150,67,34,other,1.0,0.0003709671168103472,153586,0.850378441827373
76,100,66,25,other,1.0,0.0003654302941713868,153652,0.8507438721215443
251,253,66,3,other,1.0,0.0003654302941713868,153718,0.8511093024157157
331,370,64,40,other,0.5,0.000354356648893466,153782,0.8514636590646092
-30,68,64,99,bc_ad_boundary,1.0,0.000354356648893466,153846,0.8518180157135027
-10,10,64,21,bc_ad_boundary,1.0,0.000354356648893466,153910,0.8521723723623961
41,70,63,30,other,1.0,0.00034881982625450557,153973,0.8525211921886506
235,238,62,4,other,1.0,0.0003432830036155452,154035,0.8528644751922662
101,180,62,80,other,1.0,0.0003432830036155452,154097,0.8532077581958817
-50,14,61,65,bc_ad_boundary,1.0,0.0003377461809765848,154158,0.8535455043768583
69,100,61,32,other,1.0,0.0003377461809765848,154219,0.8538832505578349
37,41,60,5,reign:Caligulan,1.0,0.00033220935833762436,154279,0.8542154599161725
-40,-1,60,40,other,1.0,0.00033220935833762436,154339,0.8545476692745101
80,300,60,221,other,1.0,0.00033220935833762436,154399,0.8548798786328478
216,216,59,1,year_precise,1.0,0.00032667253569866394,154458,0.8552065511685464
139,161,59,23,reign:Antonine-Pius,1.0,0.00032667253569866394,154517,0.8555332237042451
236,238,58,3,other,1.0,0.0003211357130597036,154575,0.8558543594173048
271,400,57,130,other,0.6154,0.00031559889042074316,154632,0.8561699583077256
43,410,57,368,other,0.837,0.00031559889042074316,154689,0.8564855571981462
