shape_name,alpha_true,n,conv_rate,shape_rate,mean_abs_alpha_bias,band_cov95,n_reps,cell_pass
regnal_cluster,0.3,50,1.0,0.0,0.1917908390042392,0.9745,50,False
regnal_cluster,0.3,100,1.0,0.0,0.12516806885073403,0.98125,50,False
regnal_cluster,0.3,200,1.0,0.18,0.10040274238458526,0.9904999999999999,50,False
regnal_cluster,0.3,350,1.0,0.54,0.09925696583876087,0.9875,50,False
regnal_cluster,0.3,500,1.0,0.74,0.10130898365666749,0.97575,50,False
regnal_cluster,0.3,1000,0.98,1.0,0.098690006120708,0.9622499999999999,50,True
regnal_cluster,0.3,2000,1.0,1.0,0.10838470095193863,0.9205,50,True
regnal_cluster,0.5,50,1.0,0.0,0.16887203075247229,0.9592499999999999,50,False
regnal_cluster,0.5,100,1.0,0.0,0.14969255495971823,0.9754999999999999,50,False
regnal_cluster,0.5,200,1.0,0.02,0.07575582708811535,0.97675,50,False
regnal_cluster,0.5,350,1.0,0.08,0.07386016120937461,0.9834999999999999,50,False
regnal_cluster,0.5,500,1.0,0.44,0.06793712165250623,0.9825,50,False
regnal_cluster,0.5,1000,1.0,0.9,0.058037144443829514,0.9804999999999999,50,True
regnal_cluster,0.5,2000,1.0,1.0,0.06876367259112247,0.9647500000000001,50,True
regnal_cluster,0.7,50,1.0,0.0,0.08245411639440534,0.92025,50,False
regnal_cluster,0.7,100,1.0,0.0,0.099054813757563,0.9279999999999999,50,False
regnal_cluster,0.7,200,1.0,0.0,0.13194147121015687,0.9495,50,False
regnal_cluster,0.7,350,1.0,0.0,0.09493282781792611,0.9734999999999999,50,False
regnal_cluster,0.7,500,1.0,0.0,0.09584119160738,0.9672499999999999,50,False
regnal_cluster,0.7,1000,1.0,0.2,0.04943877125568085,0.982,50,False
regnal_cluster,0.7,2000,1.0,0.7,0.036026255540333715,0.9845,50,False
regnal_cluster,0.85,50,1.0,0.0,0.11391381270403496,0.9055,50,False
regnal_cluster,0.85,100,1.0,0.0,0.18452560117027036,0.88325,50,False
regnal_cluster,0.85,200,1.0,0.0,0.14274364689975144,0.9035,50,False
regnal_cluster,0.85,350,1.0,0.0,0.1645481423165446,0.9077500000000001,50,False
regnal_cluster,0.85,500,0.98,0.0,0.16193628546075026,0.875,50,False
regnal_cluster,0.85,1000,0.96,0.0,0.11644981528687356,0.9275,50,False
regnal_cluster,0.85,2000,1.0,0.06,0.08251910131530747,0.9655,50,False
rise_and_fall,0.3,50,1.0,0.2,0.16807756194333606,0.9897499999999999,50,False
rise_and_fall,0.3,100,1.0,0.2,0.13330383310985192,0.986,50,False
rise_and_fall,0.3,200,1.0,0.58,0.10646408148217804,0.9584999999999999,50,False
rise_and_fall,0.3,350,1.0,0.84,0.10219452651030674,0.90625,50,False
rise_and_fall,0.3,500,1.0,0.96,0.11878719414267767,0.852,50,True
rise_and_fall,0.3,1000,1.0,0.98,0.14421802615230736,0.76925,50,True
rise_and_fall,0.3,2000,1.0,1.0,0.14732484237614804,0.7195,50,True
rise_and_fall,0.5,50,1.0,0.06,0.17062454738777835,0.9847499999999999,50,False
rise_and_fall,0.5,100,1.0,0.24,0.14840701203041687,0.9854999999999999,50,False
