name,null,n_eff,alpha_median,soft_annotated,reach_caveat,marginal_p,p_deviation,p_draw_lo,p_draw_hi,holm_marginal_p,marginal_p_infl,antonine_p_dev,antonine_p_deficit,crisis_p_dev,crisis_p_deficit,raw_global_p
Umbria / Regio VI,cpl,2573,0.781,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.3636,0.262,0.8381,0.4109,0.0
Noricum,exp,2600,0.808,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9799,0.968,0.0
Noricum,cpl,2600,0.808,False,False,0.0405,0.8718,0.0,0.38,0.0405,0.0072,0.4499,0.2066,0.7514,0.315,0.0
Baetica,exp,2449,0.662,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.9985,0.1429,1.0,1.0,0.0
Baetica,cpl,2449,0.662,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.9742,0.9507,0.7196,0.0553,0.0
Transpadana / Regio XI,exp,2201,0.909,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.867,0.8439,0.9994,0.9994,0.0
Transpadana / Regio XI,cpl,2201,0.909,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.6677,0.4878,0.8101,0.2939,0.0
Pompeii,exp,4247,0.016,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Pompeii,cpl,4247,0.016,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Salona,exp,2890,0.989,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.906,0.503,0.989,0.961,0.0
Salona,cpl,2890,0.989,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.9151,0.6078,0.9971,0.6076,0.0
Ostia,exp,2316,0.701,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.8628,0.0171,1.0,1.0,0.0
Ostia,cpl,2316,0.701,False,False,0.0,1.0,0.0,0.0,0.0001,0.0,0.907,0.9051,0.8528,0.8421,0.0
Mogontiacum,exp,2325,0.153,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Mogontiacum,cpl,2325,0.153,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.1619,0.0156,0.0508,0.0,0.0
Aquileia,exp,1885,0.932,False,False,0.0002,0.9991,0.0,0.0,0.0002,0.0004,0.8091,0.7994,0.7276,0.4213,0.0
Aquileia,cpl,1885,0.932,False,False,0.0038,0.9869,0.0,0.009,0.0075,0.0004,0.4667,0.2216,0.7258,0.3949,0.0
Moesia inferior,exp,1728,0.698,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.9107,0.0302,1.0,0.9998,0.0
Moesia inferior,cpl,1728,0.698,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.8839,0.8751,0.9994,0.9882,0.0
Lusitania,exp,1577,0.788,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.6861,0.0683,0.9931,0.9926,0.0
Lusitania,cpl,1577,0.788,False,True,0.0001,0.9992,0.0,0.0,0.0005,0.0001,0.5423,0.3414,0.8618,0.8536,0.0
Italia (excl. Rome),exp,40499,0.787,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Italia (excl. Rome),cpl,40499,0.787,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.9961,0.9854,1.0,1.0,0.0
