unit,null,n_eff,identifiable,holm_group,pval_global,pval_holm,detected_raw,n_bins_outside,antonine_out,antonine_dir,antonine_bracket,crisis_out,crisis_dir,crisis_bracket
Apulia et Calabria / Regio II,exponential,3013,True,identifiable,0.0,0.0,True,69,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Apulia et Calabria / Regio II,cpl3,3013,True,identifiable,0.515,1.0,False,3,False,none,< 20% (deficit; sub-bracket),False,none,< 20% (surplus; sub-bracket)
Pannonia inferior,exponential,2812,False,flagged,0.0,0.0,True,72,True,surplus,≥ doubling (surplus),True,mixed,≥ 50% (surplus)
Pannonia inferior,cpl3,2812,False,flagged,1.0,1.0,False,0,False,none,< 20% (deficit; sub-bracket),False,none,≥ 20% (deficit)
Numidia,exponential,2726,False,flagged,0.0,0.0,True,80,True,surplus,≥ doubling (surplus),True,deficit,≥ 50% (deficit)
Numidia,cpl3,2726,False,flagged,0.0,0.0,True,27,True,deficit,≥ 20% (deficit),True,deficit,≥ 20% (deficit)
Etruria / Regio VII,exponential,2426,True,identifiable,0.0,0.0,True,53,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Etruria / Regio VII,cpl3,2426,True,identifiable,0.011,0.044,True,8,False,none,< 20% (deficit; sub-bracket),False,none,≥ 20% (deficit)
Umbria / Regio VI,exponential,2572,False,flagged,0.0,0.0,True,42,False,none,≥ 20% (deficit),True,deficit,≥ 50% (deficit)
Umbria / Regio VI,cpl3,2572,False,flagged,0.286,1.0,False,4,False,none,< 20% (deficit; sub-bracket),False,none,≥ 20% (surplus)
Noricum,exponential,2600,True,identifiable,0.0,0.0,True,75,True,surplus,≥ 50% (surplus),True,deficit,≥ 50% (deficit)
Noricum,cpl3,2600,True,identifiable,0.0,0.0,True,32,True,deficit,≥ 20% (deficit),True,deficit,≥ 50% (deficit)
Baetica,exponential,2449,True,identifiable,0.0,0.0,True,61,True,surplus,≥ doubling (surplus),True,deficit,≥ 50% (deficit)
Baetica,cpl3,2449,True,identifiable,0.03,0.09,True,7,False,none,≥ 20% (surplus),False,none,≥ 20% (deficit)
Transpadana / Regio XI,exponential,2200,True,identifiable,0.0,0.0,True,56,True,deficit,≥ 20% (deficit),True,deficit,≥ 50% (deficit)
Transpadana / Regio XI,cpl3,2200,True,identifiable,0.566,1.0,False,3,False,none,< 20% (surplus; sub-bracket),False,none,≥ 50% (deficit)
