frame,anchor,lo,hi,n_in_F1F3,pct_of_pool
empire,Aurelian-Marcus,161,180,129,0.1095
empire,__TOTAL_LEAK__,-1,-1,129,0.1095
latin,Aurelian-Marcus,161,180,95,0.1514
latin,__TOTAL_LEAK__,-1,-1,95,0.1514
