frame,slab_name,width_excl,family,count,weight,pct_of_pool
empire,century,99,F1,47004,0.3991,39.91
empire,two_century,199,F1,27994,0.2377,23.77
empire,half_century,49,F1,20084,0.1705,17.05
empire,one_and_a_half_century,149,F1,8499,0.0722,7.22
empire,three_century,299,F1,5567,0.0473,4.73
empire,thirty_year_window,29,F3,3888,0.033,3.3
empire,forty_year_window,39,F3,3164,0.0269,2.69
empire,twenty_year_window,19,F3,863,0.0073,0.73
empire,quarter_century,24,F1,705,0.006,0.6
empire,__unaccounted__,-1,?,0,0.0,0.0
latin,century,99,F1,25404,0.405,40.5
latin,two_century,199,F1,9810,0.1564,15.64
latin,half_century,49,F1,9662,0.154,15.4
latin,one_and_a_half_century,149,F1,6851,0.1092,10.92
latin,three_century,299,F1,4926,0.0785,7.85
latin,thirty_year_window,29,F3,2675,0.0426,4.26
latin,forty_year_window,39,F3,2376,0.0379,3.79
latin,twenty_year_window,19,F3,648,0.0103,1.03
latin,quarter_century,24,F1,381,0.0061,0.61
latin,__unaccounted__,-1,?,0,0.0,0.0
