,const,pop_est
count,1000.0,1000.0
mean,58.09093993631934,0.0058199429024728905
std,8.773237654872274,0.0019076478201491744
min,18.97934016592109,0.002264487901039694
2.5%,40.00782701224477,0.0031556050872932916
50%,58.211461158605225,0.005509498513540193
97.5%,75.01547288209548,0.010606733637480518
max,92.34547118244816,0.015962194483349817
