cutoff_label,n,mean_sigma_years
<= 1y,11069,0.073
<= 5y,15500,0.332
<= 10y,18104,0.612
<= 25y,26162,2.015
<= 50y,61743,7.988
<= 100y,128937,17.493
<= 200y,174096,26.335
<= 300y,181926,28.737
no cutoff,182853,29.239
