type,count,median_date_range,mean_date_range,pct_with_range_lt_25
epitaph (funerary),102165,99,113.2,2.69
votive,16903,99,114.4,16.42
identification,22852,69,86.1,21.23
honorific,6657,18,41.4,57.64
building/dedicatory,3580,39,72.8,44.19
mile-/leaguestone,2721,2,19.2,86.37
military diploma,442,0,5.1,95.48
boundary,470,21,54.8,64.89
acclamation,365,129,156.1,3.29
other small,1380,70,89.2,27.39
unknown,25318,70,89.2,26.58
