bin_lo,bin_hi,bin_label,count,pct_of_corpus
0,1.0,"[0, 1)",8279,4.53
1,5.0,"[1, 5)",6034,3.3
5,10.0,"[5, 10)",3262,1.78
10,25.0,"[10, 25)",8415,4.6
25,50.0,"[25, 50)",35122,19.21
50,100.0,"[50, 100)",67163,36.73
100,200.0,"[100, 200)",45651,24.97
200,300.0,"[200, 300)",7995,4.37
300,,>= 300,932,0.51
