cutoff,count_under,pct_under,count_excluded,pct_excluded
1,8279,4.53,174574,95.47
5,14313,7.83,168540,92.17
10,17575,9.61,165278,90.39
25,25990,14.21,156863,85.79
50,61112,33.42,121741,66.58
100,128275,70.15,54578,29.85
200,173926,95.12,8927,4.88
300,181921,99.49,932,0.51
