,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha,0.478,0.0321,0.43,0.53,2992,2754,1.00,0.00059,0.00042
mu_gen,149.62,1.26,150,150,4353,4488,1.00,0.019,0.014
sigma_gen,40.43,1.48,38,43,4112,4189,1.00,0.024,0.018
tier_weights[0],0.2521,0.0181,0.22,0.28,3069,3438,1.00,0.00033,0.00024
tier_weights[1],0.217,0.046,0.14,0.29,2567,2404,1.00,0.00093,0.0007
tier_weights[2],0.2496,0.018,0.22,0.28,3050,3500,1.00,0.00033,0.00024
tier_weights[3],0.281,0.0209,0.25,0.32,3455,3389,1.00,0.00036,0.00027
