f_within_unweighted,f_within_population_weighted,f_within_inscription_weighted
0.39128477173111464,0.6760919582422524,0.5620557852720613
0.30168448133806436,0.47700204282414915,0.4327746136380358
0.31408303207014765,0.5353709780533117,0.45142074971792945
0.25536328759709737,0.4153449997512223,0.38386207055546573
0.3245147374984523,0.4954796317726612,0.4507634443771198
0.2943217922376734,0.4259723643484316,0.4241056348108073
0.2859222766851489,0.5122207163980778,0.3841773789715846
0.29916396838625353,0.5095031122980724,0.3919602266314076
0.31237937442346003,0.5466378019117835,0.44473246786588866
0.32056240062688407,0.5550421337518666,0.4639369642719839
0.3608072444908914,0.5835607737177171,0.4660496312941854
0.311500524156537,0.47899947670526444,0.4418493847638723
0.2446365121888801,0.4589663547662936,0.35352452572609944
0.3223979767966465,0.49296719718212584,0.45845626602538936
0.31753963435573573,0.5429652997304415,0.4134750753430677
0.25381169884794774,0.42694495670137583,0.3511997368432371
0.2804235529701608,0.4750517072184768,0.3869170476622619
0.4065402051783849,0.6278891726211312,0.49185003946443157
0.2996173626167906,0.5334843917930866,0.46928279600597583
0.2538203955093073,0.41839924769703696,0.3425413162718128
0.28265633954890446,0.48146586247262424,0.4136924763504736
0.3469120225304623,0.5630357353438097,0.4521649949279953
0.24986613639541724,0.4164845542042926,0.4046443131092103
0.4144386981661423,0.5997261795365555,0.5272573072289162
0.29670795670540084,0.537614328388288,0.41675852276105074
0.30098090264859556,0.535989905607159,0.43089469938162156
0.3280847626994884,0.498808062741641,0.44663409181793035
0.33398229198185647,0.5182312371698694,0.42916812514506164
0.2508079452213689,0.4409816578670296,0.34060889753380746
0.3056480262826906,0.5075531305275139,0.39941778778310294
0.288380765898783,0.49950254585352943,0.4143814265934978
0.29963226711760316,0.4793206514105181,0.40845256017386694
0.31179357933890256,0.46661409063332016,0.4227328101430445
0.3244509394248989,0.4737273546225351,0.4337286437126867
0.28205023997750805,0.46519736693176594,0.3999360408598408
0.31717318969637687,0.5312953124538718,0.4442189611245252
0.29146989623391406,0.4738992562976252,0.4217220252729552
0.3090871280787299,0.5017966225703118,0.45693512034137285
0.33492562932930775,0.5653647377476377,0.49306986843272194
0.3289805970979208,0.5244211805805518,0.49616451282743856
0.346319902600368,0.6010445665422871,0.4883344074778223
0.28540608049817484,0.4709639304092246,0.4050241236630962
0.29420524887502864,0.48239339567111816,0.3912670131017843
0.30056595383654444,0.49632186513694937,0.3827067249759482
0.2857262213073116,0.45227643192392863,0.37749540419394106
0.26401545710424584,0.40629721491948545,0.41250286643079637
0.27347456279242655,0.4356991247188942,0.37961747398133444
0.2827036375918019,0.4442747786670639,0.42649576011102375
0.35606368144141876,0.6138216710823857,0.4876621127824748
0.36239048925428313,0.5123980413583404,0.4936907354312145
0.2750610410566316,0.3961924997650205,0.344521505150281
0.34299446183118376,0.5471222445654799,0.48061048676267254
0.24305320230945388,0.3981302256528097,0.37452497609693325
0.2857899921313461,0.47338969954050136,0.41214220111123384
0.29377332223535924,0.4884553491194751,0.4132645274899055
0.23696581400789218,0.3950648840310219,0.37639111672717074
0.3103081048290913,0.5384616003786578,0.4097863635036103
0.31336243089905735,0.5070843784460769,0.461610334218429
0.33092348136213695,0.575449312610609,0.4205925994956291
0.2651399226220257,0.4322863792528396,0.37277328599322124
0.29930228947683396,0.4834768625567874,0.41735908798208
0.2838023088187033,0.4899349638823825,0.42765390435970385
