model,beta_const,beta_pop,se_pop,alpha,llf,n,boot_ci_lo,boot_ci_hi,boot_median,r2
NBR,-0.43082347458696274,0.5662504927330695,0.043023932371032435,2.153003029371316,-5050.045010580205,1044,0.5425058879554236,0.5736619047374425,0.558308750233281,
OLS_loglog,0.443629021073255,0.2839922030003125,0.04536551087430613,,,1044,,,,0.03624596862351048
