variant,median,ci_lo,ci_hi,p_gt_005,p_gt_010,p_gt_020
unweighted,0.29946829441425976,0.24027579456235504,0.3663843213036655,1.0,1.0,0.99975
population_weighted,0.4956560669519078,0.3926340206308528,0.6098936389606376,1.0,1.0,1.0
inscription_weighted,0.4208902968452637,0.33667078836843034,0.5123117504352884,1.0,1.0,1.0
