,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_0,5.6,1.94,2.4,8.6,868,1646,1.00,0.066,0.049
beta_within,0.5876,0.0352,0.53,0.64,11082,6311,1.00,0.00034,0.00023
beta_between,-0.26,0.24,-0.63,0.14,861,1552,1.00,0.0083,0.0061
sigma_prov,1.086,0.124,0.9,1.3,1294,2070,1.00,0.0034,0.0025
dispersion,0.6885,0.028,0.64,0.73,9335,6559,1.00,0.00029,0.0002
