urban_context_city,inscription_count_filtered
Pompeii,4508
Salona,3465
Ostia,2644
Mogontiacum,2398
Aquileia,2034
Puteoli,1780
Carnuntum (1),1641
Cirta,1020
Porolissum,967
Capua,929
Apulum (2),853
Sarmizegetusa,697
Mediolanum (Italia (XI Transpadana)),639
Misenum,593
Segobriga,593
Augusta Emerita,557
Herculaneum,525
Corduba,510
Brundisium,456
Ammaedara,451
Colonia Augusta Treverorum,447
Brigetio,445
Carthago,442
Lepcis Magna,425
Neapolis (Italia (I Latium and Campania)),403
Caralis,395
Aricia,395
Venusia,382
Aventicum,380
Lambaesis,379
Poetovio,378
Celeia,373
Verona,372
Saguntum,372
Patavium,351
Tergestum,346
Praeneste,346
Burdigala,333
Asisium,332
Clusium,332
Alba Fucentia,317
Thugga,307
Corfinium,306
Viminacium (1),303
Aeclanum,301
Andematunum,296
Clunia,291
Theveste,287
Narona,284
Sirmium,278
