bin_centre,spa_point,ci_lo_2p5,ci_hi_97p5
-47.5,380.33220465267794,364.3703689662573,395.73964027051943
-42.5,441.0188325186198,421.6933070075946,461.79372914598116
-37.5,427.2438554089971,410.92671064104053,445.22534136748834
-32.5,381.5070581202349,367.4234061809344,396.8808814588127
-27.5,677.3748560460007,657.3612057006075,700.4967035823281
-22.5,770.1241880182743,749.4058365847374,792.7310428880021
-17.5,775.0878861194963,755.6025567364359,795.884859261674
-12.5,865.674202615515,840.9621289376691,889.7819874350921
-7.5,1011.7011275607904,979.9376365299922,1043.8978273622558
-2.5,1017.3915996456503,986.986087762995,1046.8037515846413
2.5,2176.400631028624,2149.803102014817,2203.6584872403846
7.5,2565.741682060995,2535.2124966891893,2595.9791863919213
12.5,2565.80693771518,2533.5977617665067,2595.914572479698
17.5,2527.1333332024738,2494.021972814348,2559.269803559174
22.5,2479.1553536611245,2449.7636839947136,2506.6114499478404
27.5,2437.9268614814546,2410.651723353813,2465.626577680753
32.5,2375.6540119948827,2344.4524452502847,2404.719880520906
37.5,2365.5802531426657,2337.390369470372,2395.44241064974
42.5,2546.80901482383,2512.085397053395,2581.555554386529
47.5,2673.0124484321486,2639.079546638498,2708.965247428074
52.5,2422.8945074859867,2391.52089146693,2453.984917151622
57.5,2326.384145769709,2292.6564103959718,2357.7368560065743
62.5,2313.909039307672,2282.617735112698,2344.041147757803
67.5,2399.003699839939,2365.6698094685817,2430.1642629261505
72.5,2763.122012749009,2720.8326270865728,2802.0305316885783
77.5,3507.694358101313,3443.992397341248,3574.716041830079
82.5,2280.951260896746,2245.9361543416276,2314.370414563263
87.5,2167.8315301159937,2138.1108868082906,2197.611156628302
92.5,2147.4043521189874,2119.331163832924,2176.68835405185
97.5,2242.6144278985316,2207.8058214146868,2279.104333605878
102.5,2338.2635400741265,2306.21717332574,2370.8663708705917
107.5,2403.9797497051336,2369.862105478695,2440.173120686968
112.5,2373.277263220237,2343.7854297644208,2404.2607109307883
117.5,2433.613290306059,2403.7465281416366,2465.3828324114406
122.5,3852.4204188833482,3774.509186452573,3927.343784176724
127.5,2731.1274595040823,2685.9151261178495,2771.6654335763487
132.5,2468.968671253797,2434.0464733654517,2501.167453761948
137.5,2564.046184401233,2525.1920121791263,2602.3594560350825
142.5,2354.1061287712955,2320.585339988043,2387.0888597922253
147.5,2507.402356708565,2467.3491935772868,2550.908492483346
152.5,2397.644398888953,2367.237531167447,2429.609659670928
157.5,2446.201395979249,2413.1105208963263,2479.4954631364067
162.5,2651.0114596861645,2611.2216692668835,2695.734899883518
167.5,2479.7301022307656,2445.4499971864584,2516.3680297553137
172.5,2496.524361618398,2467.4488965424607,2526.5418097962483
177.5,2592.9198020940557,2561.967523102617,2625.122631032501
182.5,2633.1650820972786,2603.418425498532,2666.102362271141
187.5,2580.9978943268466,2547.4221730120717,2611.659603131399
192.5,2638.8575346255857,2605.7580445894314,2671.0971338613735
197.5,2957.8116089669866,2910.425466719998,3003.89187932212
202.5,2410.6705824225273,2369.4524108086357,2451.1537254003515
207.5,2292.7210925410773,2253.600059680199,2337.7704824495595
212.5,2956.8082878830774,2900.1957524882214,3016.233061981343
217.5,2723.718001254454,2673.2030888733034,2777.156688049866
222.5,2164.007466741823,2129.2276188149344,2203.2445501739517
227.5,2045.5745206070962,2015.1230970464314,2077.4031570691504
232.5,1794.6737215853686,1764.074249707557,1824.3724682841544
237.5,1926.9952892304334,1885.8058969019119,1969.9017103309754
242.5,1768.7042374767334,1731.0757080877695,1805.3057930448956
247.5,1709.0911122180414,1677.6644298297804,1742.1489513963363
252.5,1585.1179819386912,1547.6356375913288,1622.3850363830522
257.5,1417.114800758251,1386.3308821924816,1448.1748293931864
262.5,1228.5009505577102,1208.9044567159144,1247.4604283345511
267.5,1238.3034369467237,1215.9878595737553,1260.570983815181
272.5,1251.82341858568,1224.8043094047398,1280.4288219793139
277.5,1213.3734348908727,1188.8558593804064,1237.222902781836
282.5,1224.1095368228916,1198.4556922847726,1251.1846052613587
287.5,1159.197163387715,1135.853584674088,1179.8582535185926
292.5,1404.7205952638674,1381.2618368368567,1429.5430173335262
297.5,1516.6348541028729,1491.2113616878917,1543.0955115219167
302.5,1697.1012069895185,1674.3036528999328,1721.332780553907
307.5,1860.6218796598346,1826.5637857611334,1896.1674336650203
312.5,1753.0067367777633,1723.7042255820747,1780.3283233884347
317.5,1685.021206321887,1661.6116016476433,1710.4209809749427
322.5,1695.0792438288724,1669.5263660249377,1719.5969444843556
327.5,1587.5740941726172,1563.991850625679,1611.1079123331142
332.5,1547.4513582258917,1525.8026853617566,1569.3587866540418
337.5,1580.046430388983,1557.5300026793889,1605.5051543226778
342.5,1554.0952821480244,1528.2325061556166,1577.7333458743697
347.5,1558.8335976078886,1532.7291680449348,1584.5923240357808
