bin_start_year,bin_centre,total_mass,convention_mass_F1F3,alpha_t_F1F3,alpha_t_incl_Big
-50,-47.5,365.2622817968675,235.34200253714823,0.6443096215119973,0.8733542419339154
-45,-42.5,457.39885436371173,233.5104608181292,0.510518245925574,0.6950402446238693
-40,-37.5,377.6901126736217,241.39021324960575,0.6391224052460209,0.8678373855427514
-35,-32.5,361.3396151231184,230.0914557457666,0.6367734012982996,0.8716527849393177
-30,-27.5,670.5687919513566,247.60988247287236,0.36925351350206304,0.736042415313465
-25,-22.5,763.0537302885415,250.54365304937045,0.3283433958898671,0.7028881127535399
-20,-17.5,763.4624087146253,247.98518602162676,0.32481649808945756,0.744377330045142
-15,-12.5,837.0729746233866,247.27328691045358,0.29540230590015887,0.6974800624061334
-10,-7.5,970.3132657524917,244.84944215267055,0.25234061080550757,0.6101631346152404
-5,-2.5,881.923185541659,196.18873314093938,0.22245557930359242,0.6148677259744263
0,2.5,2179.130246131545,1308.5861934040497,0.6005084807239447,0.8606995237597393
5,7.5,2571.642241911225,1635.1119150221607,0.6358240226319186,0.8787369739658425
10,12.5,2513.4309893766026,1639.8616939788362,0.6524395143172661,0.9029212916572693
15,17.5,2531.1111605539745,1641.2834911774028,0.6484438600547996,0.9017197206296991
20,22.5,2464.5487967982867,1639.9729602080697,0.6654252341599284,0.9216893768616571
25,27.5,2437.9218056921877,1617.845066781973,0.6636164716212568,0.9166134715448936
30,32.5,2320.3210754363586,1604.12358524922,0.6913369025653268,0.9054867350561585
35,37.5,2342.8708789375223,1635.262353921564,0.6979737417979882,0.9096785511254462
40,42.5,2498.158493266909,1657.4634800791332,0.6634741088471228,0.8641740887081898
45,47.5,2613.3707489813123,1664.0798884741257,0.6367561468738339,0.8304146562540407
50,52.5,2229.842938347254,1323.2428386534045,0.5934242344593939,0.7998554049288238
55,57.5,2289.7268340841674,1411.3303388513523,0.6163749831825893,0.8193940636357048
60,62.5,2304.189328852613,1400.9150566139283,0.6079860882402071,0.8090229744784905
65,67.5,2361.36379408086,1402.8915096829403,0.5941022358348658,0.7878705619906002
70,72.5,2661.579651607333,1350.962708901145,0.507579289646769,0.7468723022459498
75,77.5,3256.123834671016,1381.9770932327124,0.424423997182632,0.6252934420432826
80,82.5,2204.5851248023364,1366.6726694494837,0.6199228390294159,0.845578113108899
85,87.5,2138.696313010767,1367.9064169482042,0.6395982490017589,0.8744129919061512
