level,bracket,shape,null_model,global,province_balanced,city_balanced,delta_province_balanced,delta_city_balanced
province,a_50pc_50y,gaussian,cpl,1275.5102040816328,1436.3636363636367,1409.0909090909095,160.85343228200395,133.5807050092767
province,a_50pc_50y,gaussian,exponential,1910.7142857142858,1914.6341463414637,1890.1098901098903,3.919860627177968,-20.60439560439545
province,a_50pc_50y,step,cpl,992.0,972.4409448818899,1104.6511627906978,-19.55905511811011,112.65116279069775
province,a_50pc_50y,step,exponential,1982.3008849557525,1875.0,1968.181818181818,-107.30088495575251,-14.119066773934492
province,b_double_25y,gaussian,cpl,2111.1111111111113,1980.769230769231,1967.7419354838717,-130.34188034188037,-143.36917562723966
province,b_double_25y,gaussian,exponential,2430.232558139535,2500.0,2308.510638297873,69.76744186046517,-121.72191984166193
province,b_double_25y,step,cpl,,,,,
province,b_double_25y,step,exponential,,,,,
province,c_20pc_25y,gaussian,cpl,,,,,
province,c_20pc_25y,gaussian,exponential,,,,,
province,c_20pc_25y,step,cpl,,,,,
province,c_20pc_25y,step,exponential,,,,,
urban-area,a_50pc_50y,gaussian,cpl,1604.4776119402986,1323.529411764706,1463.636363636364,-280.94820017559255,-140.84124830393466
urban-area,a_50pc_50y,gaussian,exponential,1988.2352941176473,2011.6279069767445,1957.831325301205,23.3926128590972,-30.40396881644233
urban-area,a_50pc_50y,step,cpl,1136.3636363636365,987.6033057851241,1136.3636363636365,-148.76033057851237,0.0
urban-area,a_50pc_50y,step,exponential,1932.0388349514565,1928.571428571429,1933.9622641509436,-3.467406380027569,1.9234291994871455
urban-area,b_double_25y,gaussian,cpl,1928.571428571429,1865.3846153846155,2071.4285714285716,-63.186813186813424,142.85714285714266
urban-area,b_double_25y,gaussian,exponential,25.0,25.0,25.0,0.0,0.0
urban-area,b_double_25y,step,cpl,,,,,
urban-area,b_double_25y,step,exponential,,,,,
urban-area,c_20pc_25y,gaussian,cpl,,,,,
urban-area,c_20pc_25y,gaussian,exponential,,,,,
urban-area,c_20pc_25y,step,cpl,,,,,
urban-area,c_20pc_25y,step,exponential,,,,,
